gene_identifier,n_counts,n_cells
Spr,447.0,65
Stard8,329.0,65
Slc19a2,197.0,50
Vps52,601.0,66
Cops7b,285.0,60
Lin7a,159.0,61
Mcm8,160.0,54
Etv4,214.0,59
Ubiad1,252.0,60
Slc25a12,962.0,68
Steap4,195.0,60
Slain2,274.0,60
Plod1,259.0,64
Cab39l,250.0,57
Gps1,866.0,68
Rhbdf2,200.0,60
Wnt7a,282.0,64
Srrt,473.0,67
Zfp647,247.0,61
Stk38,127.0,51
Kcnt1,379.0,61
Hadha,257.0,56
Hspa4l,400.0,64
Mia3,283.0,63
Rbm43,227.0,60
Pcyt1a,171.0,59
Syt10,247.0,61
Dock6,207.0,57
Osbpl9,297.0,61
Fads1,745.0,69
Rrp8,181.0,55
Slc45a1,639.0,65
Slc15a3,146.0,51
Rab30,206.0,55
Glb1l3,240.0,54
Ttc34,162.0,51
Klhdc7b,181.0,56
Trpm5,148.0,57
Acp6,283.0,61
Adnp2,306.0,60
Rarg,211.0,58
Chst3,131.0,47
Gm6588,179.0,62
Iqcc,199.0,51
Vav3,230.0,59
Sh2d5,409.0,66
Pilra,125.0,48
Zcchc12,219.0,50
Galnt16,410.0,64
Ankrd1,123.0,43
Mansc1,229.0,62
Rad51,148.0,53
Dennd1c,153.0,52
Gli2,276.0,65
Wdfy3,786.0,69
Rab3gap2,482.0,66
Rcan1,387.0,64
Ncoa5,168.0,52
Dolpp1,400.0,66
Ids,458.0,63
S1pr3,253.0,65
Manea,210.0,60
Recql,205.0,57
Fam161a,194.0,52
Cd36,159.0,46
Eftud2,531.0,65
Mtpap,171.0,53
Ankrd61,352.0,65
Ccr7,158.0,54
Rgs8,226.0,58
Stoml2,443.0,66
Aftph,390.0,63
Nefm,577.0,62
Wnt8b,167.0,56
Bhlhe41,182.0,58
Wdfy4,158.0,50
Epg5,104.0,47
Calcr,104.0,42
Muc6,118.0,43
C1ql2,166.0,49
S1pr4,245.0,56
Mcf2,156.0,51
L3mbtl4,186.0,56
Fh1,921.0,70
Faim2,590.0,65
Piwil1,199.0,57
Slc6a15,135.0,46
Slc22a15,124.0,45
Camk4,254.0,60
Lcor,277.0,67
Clrn3,202.0,63
Magea10,136.0,50
Poc1b,183.0,58
Yap1,201.0,54
Trappc5,391.0,62
Ppp5c,1040.0,69
Taf5,251.0,59
Ss18l1,266.0,62
Mettl14,277.0,66
Zc3hc1,335.0,65
Rgs9bp,123.0,49
Slc2a5,129.0,54
Chfr,268.0,61
Angel1,254.0,56
Nlgn2,864.0,68
Slc43a1,181.0,58
Bmpr1a,206.0,58
Dlgap3,2589.0,69
Alk,158.0,54
Vcan,195.0,60
Trip6,229.0,57
Stim1,485.0,65
Ripk1,202.0,56
Ptgr1,89.0,37
Rbm24,239.0,63
Cnnm2,361.0,61
Nlrp10,187.0,59
Ccdc110,122.0,47
Suox,278.0,63
Pbx2,359.0,66
Xrra1,198.0,58
Atxn2l,639.0,68
Slc9b2,239.0,60
Kat2a,574.0,67
Flt3,212.0,63
Ccnk,301.0,64
Hbegf,204.0,57
Dgcr8,344.0,63
Lrp3,495.0,65
Gla,141.0,47
Stam2,200.0,54
Mief2,199.0,53
Ttll6,91.0,41
Bloc1s5,215.0,51
Zfp367,153.0,54
Gpr108,242.0,61
Sf1,245.0,59
Fam76a,207.0,57
Btbd6,318.0,65
Msl2,221.0,63
Tram1l1,393.0,66
Pla2g6,366.0,62
Rnf217,222.0,60
Tada2b,266.0,65
Sod2,232.0,56
Slc1a1,268.0,59
Acap2,141.0,51
Gab3,214.0,62
Tgfbr3,246.0,61
Fancb,247.0,59
Kcna3,332.0,64
Surf4,242.0,56
Pus7l,158.0,59
Anxa6,327.0,64
Ormdl3,262.0,59
Ldhd,222.0,58
Rnf111,361.0,64
Apmap,323.0,64
Prmt8,538.0,61
Wdr64,126.0,46
Smc3,262.0,61
Tnfsf14,158.0,50
Pip5k1a,424.0,64
Tmem81,198.0,58
Nup98,248.0,62
Mtrf1,172.0,49
Pacsin3,602.0,67
Rnf14,821.0,67
Pabpc1l,394.0,67
Tada2a,228.0,62
Klhl32,236.0,54
Kcnk5,146.0,50
Grin3a,221.0,57
Zfp445,269.0,57
Rnf165,444.0,64
Pogk,270.0,62
Cttn,669.0,65
Zfp449,124.0,49
Fank1,240.0,61
Klf5,206.0,56
Capn9,136.0,46
Btla,116.0,39
Tusc2,652.0,66
Slc35a5,142.0,52
Ccdc57,217.0,57
Amotl2,245.0,61
Mfsd2a,404.0,66
Rbfox2,1113.0,68
Cd34,267.0,64
Rem1,210.0,56
Rasl11b,847.0,67
C8a,107.0,50
Dync1i1,581.0,65
Ptpn9,342.0,64
Ap5m1,184.0,54
Slc27a4,705.0,68
Fam219b,306.0,64
Zyg11a,146.0,53
Gen1,157.0,54
Fam189b,227.0,59
Cul5,256.0,58
Abcc12,157.0,57
Sv2a,2258.0,69
Glyr1,1034.0,68
Paip1,202.0,58
Dcstamp,161.0,55
Serinc5,183.0,54
Chga,431.0,68
Kcnj15,121.0,45
Tlr13,136.0,56
Fah,254.0,63
Zbtb46,266.0,63
Usp25,201.0,53
Irgc1,235.0,59
Mknk1,284.0,59
Cyb561d1,169.0,49
Exosc10,266.0,61
Pigo,302.0,60
Abca17,140.0,53
Trim65,169.0,53
Tfap2b,181.0,51
Aldh1b1,398.0,64
Frat2,145.0,46
Kcnn4,312.0,64
Focad,557.0,69
Lrit2,147.0,49
Susd2,239.0,60
Ddb1,781.0,69
Tbc1d10a,504.0,65
Nuak2,143.0,54
Zfp316,199.0,52
Ptgdr,195.0,61
Sh3rf3,332.0,64
Nalcn,200.0,55
Msh6,225.0,53
Sash3,93.0,41
Fshr,157.0,54
Gpatch2,186.0,54
Kif1c,227.0,60
Podn,219.0,52
Sapcd2,107.0,44
Zfp667,259.0,65
Syngap1,3857.0,70
Nlrp4b,108.0,43
Tmem229a,167.0,53
Mtmr9,533.0,66
Slc52a2,230.0,59
Srbd1,183.0,54
Lamb2,259.0,61
Rasl10b,523.0,63
Spn,205.0,58
Per1,230.0,58
Moxd1,168.0,54
Ccnb3,217.0,59
Hyal1,146.0,47
Slc25a36,230.0,65
Mapk7,317.0,62
Fam228a,173.0,59
Mtmr10,170.0,58
Cntn5,194.0,56
Six6,115.0,47
Setdb1,238.0,58
Zcchc6,352.0,67
Mfap3l,250.0,61
Mat2a,208.0,60
Cyp26b1,273.0,62
Trim23,119.0,46
Mroh6,219.0,60
Srl,186.0,52
Riok2,160.0,55
Cpt2,106.0,42
Cdc42ep2,334.0,64
Lrrc32,138.0,54
Actr8,538.0,66
Fig4,155.0,54
Synj2,396.0,62
Grxcr2,212.0,50
Mapk11,274.0,62
Nkrf,238.0,60
Cyp2s1,221.0,56
S1pr2,161.0,52
Sertad4,250.0,62
Gadl1,165.0,58
Ago3,214.0,62
Avpr1a,115.0,36
Tmem72,241.0,61
Fam46c,121.0,47
Rps6ka5,247.0,56
Htr4,174.0,55
Etaa1,286.0,59
Ncoa2,276.0,65
Plcb4,352.0,65
Asb1,265.0,63
Topaz1,147.0,50
Zbtb7a,751.0,67
En1,289.0,65
Ogfr,771.0,69
Sdc4,559.0,68
Tmem163,222.0,57
Zfp281,250.0,63
Tnfrsf10b,111.0,46
Lypla2,711.0,68
Eme2,378.0,64
C1ql3,380.0,65
Wdr92,155.0,52
Srd5a1,353.0,66
Atf7ip,472.0,66
Dnaaf1,199.0,64
Kxd1,220.0,63
Uba1y,179.0,51
Ptprt,474.0,65
Sox21,336.0,63
Cst6,238.0,57
Comtd1,179.0,59
Lrrc29,191.0,59
Ace2,93.0,43
Rtf1,191.0,58
Krt26,209.0,59
Havcr2,145.0,45
Flg2,399.0,63
Slco2b1,295.0,62
Zdhhc1,418.0,65
Pced1a,173.0,55
Rapsn,257.0,60
Mtfr2,166.0,52
Pet2,238.0,57
Gprasp2,408.0,61
Npr2,214.0,57
Tchp,200.0,61
Lctl,170.0,58
Csnk2a1,306.0,60
Mapkbp1,509.0,67
Tnpo1,206.0,57
Marveld1,266.0,64
P2rx3,116.0,46
Foxp3,190.0,54
Lrp5,327.0,63
Egfr,305.0,62
Maml3,242.0,57
Tmem25,329.0,66
Fanca,245.0,64
Vegfa,407.0,66
Ddx60,134.0,48
Tpcn2,126.0,51
Nmrk2,106.0,39
Slitrk2,146.0,52
Igf2os,152.0,51
Gjd2,153.0,53
Fam163b,693.0,67
Cers5,143.0,46
Has3,309.0,63
Mbtps1,366.0,66
Parp3,143.0,49
Nqo1,251.0,63
Supt16,326.0,63
Cldn18,88.0,38
Pan2,239.0,57
Parp14,137.0,49
Smim13,354.0,64
Zdhhc6,278.0,60
Ltf,209.0,54
Fuom,143.0,51
Asah2,241.0,64
Gja10,222.0,63
Micall1,390.0,62
Irgm2,145.0,49
Slc31a1,150.0,51
Ptpn7,184.0,53
Rhobtb1,123.0,42
Scnn1b,187.0,52
Slfn5,87.0,39
Cnr2,161.0,51
Syt7,1227.0,65
Trim35,532.0,66
Ebf2,97.0,44
Vwa3a,143.0,45
Efcab2,212.0,57
Urm1,284.0,65
Rin2,173.0,59
Lgals8,111.0,47
Rsf1,348.0,69
Rtcb,650.0,66
Pccb,240.0,61
Agbl5,270.0,66
Pcdh19,372.0,66
Abl2,217.0,52
Tstd2,154.0,52
Tspan2,192.0,55
Grpel1,233.0,59
Scd3,216.0,58
Cbfa2t3,223.0,55
Rasgef1c,389.0,63
Actn1,775.0,68
Plxnb1,310.0,62
Fhad1,219.0,60
Clcn5,148.0,51
Tmem109,261.0,57
Entpd1,227.0,64
Hspg2,204.0,54
Lrp11,716.0,66
Whrn,252.0,61
Col9a3,225.0,60
Slc19a1,317.0,65
Ttll7,612.0,65
Uap1l1,247.0,55
Dtx4,346.0,63
Kremen1,226.0,57
Rfng,991.0,67
Tsc22d4,305.0,63
Prr5,175.0,56
Carf,256.0,59
Cldn11,775.0,58
Cdc42se2,657.0,66
Vangl2,271.0,66
Trafd1,656.0,69
Strip2,319.0,58
Col5a1,274.0,63
Phactr3,434.0,64
Ttll2,138.0,51
Ptchd1,233.0,61
Slc2a3,551.0,63
Fdxr,250.0,58
Slc13a2,155.0,52
Hoxd12,352.0,64
Lox,144.0,54
Cdc25a,171.0,54
Evpl,241.0,58
Phlpp1,343.0,63
Ccdc38,148.0,53
Map4k3,299.0,63
Rgl1,310.0,62
Tmem92,173.0,58
Ypel5,212.0,60
Fmo2,116.0,39
Rbbp5,217.0,60
Golph3,513.0,63
Nova1,148.0,49
Klhl5,396.0,66
Mpzl1,329.0,63
Kdm1a,273.0,62
Myh7,107.0,44
Acsf2,169.0,53
Hspb7,184.0,54
Bbs1,309.0,58
Pecam1,214.0,55
Nyx,178.0,55
Pot1a,229.0,60
Tgfbr1,239.0,53
Slc17a6,222.0,65
Dhx33,401.0,67
Tssk1,170.0,50
Srsf6,410.0,63
Ampd3,146.0,51
Golt1b,177.0,58
Ckap4,263.0,61
Kmt2c,215.0,56
Satb1,664.0,62
Cr2,147.0,55
Vkorc1l1,256.0,66
Hps1,272.0,60
Erlin2,291.0,61
Nkain1,337.0,66
Crebl2,232.0,63
Hao1,182.0,54
Lamc1,425.0,67
Tigd3,233.0,60
Kcne4,148.0,48
Cacna1d,287.0,64
G6pc3,232.0,58
Esrp2,192.0,61
Bid,215.0,58
Syne3,104.0,44
Jakmip1,1002.0,67
Ankrd44,190.0,53
Zbtb12,239.0,66
Thap2,144.0,52
Xkr4,206.0,57
Ncald,920.0,68
Pi16,141.0,51
Ccdc158,238.0,61
Vrtn,153.0,51
Meox2,118.0,48
Ppp1r12a,555.0,67
Gpr150,258.0,61
Umodl1,307.0,64
Rere,683.0,68
Kcns2,94.0,45
Slc27a1,395.0,65
Rnf222,137.0,49
Hspa4,345.0,62
Amacr,279.0,63
Bend7,349.0,65
Pi4k2a,468.0,67
Zcchc5,265.0,56
Tacr3,168.0,56
Rnf10,382.0,61
Coro1c,622.0,68
Mapk8,154.0,56
G6pdx,307.0,62
Rusc2,692.0,69
Psen2,340.0,65
Trim31,142.0,53
Zzef1,286.0,61
Xkr7,297.0,57
Lrrc4c,325.0,62
Tulp3,210.0,57
Cel,257.0,60
Add1,1175.0,69
Tmem231,152.0,52
Kansl2,366.0,63
Nrg3,144.0,51
Unk,237.0,59
Ogg1,197.0,55
Ky,248.0,57
Dlgap2,767.0,66
Klhl30,204.0,61
Mdm1,123.0,48
Mob3b,132.0,51
Racgap1,233.0,60
Maff,184.0,53
Peli1,289.0,64
Ubtfl1,156.0,49
Suv39h1,146.0,47
Mul1,404.0,68
Dnaja4,305.0,64
Hcfc2,265.0,59
Aldh7a1,118.0,38
Chodl,242.0,60
Brd8,196.0,56
Ptbp1,250.0,64
Guca1b,196.0,60
Bcl2l13,113.0,48
Cdca8,216.0,52
X1700073e17rik,262.0,63
Scaf1,1537.0,68
Fem1c,209.0,56
Hhatl,259.0,62
Ube2j1,326.0,63
Phkb,203.0,57
Stk11ip,321.0,63
Lysmd4,164.0,49
Mmp2,177.0,51
Setx,211.0,58
Rbm15b,591.0,64
Mchr1,232.0,54
Pappa,218.0,58
Bpifb4,164.0,51
Smyd4,246.0,57
Micalcl,149.0,46
Prcp,149.0,45
Dnajc10,260.0,64
Tll2,154.0,57
Itgb3bp,195.0,59
Fbxo32,117.0,48
Tax1bp1,387.0,67
Cblb,240.0,62
Oasl1,152.0,48
Mdm4,165.0,52
Tert,218.0,64
Stox1,136.0,51
Nrg2,269.0,60
Sema4g,213.0,52
Zfp36l3,123.0,43
Slc4a4,221.0,62
Slc25a26,220.0,54
Prickle2,539.0,64
Rhoh,234.0,60
Trak1,768.0,68
Emx2,208.0,59
Ccdc85a,352.0,65
Dip2a,369.0,67
Clns1a,402.0,65
Lyl1,183.0,53
Luzp2,199.0,52
Fam172a,113.0,43
Tmem245,175.0,52
Fchsd1,184.0,52
Elf1,123.0,45
Ttc24,165.0,53
Chtf8,517.0,67
Rcbtb2,272.0,57
Naa35,287.0,62
Fads3,256.0,60
Uvssa,211.0,51
Fdft1,363.0,67
Msh5,304.0,62
Me3,229.0,62
Gstt2,140.0,49
Tbcd,164.0,55
Dgat2l6,197.0,56
Tmem41b,143.0,49
Tbc1d31,280.0,57
Sh3rf1,325.0,65
Plcxd1,293.0,66
Psd4,205.0,62
Adora3,135.0,51
Nrip2,160.0,50
Oxsm,251.0,63
Slc22a6,205.0,56
Ubr5,227.0,58
Lpcat4,1000.0,65
Dgke,351.0,63
Fem1b,280.0,63
Plekhh3,222.0,54
Ddx59,114.0,47
Faah,460.0,64
Sec23ip,137.0,44
Clstn2,506.0,62
Smpd1,508.0,63
Foxh1,287.0,62
Sectm1a,240.0,66
Tbccd1,160.0,49
Cnst,284.0,65
Ash2l,132.0,50
Oxgr1,150.0,48
Spag17,134.0,56
Card11,189.0,56
Tmem130,755.0,67
Lipa,347.0,66
Gfpt1,359.0,66
Smug1,163.0,52
Ddx55,276.0,62
Cdc42bpg,316.0,62
Ppm1l,602.0,66
Ints12,168.0,58
Vwc2l,151.0,54
Cd3eap,321.0,59
Flt1,185.0,56
Atad3a,154.0,55
Kpna3,207.0,58
Kcnb1,430.0,65
Myo5c,204.0,61
Ddx31,162.0,51
Drc1,237.0,54
Lima1,192.0,56
Sfn,138.0,48
Dnah10,218.0,58
Acot11,291.0,66
Mtmr11,263.0,62
Prr5l,217.0,63
Zfp407,216.0,54
Mab21l2,191.0,56
Arfgef1,159.0,57
Nodal,184.0,55
Obsl1,190.0,58
Zbtb49,226.0,59
Ric8b,143.0,50
Nxf1,318.0,62
Ube3a,265.0,63
Ints7,158.0,53
Crb1,156.0,59
Uts2r,172.0,54
Hdac11,428.0,68
Nr0b1,122.0,46
Ptcd3,237.0,61
Frmd4a,166.0,48
Abcb10,267.0,62
Tnfaip8l1,173.0,55
Ubl3,958.0,71
Map3k6,254.0,59
Mnat1,149.0,54
Fbxl5,291.0,65
Rnf207,200.0,60
Fbxl8,153.0,51
Redrum,203.0,56
Vwa8,406.0,65
Dsc1,180.0,54
Mroh2b,121.0,46
Iqsec1,764.0,67
Zfp397,184.0,51
Tulp4,1018.0,69
Tnfsf18,202.0,62
Gbp7,141.0,51
Clcn1,197.0,62
Ruvbl1,498.0,62
Cyp19a1,181.0,53
Dennd4c,178.0,55
Fbxo4,129.0,45
Jph2,170.0,52
Best2,100.0,44
Anapc16,408.0,64
Zkscan1,127.0,43
Slc35f3,252.0,60
Polm,216.0,60
Fip1l1,282.0,59
Myh11,299.0,65
Slc18b1,207.0,53
Bcl3,154.0,55
Syt16,736.0,68
Sik2,347.0,64
Cttnbp2nl,304.0,61
Polrmt,449.0,64
Col10a1,159.0,55
Gja3,168.0,52
Igf1,224.0,60
Aldh1l2,173.0,49
Tubb4a,3831.0,68
Lcat,345.0,63
Asah1,221.0,65
Polr3e,217.0,58
Hoxb9,220.0,55
Pigs,534.0,66
Grk6,715.0,67
Poc1a,203.0,60
Mcu,324.0,62
Cd163l1,164.0,56
Pnpo,239.0,57
Pphln1,175.0,51
Bin1,1240.0,69
Srprb,259.0,59
Sec22c,189.0,52
Prpf4,168.0,54
Jazf1,258.0,60
Bsdc1,356.0,61
Mroh8,179.0,58
Khsrp,960.0,70
Apc,1119.0,69
Dnaic1,174.0,52
Gpr4,243.0,65
St8sia2,132.0,49
Josd1,245.0,60
Irf5,165.0,52
Toe1,243.0,60
Ezr,352.0,67
Dgki,359.0,62
Chrna3,215.0,60
Gpr132,150.0,48
Otud6b,107.0,40
Gng4,322.0,61
Lama3,159.0,56
Tubgcp5,270.0,62
Aplp2,578.0,69
Cep152,187.0,50
Dazap1,569.0,67
Mdp1,477.0,64
Slc38a3,322.0,65
Cit,696.0,65
Lemd3,260.0,65
Edc3,272.0,61
Ushbp1,205.0,60
Pzp,141.0,49
Map3k8,287.0,60
Pum2,171.0,52
Gfra1,157.0,53
Scin,143.0,52
Mad1l1,492.0,67
Sfswap,344.0,61
Mid1ip1,582.0,67
Efcab6,137.0,48
Mrrf,203.0,62
Lpin1,269.0,60
Tbc1d15,119.0,49
Nup188,301.0,60
Ednra,258.0,59
Pdgfb,261.0,61
Hpx,231.0,62
Uri1,243.0,62
Lca5l,99.0,44
Piga,143.0,48
Rbbp9,243.0,63
Nrd1,285.0,62
Wfikkn2,175.0,59
Tbx19,142.0,47
Mlxipl,136.0,46
Rev1,272.0,59
Chadl,225.0,54
Vasp,254.0,62
Cog1,372.0,64
Acad8,299.0,66
Hsf1,436.0,67
Cdh22,179.0,50
Hs3st4,618.0,65
Mex3a,276.0,63
Alx1,191.0,54
Rb1cc1,146.0,45
Arl5a,316.0,63
Npepps,389.0,64
Slc39a14,174.0,52
Il18rap,151.0,55
Wdr91,315.0,66
Cbln3,124.0,50
Snx14,198.0,57
Nomo1,184.0,55
Epha6,172.0,58
Cbln2,182.0,53
Slc19a3,120.0,45
Mdga2,144.0,52
Hoxa1,124.0,47
Zfp532,658.0,68
Olfm2,1462.0,67
Dennd5a,196.0,54
Mmp24,325.0,61
Cyb561a3,235.0,65
Uso1,437.0,66
Wnt3a,199.0,57
Naglu,247.0,57
Helz2,151.0,52
Col4a3,155.0,55
Cpt1a,361.0,68
E2f1,261.0,61
Zfp418,192.0,56
Pmel,134.0,48
Engase,291.0,61
Zfp182,175.0,56
Vps45,302.0,63
Ccdc65,311.0,61
Oasl2,237.0,60
Dagla,516.0,67
Hsf2bp,190.0,62
Stx5a,423.0,65
Dtnb,525.0,64
Kcnh2,380.0,57
Retsat,165.0,52
Traf2,155.0,53
Slc15a4,248.0,58
Smoc1,116.0,47
Pdik1l,290.0,64
Mlkl,232.0,63
Nmur1,122.0,47
Tmcc2,394.0,67
Bend3,186.0,60
Tekt2,120.0,46
Sla2,106.0,45
Padi6,161.0,58
Mfsd2b,164.0,54
Flot2,1142.0,68
Vmac,153.0,53
Vnn1,231.0,59
Elovl1,272.0,60
Fgfr1op2,264.0,63
Cast,205.0,52
Tlr6,189.0,57
Kank4,161.0,53
Srp72,111.0,41
Fam110a,136.0,50
Pomt2,190.0,52
Mroh9,108.0,44
Rnf40,318.0,62
Gapvd1,418.0,66
Pick1,355.0,61
Cnp,1148.0,64
Dlst,632.0,70
Tmed8,191.0,54
Angpt2,202.0,62
Wasf3,708.0,67
Trmt1l,172.0,55
Sars,109.0,39
Irs2,569.0,66
Slc46a1,306.0,64
Eif3d,720.0,67
Rnf34,427.0,63
Sox2,383.0,66
Syt5,1143.0,66
Agbl1,132.0,57
Nr3c1,256.0,58
Ctdsp1,213.0,60
Klc2,986.0,69
Phf3,254.0,61
Dtx3l,209.0,63
Ptpn23,524.0,66
Farsa,309.0,64
Rara,312.0,62
Dnajc22,124.0,50
Gtpbp4,174.0,56
Cotl1,898.0,68
Tnfaip8l2,235.0,64
Anln,191.0,52
Epn1,1969.0,69
Aurkb,137.0,51
Sorcs3,248.0,60
Ppme1,270.0,58
Slc25a29,259.0,58
Abhd15,179.0,47
Pign,190.0,54
Tpo,168.0,55
Map6d1,387.0,62
Galnt1,332.0,66
Zhx3,672.0,69
Syndig1l,128.0,42
Fam184a,308.0,66
Zc3h13,327.0,64
Lnpep,207.0,61
Carhsp1,193.0,57
Kif9,114.0,48
Tgm1,153.0,53
Tmc5,120.0,52
Prpf19,165.0,50
Prcc,619.0,65
Akap5,874.0,67
Il12rb2,195.0,57
Fem1a,157.0,50
Igfbp6,329.0,63
Cenpe,200.0,63
St7l,238.0,61
Ilvbl,246.0,54
Nup214,332.0,63
Svop,1342.0,67
Ribc2,133.0,52
Ncoa6,504.0,67
Zbtb43,271.0,64
Hrh4,168.0,55
Tollip,656.0,66
Lrriq1,180.0,51
Irx3,292.0,62
Gm597,199.0,55
Ablim1,338.0,61
Pdgfc,166.0,48
Rbmx2,213.0,56
Adamts17,167.0,57
Med13l,561.0,62
Spin4,265.0,64
Glb1,172.0,52
Cmtm3,272.0,61
Eif4enif1,403.0,61
Arhgap17,287.0,59
Plce1,204.0,54
Frmd5,157.0,55
Vps26b,295.0,64
Dnajb5,1375.0,67
Gpr157,245.0,62
Gabrr1,190.0,58
Col15a1,158.0,51
Usp13,216.0,56
Efr3a,234.0,55
Tnpo3,318.0,60
Gm10336,144.0,52
Cacna1c,437.0,61
L3mbtl2,298.0,66
Slc17a9,185.0,49
Tlr1,286.0,59
Smarcc2,1457.0,69
Xpnpep1,533.0,68
Syt12,283.0,62
Fli1,224.0,59
Adam9,332.0,61
Pbx3,179.0,58
Fam83e,185.0,58
Arfgap2,338.0,62
Fhod1,182.0,56
Ryr3,152.0,50
Ythdc1,287.0,60
Fam13b,337.0,65
Stk36,208.0,57
Maneal,262.0,64
Slco5a1,218.0,56
Pip5k1b,202.0,57
Pclo,880.0,65
Cep57,227.0,59
Nr2c2,493.0,64
Qpctl,301.0,64
Rabggta,279.0,66
Eri2,158.0,55
Upf3b,216.0,58
Ctps2,163.0,49
Cdh1,286.0,65
Cyb5r3,583.0,62
Gbgt1,152.0,50
Slc35e3,213.0,55
Snip1,239.0,63
Dars2,311.0,59
Clic5,141.0,49
Tcf12,218.0,61
Ppp1r37,789.0,68
Magee2,189.0,56
Dnaic2,161.0,53
Fdxacb1,341.0,61
Mpz,188.0,56
Dcaf12,330.0,67
Hpse,210.0,57
Arel1,332.0,64
B3gnt9,178.0,55
Snd1,583.0,69
Pgm2,248.0,62
Dct,159.0,56
Lyn,190.0,61
Rspry1,160.0,52
Ireb2,268.0,62
Map1s,468.0,65
Irf2bpl,946.0,68
Nkx2.3,199.0,61
Oas1b,133.0,53
Shc1,111.0,41
Echdc3,221.0,55
Polr3f,166.0,53
Zfand4,121.0,50
Kif11,132.0,51
Fmo6,175.0,59
Tg,158.0,51
Plag1,198.0,59
Tro,645.0,67
Ppp2r5a,187.0,49
Homer3,194.0,59
Col3a1,79.0,33
Ankmy2,327.0,61
Zmym1,259.0,57
Sms,239.0,58
Ralb,339.0,64
Tmem196,430.0,64
Fcgrt,318.0,63
Jak2,154.0,48
Znrf1,220.0,58
Snx25,271.0,63
Dmrta2,173.0,55
Pxdn,256.0,61
Hspb6,120.0,49
Sh3bp5,307.0,60
Sorbs3,299.0,64
Egfl6,98.0,44
Mafk,266.0,64
Galnt5,164.0,53
Rorb,226.0,55
Gtpbp2,476.0,63
Tyrp1,215.0,56
Tpd52l2,172.0,51
Trp53bp2,288.0,62
B3galnt2,167.0,55
Arvcf,259.0,57
Gorasp2,373.0,62
Vash1,454.0,63
Inpp1,280.0,63
