,01 IT-ET Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,07 CTX-MGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
1775,0.0009897641430143267,0.22745505571365357,4.764268636703491,0.004463113006204366,0.001049890829017386,0.0466698482632637,0.00822344939224422,0.0013618032855447382,0.0021416123141534626,0.0016947055119089784,0.00182782260235399,0.0017245649069081992,3.1408039689064027,0.005149596254341304,0.0007966555887833238,0.0010756351111922413,0.0006426365696825088
1776,0.0026333034387789668,0.3183415487408638,8.593153715133667,0.003322738059796393,0.004544006963260472,0.0877900566905737,0.04742187205702067,0.018768002558499575,0.00218918506288901,0.00151631364133209,0.003930650569964201,0.0024816201883368196,0.002020143554545939,0.0017360615136567505,0.0005303809797624126,1.101983666419983,0.0017170279053971174
1777,0.0008738289674511179,0.001442916615633294,11.454469919204712,0.0010542822710704058,0.0026096465880982578,0.030497722793370485,0.0032356152310967445,0.0028174760635010904,0.0009669947001384572,0.0005415788182290271,0.0011846619308926165,0.003206015517935157,0.00025970814167521896,0.0027054291451349853,0.00044212291104486214,0.0003915649431291968,0.00030353645997820426
1778,0.00010953165983664803,0.00042023496207548304,5.914601564407349,0.00025551432627253235,0.0002667670414666645,0.0019222513074055316,0.00107965765055269,0.00026978379173669964,0.0001463813125155866,9.44369996432215e-05,0.00015943508042255418,0.0001890393308713101,0.00027131836977787314,0.0009459754452109337,0.000878513851785101,0.0002645884902449325,0.00011051295441575349
1779,0.001277590112295002,0.0017440196534153074,6.097340202331543,0.004320011544041336,0.009712366526946426,0.017361152451485395,0.006515094637870788,0.012929122801870108,0.0013045799802057446,0.000778352259658277,0.0023832625593058765,0.0074390702648088345,0.0016307720798067749,0.007534841098822654,0.0032219870830886067,4.031197643280029,0.0022912324755452575
1780,0.002510690607596189,0.0010570406971964986,24.342872428894044,0.003835203696507961,0.009904785081744194,0.0689825788140297,0.00322918581077829,0.016133849043399096,0.0031494160532020035,0.0019130070868413895,0.004988144617527723,0.005600504530593753,0.0010524918267037719,0.05234523918479681,0.004446410364471376,0.0010716598946601153,0.0010567090939730406
1781,0.0007519964827224613,0.0007244700187584385,7.255894160270691,0.00928742028772831,0.0037209320813417434,0.019373300578445198,0.00719029784668237,0.00482249055057764,0.0029450154514051976,0.0009370207204483452,0.0016026033204980196,0.0040517381858080626,3.1168739199638367,0.009884258173406124,0.003083196794614196,0.00048241864424198867,0.0006845422845799476
1782,0.0007277976896148175,0.000552845053607598,9.715123224258424,0.002026503474917263,0.0020994748920202255,0.008340703696012497,0.004086363199166954,0.002215063979383558,0.0008763900143094361,0.0007420051289955154,0.001028592261718586,0.002514325804077089,2.1656190514564515,0.010375427221879363,0.00729011648800224,0.0003075073051149957,0.0008078934217337519
1783,0.0015628976922016592,0.0021949501940980555,14.567603874206544,0.0025170314125716685,0.0030785353388637308,0.6779355317354202,0.006563342805020512,0.004381086514331401,0.001944108179304749,0.0013219786924310029,0.0033427047077566386,0.0037804142688401044,0.21105217486619948,0.0037288788473233583,0.0010670174087863415,1.5886617958545686,0.00207900294335559
1784,0.0005748405150370672,0.004115359508432448,4.034245920181275,0.0002731635031523183,0.00022698467582813465,0.002926175855100155,0.003346462035551667,0.0005824713909532875,0.00016692711142241023,0.000276686524739489,0.00028540227067423983,0.00039158915024017915,0.0007608764339238405,0.0019682472455315294,0.0004947951645590364,0.0006459522701334208,0.0006250653212191537
