"","30 Astro-Epen","05 OB-IMN GABA","13 CNU-HYa Glut","32 OEC","34 Immune","10 LSX GABA","33 Vascular","03 OB-CR Glut","31 OPC-Oligo","14 HY Glut","12 HY GABA","09 CNU-LGE GABA","07 CTX-MGE GABA","06 CTX-CGE GABA","11 CNU-HYa GABA","01 IT-ET Glut","29 CB Glut"
"2379",4.76981343092604e-08,0.924008090223211,0.000239231067297269,6.6143244395095e-08,0.0140240252835778,1.13618821789519e-07,8.9295357214829e-07,0.000562310473375115,0.000997414514756523,0.0595402528780193,4.84632746505841e-06,0.000476704978899015,4.6779852149211e-05,1.8699574809129e-06,9.35505673752648e-05,3.79579720567691e-06,7.66541497545335e-09
"2380",5.16917597654905e-05,0.986466998879254,2.71188727982991e-05,3.34957214294195e-06,0.0062733100896879,1.78676123979273e-07,9.64015472462439e-05,0.000343808219966765,0.00259387857159018,0.0026097301549575,5.21741003185639e-07,0.00141705665875876,3.32077805977956e-05,3.37317146888588e-06,5.7195442048302e-05,2.2178764502909e-05,9.80867784513492e-11
"2381",2.54782869595829e-08,0.998285801795836,1.75080173537677e-06,3.2721976298649e-09,0.000288390203978139,7.71611601115248e-09,6.36252325148226e-06,6.83390893748946e-06,0.000227604003132077,7.08780594974158e-06,2.99134694133208e-07,0.000402506304769373,0.000398781936897866,0.000361355050580116,1.18315944688407e-05,1.3224686299664e-06,3.60005387694087e-08
"2382",1.77467362030915e-07,0.971187807933193,7.06460276299178e-05,2.28991980709573e-10,0.0023661937606032,1.22453035446988e-05,3.18369848102739e-07,0.000192228038340059,0.00202731898511787,0.017184937341564,0.00110925093439113,0.00293759009233148,0.000164466250904516,5.81220589090054e-05,0.00267725980043465,6.18128091279217e-06,5.25612592149495e-06
"2383",1.69103973150612e-07,0.993758165334935,3.62068904602282e-06,1.49667162320406e-08,0.00120261510638366,4.79961598475119e-07,6.89690601239e-05,1.6557891404438e-05,0.000370021383956213,1.42429686002005e-05,2.73786332412325e-05,0.00254398417867775,0.000125338140601548,5.86615378277899e-05,0.00180241667659022,6.96470624356204e-06,3.99660080326563e-07
"2384",1.17855484217147e-08,0.989736352526166,4.14394159283102e-06,2.2178517881622e-07,0.000444240569566635,2.21998055120595e-06,0.00408877679372157,1.14297567691734e-05,0.000685062778547447,2.62335745094522e-07,7.59980342473901e-05,0.00117871840908254,0.000659412356656152,0.000983707184596954,0.00210537568002658,2.35314497027558e-05,5.34632300466356e-07
"2385",0.124959472225177,0.699971476932016,0.0350219782980268,0.00812588487385893,0.00508791849183587,0.00674987063457386,0.0369012260158128,0.000688540749585359,0.00203395150415191,0.0205300707245733,0.0334711254801171,0.00389554211332737,0.000887983789199782,0.00288270526585381,0.00991939863903318,0.000411595931559843,0.0084612583312968
"2386",2.24830056229807e-10,0.261966196518786,5.47725889090984e-08,0.00014685915580098,0.0358898414237309,0.149657742237786,3.33029789016026e-08,4.0388693479885e-09,0.00414350677818954,1.4546292232983e-09,0.00414298520022615,0.000251126606385728,0.153131313300161,0.281456819066611,0.000859468703485931,3.3039114506889e-08,0.108354014175824
"2387",0.996544415143082,1.71715395674826e-10,7.07038734502761e-07,0.0027234018565846,3.32411245778141e-05,4.3364386413013e-07,0.000250786491376243,6.86135349642728e-08,0.000432584152861089,1.42144307603052e-05,5.05189471604152e-10,1.61475754298719e-10,1.62956288056921e-09,2.45785500546524e-10,1.46032423848061e-15,1.44787387100198e-07,3.50708357702549e-12
"2388",1.51063741057523e-11,6.06417161430845e-11,0.602129131122413,1.2454915573109e-09,7.80488461059218e-10,9.50755719456715e-05,6.7834982297787e-10,0.185684080393874,4.65870574605215e-11,0.178467654113884,2.55147500395942e-05,7.93209046425329e-15,1.30646669728386e-06,3.40486603377063e-16,9.73662272387445e-10,0.0180792904105698,0.0155179433702407
"2389",0.122790283781137,0.169783219794069,2.04729910341985e-05,0.00097922412833893,0.000838332930030527,0.40870241688315,0.0892209274917027,1.04645527170136e-08,0.00328819322508113,2.86837417814759e-06,0.0561765352111534,0.0248988470634859,0.0194118578815188,0.0243298680019674,9.29063482506079e-05,5.84538466762789e-09,0.0794640295849652
"2390",8.19428076748681e-07,1.23190813308807e-07,1.38165174546771e-05,2.28622226231039e-08,0.00196791307092118,2.44121617797812e-06,0.937406351782807,2.96066249845198e-05,1.604504341181e-08,0.00305288003539258,1.25574733710953e-07,9.32757781493012e-06,4.33487288158178e-08,2.86393174551135e-09,2.99619323635636e-07,3.2357549923787e-05,0.0574838526916489
"2391",0.132724095108153,0.154968911378315,6.75668882126293e-09,0.110619512429017,0.000297419912462988,0.427077638734734,0.000218410878905757,1.98640144147994e-12,0.0365635939989922,6.9099282573896e-13,0.0771598420380334,0.000139176933353146,0.000130197607061205,0.00383260722089571,0.000406203573856695,3.00900785088951e-13,0.055862383426554
"2392",0.000545199297730328,3.09425715897865e-07,0.000119811996133154,0.997799241460986,1.74563709852775e-07,7.21122994813783e-06,0.000109596950919891,0.000306938000967098,2.28867396551079e-06,0.000229589664185353,4.96993243570415e-06,7.26453538212981e-06,3.97419614576228e-06,1.32215225539495e-06,0.000128138763000574,0.000238413943614393,0.000495555212905101
"2393",0.00966685197482359,0.000316228300905946,2.90832981535729e-07,0.987889980804056,9.85360532301284e-06,8.22776403542841e-05,0.000173028157056106,4.01009544870111e-08,0.00168176833607977,7.61439771758181e-09,5.88645292718576e-05,1.57325482435851e-07,2.78097937861865e-05,6.27630258295474e-07,1.19650420601352e-07,1.7493159648201e-09,9.20919545321084e-05
"2394",0.0185406745161728,0.00229414290369875,1.48998924152762e-05,0.901400153510628,0.0222132704503018,0.000271538405924383,0.0403713093847689,2.4396459803668e-06,0.0022130316496528,3.99121176593072e-09,0.000629830622578815,8.03979881444073e-10,2.5487536020698e-06,0.000116481647407325,1.45456295030628e-06,8.20367399992801e-06,0.0119200155847265
"2395",0.0806119335198383,6.10955968667447e-09,1.97227971727184e-07,0.898889554495024,0.00080513832218714,5.14790501991909e-08,1.2215502890025e-05,2.75059078622226e-10,0.0195868301670898,4.24856350556126e-14,5.10351077387386e-11,2.43895383203699e-13,8.05563592718024e-14,3.5112529666144e-12,3.71764005452514e-14,3.35862012379386e-10,9.40725105171193e-05
"2396",0.127798758533878,3.94023306514701e-06,1.2517750353821e-06,0.814676192841518,0.0148984403978186,4.51972822459631e-06,0.00112167083583357,1.09777035521536e-08,0.000748492366745295,7.91436536408633e-11,6.54539646844001e-08,2.36024256720343e-08,3.39944098898294e-05,9.6907095020504e-06,0.000733316430148637,4.4345396084227e-09,0.0399696271905633
