"","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"10350_10750",1.65049183082528e-06,9.68866415449808e-07,0.000660596950122651,0.02936439453841,0.103702922168532,0.014927453614883,0.577478033444089,0.000123799469256279,0.000830387412250594,8.29031513995527e-07,4.90631627718222e-08,0.224508862043046,9.52726165505976e-06,2.11574166358058e-05,2.13164186301182e-06,3.27638392248084e-06,1.86519299927864e-06,0.0483620950094121
"10350_10850",1.14422266280207e-05,7.98601784682907e-06,0.00109940982534482,0.0408801316755722,0.0994822834679282,0.00734742704301012,0.592630703423574,9.57582261974382e-05,0.00106222617756955,4.12561213642333e-06,1.29187648558124e-07,0.194321853631001,0.000204355929492566,9.40269509521373e-05,4.84488357244025e-06,2.44909022129799e-05,2.18765575095373e-05,0.0627069282618028
"10350_10950",6.09929995796568e-05,6.72450185148872e-05,0.00531244895806278,0.089637907070861,0.175411969121493,0.0183220175742417,0.510847522319943,0.0013716039100943,0.00728448311661994,1.28367533394863e-05,5.48696698886746e-07,0.149363634470849,0.00216784837322122,8.31153554992224e-05,1.97613355638795e-05,0.00044322958909535,0.000691103557270647,0.0389017317790517
"10350_11050",1.80484813588157e-05,1.90628448760873e-05,0.00200717018962325,0.0697630330297656,0.079434313452128,0.00124980107645519,0.471079114678582,0.000349902728586559,0.00304791129285516,6.99400874562233e-05,5.05885132847908e-06,0.270070392492363,0.000228993984193818,0.000387076206404506,0.00169983607654029,3.27891987842264e-05,1.00530994636721e-05,0.100527502229235
"10350_9750",3.47273981790366e-05,6.56041284896173e-05,0.000231142331872738,0.077964089191954,0.112314373923581,0.0100946898671848,0.501937354821201,0.000294271067495668,0.000926360561543867,3.2532135531722e-05,1.50415563919362e-08,0.209678297594774,0.000184392475262259,7.19935896577108e-05,0.00575306385179237,2.14804563646073e-06,7.90381325622593e-07,0.0804141535929621
"10350_9850",6.07508862316749e-07,2.81236790188587e-08,3.87684346664923e-06,0.0570590437777791,0.0170646898445999,0.0236476162173583,0.59735157980717,8.44131817749249e-06,8.64009578167638e-06,5.71527204768543e-08,6.94695863971537e-10,0.24835999398209,7.52380020920184e-06,5.95961283366372e-05,3.02277477688325e-07,5.74228155057563e-09,1.73853514909461e-09,0.0564279949467786
"10350_9950",3.60287889841796e-08,3.69840664218462e-10,4.35326555512379e-08,0.0251475858020358,0.0044101590368431,0.00473420681056737,0.574038121617175,1.21817423273271e-07,7.3033860103093e-08,1.2296297239878e-10,7.82777974261161e-12,0.334049094654907,3.05698552826818e-07,9.96897912045791e-06,8.66914284993014e-09,4.82172909603361e-11,7.38153398880681e-12,0.0576102737626975
"10450_10050",5.97281674790387e-09,4.01812820426504e-10,7.43247790715245e-08,0.0243073195774783,0.00265009008648193,0.00929187601412627,0.563996136106934,7.64619380357915e-08,1.83407754732199e-07,6.81089751182131e-11,9.65457321847833e-12,0.334402862490737,2.46274617446115e-07,4.74989802489621e-06,2.62978437348391e-09,3.18548027217684e-11,1.81116290663854e-11,0.0653463762249837
"10450_10150",1.95724299048907e-07,1.54082232854438e-08,4.8401960952896e-08,0.0147865108960155,0.00381481561281618,0.0138932159210086,0.600718825481796,6.12034385570269e-07,8.52658534836893e-08,4.01643540312437e-10,8.67821753988022e-11,0.312852695135074,2.68475399111729e-06,7.46228084119142e-05,2.18733882373128e-08,2.5893616243477e-10,1.29154402681934e-11,0.0538556499224989
"10450_10250",3.63018268028215e-07,3.06238992384226e-07,5.57528844770942e-06,0.0251111318821474,0.0118195106703912,0.00728754289110316,0.577289338450314,2.91947244931939e-06,3.88633899203422e-06,1.65836439422846e-08,9.59591148708026e-10,0.324863185980312,3.8383448019009e-06,0.000270618911227649,1.00661243276424e-07,2.99184735580231e-07,2.42939590228819e-08,0.0533413408293806
