"cell_ID","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"10250_10650",0,0,0.342428110592951,0.143485217717257,0,0,0,0.377024002613327,0,0,0,0.0431242965030345,0,0,0,0,0.0939383725734314,0
"10250_10750",0,0,1.88817603946792e-22,0.14429592103325,0.454601946614274,0,0,0.381383039204437,0,0,0,0,0,0,0,0,0.00400616254553992,0.0157129306024997
"10250_10850",0,0,9.8203340577945e-21,0.411639411199191,0.459927454331319,0,0,0,0,0,0,0.00203278345619928,0,0,0,0,0.0501182564927374,0.0762820945205536
"10250_9950",0,0.198455421519222,0,0,0,0.00219657124554957,0,0,0.796513777070137,0,0,0,0,0,0,0,0.0028342301650911,0
"10350_10050",0,0,0,0.140994464689379,0,0.67458935551074,0,0,0,0,0,0,0,0,0,0,0,0.184416179799882
"10350_10150",0,0,0.12943681467614,0.11203444999311,0,0.550965374768341,0,0.170435045057628,0,0,0,0,0,0,0,0,0,0.0371283155047809
"10350_10250",0,0.100298428426195,0,0.0290513367764856,0.00120095260873233,0.326078154389609,0,0.12555598241447,0.283238432149591,0,0,0,0,0,0,0,0,0.134576713234917
"10350_10350",0,0.122382808081334,3.29195811191875e-18,0.0992034511982342,0.164200327984668,0.349858837329665,0,0,0.166215927351708,0,0,0,0,0,0,0,0,0.0981386480543909
"10350_10450",0,0.178143814116485,0.0746055327355922,0.169683373539987,-4.79730556068976e-20,0.445738130985763,0,0,0,0,0,0,0,0,0,0,0,0.131829148622172
"10350_10550",0,0.196497826322368,0,0.10155273956614,0.242873606518824,0.293163835211428,0,0,0.165911992381241,0,0,-4.62922211279431e-20,0,0,0,0,0,0
"10350_10650",0.119927079505024,0.121784926391291,0.00260772640990336,0.12051476657192,0,0.116962570479823,0,0,0,0,0,0,0,0,0,0.0946389161333144,0.164411576641827,0.259152437866898
"10350_10750",0.364445537878078,-4.16556834598349e-18,0.0968580939735172,0.0624762457883889,0.169012386712101,0.108972955865138,0,0.0582563633696962,0.13997841641308,0,0,0,0,0,0,0,0,0
"10350_10850",0.200781150041811,0.0016048135640361,0.361293204095594,0.177261677555595,0.0859942031027591,0,0,0.170705029412438,0,0,0,0,0,0,0,0,0.002359922227767,0
"10350_10950",0,0.00514338842451647,0,0.0999061011353911,0.293670945084263,0,0,0,0,0,0,0.273552635778932,0,0,0,0,0.327726929576898,0
"10350_11050",0,0,0,0.370985018286267,0,0,0,0,0,0,0.538393507471432,0,0,0,0,0,0,0.0906214742423013
"10350_9750",0,0,0,0,0,0,0,0.997996526478605,0,0,0,0,0,0.00200347352139512,0,0,0,0
"10350_9850",0,0.269474583537921,0.0334597447420557,0.427087727750502,0,0.0953245547763397,0,0,0,0,0,0,0,0,0,0,0,0.174653389193181
"10350_9950",0,0,0,0.101623320863368,3.93023371579022e-18,0.382562163072813,0,0.360241702751927,0,0,0,0,0,0,0,0,0,0.155572813311893
"10450_10050",0,0.0195986890188138,0.00172414857287975,0.0867579214651769,0.440974120339863,0.356159613757726,0,0.094785506845541,0,0,0,0,0,0,0,0,0,0
"10450_10150",0.322654761221279,5.49896978040745e-18,0.00465043120570159,0.100034832498197,0.155479804814271,0.373016615272589,0,0.044163554987962,0,0,0,0,0,0,0,0,0,0
"10450_10250",0,0.0823182440995975,0,0.08434802039254,0,0.438275201196626,0,0.0219408171379714,0.149049049947604,0,0,0.0024057231119602,0,0.157170784595271,0,0,0,0.0644921595184294
"10450_10350",0,0.280465046424237,0,0.044384635415823,0.00205371367711617,0,0,0.0625445491722123,0,0,0,5.08987689580364e-19,0,0.424647265101981,0,0,0.18590479020863,0
"10450_10450",0.395512786392306,0.00380601555211457,0,0.370452325006338,0,0,0,0.0517902319988411,0,0,0,0.0839646066130206,0,0,0,0,0.0525174697170771,0.0419565647203027
"10450_10550",0,0.273787753774004,0,0.207199322844551,0,0,0,0,0.324430581115678,0,0,0.0532763980142373,0,0,0,0,0.0136262495460626,0.127679694705468
"10450_10650",0.337053350868947,-1.47631555871556e-18,0.00287692355019586,0.187888215518225,0.472181510062632,0,0,7.92754721910569e-21,0,0,0,0,0,0,0,0,0,0
