"cell_ID","33 Vascular","05 OB-IMN GABA","34 Immune","32 OEC","30 Astro-Epen","03 OB-CR Glut","31 OPC-Oligo","13 CNU-HYa Glut","02 NP-CT-L6b Glut","11 CNU-HYa GABA","10 LSX GABA","09 CNU-LGE GABA","29 CB Glut","12 HY GABA","06 CTX-CGE GABA","14 HY Glut"
"22",0.186511352667899,0.174723949426921,0,0,0,0,0,0,0.0105622564447461,-1.59583654527483e-18,-6.95430174776268e-20,0.138276361322677,0.0457468345770824,0.444179245560675,0,0
"23",0,0,0,0,0,0.00232814872233547,0,0,0,0,2.87205879047514e-20,0,0,0.997671851277665,0,0
"24",0,0.489999442476085,0,0,0,0,0,0,0,0,0,3.29312473566299e-05,0,0.406719315702143,0.103248310574415,0
"25",0,0.105382501839825,0,0,0.218053448392383,0,0,0,0,0,0,2.44494516872066e-19,0,0.676564049767793,0,0
"26",0,2.10037533897082e-17,0,0,0,0,0,0,0,0,0,0,0.00608437309187371,0.993915626908126,0,0
"27",0,0,0.148304923081525,0,0.0451852177850831,0,0,0,4.86368886610108e-07,0,-3.74666561084511e-18,0,0,0.806509372764505,0,0
"28",0.694841984352974,0,0,0.000465007083460308,0,0,0,0,0,0,0,0.0286902846666257,0,0.27600272389694,0,0
"29",0,0,0,0,0.162958328992713,0,0,0.837041671007288,0,0,0,0,0,0,0,0
"33",0.0698960943412493,0,0,0,-4.78369851001177e-22,0,0,0,0.25277318950591,0,0,0,0,0.67733071615284,0,0
"34",0.641094439759472,0.188713354749198,0.00129462357155661,0,0,0,0,0,0,0,0,0,0,0.128702576707758,0,0.0401950052120153
"35",0,0.000404171336025569,0,0,6.00806946141761e-18,0,0,0,0,0,0,0,0.218401762109499,0.781194066554475,0,0
"36",0.881818787682105,0,0.0539299091006286,0,0.0166262931834602,0,0,0,2.66227237779981e-21,0,0,0,0,0.0476250100338059,0,0
"37",0.670504923000271,0.329093421685306,0,0,0,0,0,0,0,0,0,0.00040165531442364,0,0,0,0
"38",0,0.327742979739561,0,0,0,0,0,0,0.0743664535843649,5.8574249055829e-18,0.222739643957002,0,0,0.347748602482148,0.0274023202369251,0
"39",0,0,0,0,0,0,0.325241621092233,0,0,0,3.18533386045875e-20,0.116072786071622,0,0.470704971333919,0,0.0879806215022257
"40",0,0.512605713951138,0,0,0,0,0,0,0,0,0,0.40956975344755,0,0.0778245326013119,0,0
"41",0,0,0,0,0.954028937584815,0,0,0,0,0,0,0.00874002272622004,0,0,0,0.0372310396889645
"42",0,0.065580357232059,0.30759316271756,0,0.378347873122108,0,0,0,0.0371172106935012,0,0.211361396234771,0,0,0,0,0
"43",0,0.201110574817946,0,0,0,0,0,0,0,0,0,0,0,0.798820770593482,6.86545885712118e-05,0
"44",-8.2324683337543e-21,0.932254017565387,0,0.0675020755762257,0,0,0,0,0,0.000190084001856608,0,0,0,0,5.38228565312026e-05,0
"46",0.709857001949878,0,0,0,0.290142998050122,0,0,0,0,0,0,0,0,0,0,0
"47",0.288599797753316,0,0,0,0,0.440327293448875,0,0,0.0700519491086071,0,-4.39840173856338e-19,0.0716898027324725,0,0.107011821400312,0.0223193355564178,0
"48",0.351042903888547,0,0,0,0.262284606497461,0.386672489613991,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0.182711327855961,0.817288672144039,0,0,0,0,0,0,0,-1.2054796982147e-19,0
"50",0.561611037092093,0,0,0,0,0.438388962907907,0,0,0,0,-1.27041288763787e-19,0,0,3.06913931907113e-19,0,0
"51",0.355553359932233,0,0,0,0,0.191673331344655,0.151706158773739,6.75065801016725e-06,0,0.301060399291363,1.99421464708426e-22,0,0,0,0,0
"52",0,0,0,0,0,0.616232088458489,0,0,0.0635525766905007,0,0,0.10005569232306,0,0.219529861552988,0.000629780974963131,0
"53",0,0,0.147951532327449,0,0,0,0.00301741470537894,0,0,3.69429686160234e-20,0,0,0,0.849031052967172,0,0
"54",0.893251765676253,0,0,0,0,0,0,0.106748234323747,0,0,0,0,0,0,0,0
"63",0,0.0855306677390931,0.0210263507700767,0,0,0,0,0.672374454423866,0.0660272893464013,0,0.0280798206595066,0.126961417061056,0,0,0,0
"64",0,0,0,0.169402017933884,2.88123769172039e-20,0,0,0.00337586290078327,0.724037455673372,0,0,0,0.0325962418026083,0.0705884216893529,0,0
"65",0.168535949049466,0,0,0,1.1662880130565e-17,0,0,0,0,0,0,0.323207065752143,0,0.479112875171495,0,0.0291441100268963
"66",0.564444123143845,0,0,0,0,0,0,0,-1.46988696377622e-18,1.2017243425649e-21,0,0.00391690926626773,0,0.431638967589887,0,0
"67",0,0.168821375341592,0.100764047244007,0,0,0,0,0,0,0,0,0,0,0.683162066419016,0.0472525109953857,0
"68",0,0.0163445218074219,0,0,0,0,0,0,0,0,0,0,0,0.983655478192578,0,0
"69",0,0,0,0,0,0.0178602156233158,0.321856131262835,0,0,0.101346487916564,0.0294429643878263,0,0,0.529494200809459,0,0
"70",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0.0870126745425472,0,0,0,0,1.45788998679965e-18,0,0.912987325457453,0,2.81942728728456e-21,0
"73",0,0,0.989734290610576,0,0,0,0,0,0,0,0,0.0102657093894243,0,0,0,0
"74",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"75",0,0.872936530849287,0,0,0,0,0,0,0,0,0,-6.06087492626535e-18,0,0,0.127063469150713,0
"76",0.0747302063596327,0,0,0,0.925269793640367,0,0,0,0,0,0,0,0,0,0,0
"77",0,0.0960163568680233,0,0,0,0,0,0,0,0,0,1.75443720093908e-18,0,0.819012364112835,0.084971279019142,0
"78",0,0,0.645952626175303,0,0,0,0,0,0,0,-1.45628382444151e-20,0,0,0.354047373824697,0,0
"79",0.667937248646988,0,0.098960501854327,0,0,0,0,0,0,0,0,0,0,0.233102249498685,0,0
"80",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",0,0.0895468972744916,0,0,0.863356691029739,0,0,0,0,0,0,0,0,0,0,0.0470964116957697
"82",0,0,0,0,0,0,0,0,0.112875909955792,0,0,0,0,0.61418563743239,0.00318642352251265,0.269752029089305
"83",0.801673688084162,0,0.198326311915838,0,0,0,0,0,0,0,0,0,0,0,0,0
"84",0,0,0,0,0,0.943917597541353,0,0,0,0,0,0.056082402458647,0,0,0,0
"85",0.603295762072146,0,0,0,0.0132855331426382,0,0,-1.16218786244245e-18,0,0,0,0,0.105890276373024,0.277528428412192,0,0
"86",0.522560152644987,0,0,0,0,0.000812388104582935,0,0,0,0,0.202082076413023,0,0.274545382837408,0,0,0
