,02 NP-CT-L6b Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,15 HY Gnrh1 Glut,19 MB Glut,20 MB GABA,24 MY Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
14,0.007128649298101664,0.04191694650799036,0.38469425290822984,0.0027547387639060617,0.05445042513310909,0.2833234861493111,0.003165871079545468,0.00671403321903199,0.0022497212514281275,0.01169960335828364,0.009105487912893296,0.011024463828653097,0.003669427218846977,0.0065702719846740375,0.05136360190808773,0.0064046350074931984,7.217555975914001,11.535937929153443,0.05062992349267006
15,0.003235037613194436,0.20592665821313857,4.6460342645645145,0.003583389986306429,0.006515924306586385,0.0634834185242653,0.002124964352697134,0.0020919304341077806,0.0009799698716960847,0.0038894707220606508,0.001176337682409212,0.0020911589497700335,0.0016753344389144331,0.0014339100162032994,0.6337101697921753,0.018719840608537198,6.373624086380005,0.02664418844506145,0.008456561202183367
16,0.0004070430513820611,0.0030610940884798765,0.030378241557627916,0.0005864358245162293,0.0016353246290236713,0.08301639370620251,0.00025213125336449594,0.00027864036674145613,0.00016585828125244008,0.00035312148538650944,0.00021934770120424218,0.00020692044417955913,0.000151908649422694,0.00014481114922091365,1.9132341027259827,0.001789942616596818,1.4822991728782653,0.001542054914170876,0.003956596436910331
17,0.00021479883216670714,0.01713409200310707,1.3032430052757262,0.0010070000193081797,0.008605056488886476,0.0024584630853496494,0.00015693860186729582,0.0004328224604250863,0.0004487242578761652,0.00015076348645379767,0.00010660713778634091,0.00013803846450173297,0.00019232856284361334,0.0003523045685142279,2.174656617641449,0.0028469352051615714,0.0004983099497621879,0.003172841016203165,0.002711100282613188
18,0.0014071360521484167,2.7271270036697386,7.604525685310364,0.0011151070473715663,0.006935958284884691,0.005714041786268354,0.000948927432182245,0.00239094328135252,0.0010250918858218938,0.0019179348833858966,0.0005704464827431368,0.001118317252257839,0.0011146347387693822,0.00189579701400362,0.061065683141350746,0.03296374771744013,0.006341255363076926,1.0441668152809143,0.005449607083573937
19,0.004716882971115411,0.25566633194684985,6.9947189569473265,0.09845460765063763,0.0123672756832093,0.011642167065292598,0.0012827642378397289,0.002600593352690339,0.0020837795455008745,0.002164649625774473,0.0012481800979003313,0.0020696786697953938,0.0020190054317936303,0.0015663860132917762,0.8478702068328857,0.01757634961977601,0.1603556305170059,0.006939627905376256,0.009653432248160244
20,0.0006329077063128353,0.22531833797693251,3.0761239290237428,0.0026240976643748582,0.015032865619286895,0.004067633021622896,0.0008398975071031601,0.0007904286205302924,0.0005579680000664667,0.0009138205699855463,0.0003187503752997145,0.0007029715779935941,0.000661666810628958,0.00036919350677635523,0.7605037719011307,0.004129592515528202,0.01236449289135635,1.2714130520820617,0.0066356387920677665
21,0.005971981934271753,1.2114113986492157,2.8282648086547852,0.0022501977044157686,0.06508605033159257,0.015362763358280063,0.0012802284036297353,0.003408646769821644,0.0015375399147160352,0.0025063599459826946,0.0008707820117706433,0.004031567461788654,0.0007112715567927808,0.003281204088125378,1.6595993518829346,0.72917061150074,0.01270934706553817,0.0022090893471613526,0.004016135516576469
22,0.0016963481495622546,2.313881540298462,5.283700585365295,0.004396910103969276,0.022924306523054837,0.3393187880516052,0.001273214165121317,0.0023751482018269598,0.0021028200048021973,0.003298526420257986,0.0008811582782072946,0.0025512206018902363,0.001339577155886218,0.0034065786516293884,0.6694066643714904,0.016626532748341562,0.25545473098754884,1.429004979133606,0.7672071516513824
23,0.0010093341988977045,0.0017029084498062731,0.9459652215242386,0.0008648455404909328,0.004354807338677347,0.006871657981537283,0.00036869345931336286,0.0006026537332218141,0.00016140964144142347,0.0006100248778238893,0.00024919136776588855,0.0005572855414357037,0.00030673099536215886,0.000270974547311198,1.7752504289150237,0.020202310010790824,0.4878802478313446,1.6586919188499452,0.005935933184809983
