"cell_ID","32 OEC","05 OB-IMN GABA","33 Vascular","34 Immune","03 OB-CR Glut","30 Astro-Epen","31 OPC-Oligo","02 NP-CT-L6b Glut","14 HY Glut","15 HY Gnrh1 Glut","10 LSX GABA","09 CNU-LGE GABA","12 HY GABA","13 CNU-HYa Glut","06 CTX-CGE GABA","11 CNU-HYa GABA","24 MY Glut","19 MB Glut","20 MB GABA"
"22",0,0,0,0.35249749637779,0,0.00292693275442885,0,0,3.71748662791361e-06,0,1.20533203946964e-05,0.257528827115922,0.386995416157317,0,3.55567875198652e-05,0,0,-1.57850229924564e-18,0
"23",0,0,0.396714032394058,0,0,0.154348619212574,0,0,0,0.249626739083402,0,0.199310602501692,0,0,0,0,0,6.80827431689631e-09,0
"24",0,0,0,0.536991085218347,0,0,0,0,0,0,0,0,0,0,0,0.23511994001743,0,0,0.227888974764223
"25",0,0,0.32379147544294,0,0,0,0,0,0,0.000282559106700887,0.675925965450359,0,0,0,0,0,1.41142271952445e-19,0,0
"27",0,0,0.859906217222622,0,0,0,0,0,0.140093782777378,0,0,0,0,0,0,0,0,0,0
"34",0.141627265087031,0,0,0,0,0.172756265533572,2.25433092181073e-18,0.356596157116587,0,0.222607590460674,0,0,0,0,0,0.106412721802095,0,4.0792928187833e-14,0
"35",0,0,0,0,0,0,0,0,0,0.194013309774177,0.719843591592721,0.00291152947910414,0,0,0,0.0832315691539974,0,0,0
"36",0,0,0,0,0,0,0,0,0,0,0.659822466786971,0,0,0,0,0.340177533213029,0,0,0
"37",0,0,0,0,0,0.159581481663659,0,0,-1.59810552385706e-18,0.0624314049673157,0.777987113369025,0,-9.12791683555736e-18,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0.000682413170440751,0.206441182583624,0,0,0,0.525726690827624,0.0663741741669555,0,0,0.0513267186954673,0.149448820555888,0
"39",0.0644303747618313,0,0.360435745637309,0,0,0,0,0,0,0,0.0321163867107688,0,0,0,0,0,0,0.109100637557021,0.433916855333069
"40",0,0,0,0,0,0,0,0,0,0.195202231692957,0.556099458379558,0.00126295932510292,0,0,0,0.247435350602382,0,0,0
"41",0,0,0.155368228516356,0,0.38373667908227,0.0893952858441864,0.12002324176636,0,0.251476564790827,0,0,0,0,0,0,0,0,9.85339393179617e-19,7.12035758454538e-20
"42",0,0,0.172587333271487,0,0.80998734043779,0.0173424664979084,0,0,0,0,0,0,0,0,0,0,0,1.05401042175104e-05,7.23196885973805e-05
"43",0,0,0,0,0,0,0,6.59931741225761e-05,0.365102790037386,0.0427725998896043,0,0,0.193274489042253,0,0,0.137567373006986,0,0.261216754849648,0
"44",0,0,0,0.0575287150063325,0,0.292100939632067,0,0,0.19481015139172,0,0,0.228155055534985,0,0.0142892288064161,0,0,0,0.0354988220576956,0.177617087570785
"45",0,0,0,0.00183154727337124,0,0.0646246184466799,0.67417950954681,0,0,0,0.248687638720263,0,0.0106766854437743,0,0,0,5.69101135767813e-10,0,0
"46",0,0,0,0.551385655237916,0,0,0,0,0.377149462764134,0,0,0,0,0.0576382117830547,0,0.0138266702148952,0,0,0
"47",-3.05257439529875e-20,0,0.218530117849116,0,0,0.361511428899869,0,0.0507808677396856,9.14439098335209e-20,0,0.073915899652516,0.223935268232343,0,0,0.0713264176264712,0,0,0,0
"48",0,0.351891857905615,0,0,0,0.647831396789934,0,0,0,0,0,0.000276745304451324,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0.000252005926004642,0,0,0,3.86800999627876e-05,0,0,0.999709313974033
"50",0,0,0,0.0489344124221655,0,0,0,0,0,0,0.348468632863513,0.602596954714322,0,0,0,0,0,0,0
