"","32 OEC","05 OB-IMN GABA","33 Vascular","34 Immune","03 OB-CR Glut","30 Astro-Epen","31 OPC-Oligo","02 NP-CT-L6b Glut","14 HY Glut","15 HY Gnrh1 Glut","10 LSX GABA","09 CNU-LGE GABA","12 HY GABA","13 CNU-HYa Glut","06 CTX-CGE GABA","11 CNU-HYa GABA","24 MY Glut","19 MB Glut","20 MB GABA"
"1315",7.77067517723022e-08,0.991361759051169,0.00048956480715812,5.34546429578413e-05,6.46092267348588e-07,6.03809908611436e-07,0.00148580296205048,6.46063613850315e-05,3.39215587534454e-06,4.47301702587103e-06,6.65539465535658e-06,0.00209592767195667,0.00112603471796829,1.04298548601668e-05,0.000388519079630057,0.00289512877433388,1.91518072620037e-07,2.2978670654313e-11,1.27323589951086e-05
"1316",3.64402305173048e-06,0.964401973668818,0.000355461116206104,0.00197608144156339,0.000100715176618815,3.10893319837631e-05,0.0207861330543545,0.000127786770234727,3.46590139658595e-06,3.73926773523969e-05,2.92158579809172e-06,0.00124382081772838,0.00260351015654922,5.64149609833089e-05,0.000142492255316716,0.00158780248929418,0.00631574164138316,4.40072995847398e-09,0.000223548530636995
"1317",0.00371336548407337,0.945884987860449,6.90225323076136e-05,0.00247345396084186,0.000152888832550104,0.015254638308234,0.0116041925291007,0.000261664395239166,4.94975517382901e-06,0.000355876455303901,1.09219878922552e-05,0.0106627436691953,0.00166513459875412,5.69241025680752e-05,2.47621291143277e-06,0.00631766430483769,5.52453854575937e-05,1.28646390021201e-07,0.00145372097872002
"1318",1.17607160224628e-08,0.985822999663095,2.68405717982949e-06,0.000168423841697854,2.22234909299738e-06,5.3101204184989e-07,0.00168649080198885,4.69314912068923e-05,1.17366581085129e-05,1.26379500171698e-06,3.61600949095227e-06,0.00184562248378675,0.00168518504468398,0.000205371318437471,1.05925057983557e-05,0.00846874483985698,6.89946821763551e-08,1.29399822453154e-10,3.75032437336249e-05
"1319",3.54086162787155e-07,0.97597282363043,9.40678111637253e-05,0.000163440911505065,2.9709971544918e-05,3.68360713715579e-07,0.00466837127291448,8.53274520569304e-05,1.1948450673752e-05,8.57605624211602e-06,2.93642730043643e-05,0.00432855637824208,0.00341859818045182,0.0016194405506467,0.000887790242820516,0.00773085524709327,1.53134696733031e-06,1.515529409518e-15,0.000948875777365054
"1320",2.08924205098607e-11,0.943023729675874,4.75477754300109e-06,1.43045557480588e-05,7.44853157012915e-06,8.09503319629006e-08,0.000736723455822103,0.000460932447582647,6.46386054730396e-05,2.59619609037754e-08,2.61495337123088e-05,0.00145975107836159,0.00339945387669911,0.0289726895373535,0.00362378006566879,0.018182118823827,1.19408704612513e-08,1.12393153690423e-15,2.34061607075245e-05
"1322",3.47711787788014e-05,0.581187355840943,0.00343917432978317,0.0108409764699891,0.000394640932148154,0.000107824136820062,0.00761377365478987,0.0019042553545391,0.000780805746018345,0.00147694387824685,0.00112647955146008,0.0160083611428554,0.0545056532403641,0.298514493121083,0.0134606670787762,0.00727750486891089,3.91138438429128e-05,8.14097459178595e-07,0.00128639153319123
"1323",5.24232537463998e-05,0.00786572186301204,0.0204988366917623,0.0208631352719372,0.54597322366356,0.0325625770643916,0.000124833656712543,2.68761699489724e-05,0.000294711839421815,0.00971972820846191,0.00113201138875511,0.000920649179195749,0.069713357179999,0.0210744359815081,0.0101425401387795,0.000386322608773974,0.178712282003353,4.70638318626941e-07,0.079935863198362
"1324",0.0377946326379098,0.000117525714884174,0.429650763044878,0.00622601454863133,5.62919070913415e-06,0.519346531635332,4.50132767821528e-05,7.30774059202478e-05,0.000413891232461157,0.00490139549190916,0.00133427874397491,6.4089476160881e-05,2.95355066653957e-06,1.08523383067589e-06,5.76602330457603e-06,3.43616171614774e-06,2.6995639974731e-07,1.33980290620355e-05,2.48645467792068e-07
"1325",1.60062492973559e-12,0.000128269591686621,7.12056638406411e-06,0.718381098019831,0.00708840707689533,3.04462145463367e-09,2.76189114007985e-09,6.35813222416639e-13,0.219059193692313,3.00498055966864e-13,9.39337569527506e-05,0.000906513797067094,0.0021482184094468,0.0203723338544668,4.37191422509137e-05,0.0048060422678404,0.00522300354423205,0.000405362857428643,0.0213367776141549
"1326",0.000585606047235911,0.0599103321173037,0.0654799912589433,0.00528872255315696,0.0621351026529739,0.0499773928245244,0.117539495085736,0.029357304519669,0.0946133858077792,0.00121537235590531,0.138637593220021,0.0858815075863155,0.110845275707723,0.00102366182197593,0.00134727163337356,0.00755746390516127,0.000885052022733187,0.161336049886253,0.00638341899321625
"1327",0.000449133003100475,0.204974340476032,0.0681694378029527,0.0112922062920731,0.00838502789709674,0.109577921781722,0.00235374115301787,0.0445718712615387,0.0297186176977713,0.00370022369363502,0.270678863022662,0.0736060088491738,0.008481075746595,0.000154154778818617,0.00136287588028367,0.00663746930592557,0.00620528944695794,0.149429727737213,0.000252014173431075
"1328",0.455738717983453,0.0295861137402468,0.235119214405403,0.00209542523251622,1.42968619904104e-05,0.000288474478927378,0.000111140905517898,0.0214350435638508,0.0767804669098178,0.000970669037256509,0.104389395667885,0.0341178648647022,0.024023268324779,0.00107171749604526,0.00507650537972543,0.00895342206657226,4.38680182293837e-07,0.000221634979551524,6.18942157787209e-06
"1330",0.757669563016873,5.80036337522432e-07,0.000203450958345542,0.00837203027398416,2.85583692985047e-06,0.186683147608387,0.00647730798915478,0.00066631400505847,2.86040366859224e-08,0.0314196727676577,1.64815591553142e-06,1.18756864510943e-07,6.44609523392621e-08,2.82341336695106e-07,1.06455932338966e-06,3.63515212380737e-07,4.41934584561188e-10,0.00850150455694719,2.11474901785025e-09
"1331",0.922957836622238,5.54827908539075e-05,0.00264576680910663,0.00340074339856549,0.000203416644883421,0.0183809489109301,0.01067375685181,0.00770513296502487,9.64453584831585e-07,0.0148639006731845,1.16332182720969e-05,0.000447006268735046,5.05881143545155e-05,0.00705251279016993,0.000438384622286648,1.21891607028835e-05,0.0102958573823138,5.19849783903055e-05,0.000751893344593496
"1332",0.442237523974853,2.75048261763157e-06,0.00966786205606888,0.372368012892749,8.84534807517033e-06,0.120395149436461,5.00378337484643e-06,2.24344510604633e-05,8.20332733588792e-17,0.0512966980718825,9.9353575256754e-07,2.69314160361495e-06,5.64637208997047e-10,3.14882897334707e-06,0.00272865592590226,5.02215282446995e-06,0.00015642548239208,0.00109859013621339,1.89734557719899e-07
"1333",0.0495746031033634,0.0624457226194747,0.141203686272866,0.0163875360537674,1.16515420812754e-07,0.0595205935524533,9.36782282377868e-05,7.42258295057962e-06,0.0246375441010151,0.0327736674014028,0.474865463327549,0.0416794535527914,0.0392990805766259,0.00278529583370974,0.0496261166563821,0.00509894884816512,3.01641940929158e-07,7.68509895211572e-07,6.21988656562791e-10
"1334",0.807686418752212,3.84833658465635e-05,0.0574635581701963,0.00832661559263594,2.36785099646267e-06,0.060052542245981,0.00033137388751198,0.000701898011144293,2.40008424199683e-08,0.0519355007633021,2.99295624928769e-06,2.26228321567514e-05,9.33506501750789e-07,4.45401439991395e-07,0.012748891586688,1.02436471899529e-08,0.000666816801168443,1.65457895846377e-05,1.95824189462775e-06
"1335",0.799050318869737,1.04084844809661e-05,0.00270763470286533,0.0166245953945115,1.08728404634502e-07,0.112335633366701,0.00101991706795605,0.000143869922659923,3.20836487020255e-13,0.0481041512448465,5.38130181414892e-07,6.10157649111509e-06,8.11274267673152e-11,5.95552827303941e-08,6.85499083985574e-05,1.00351923791403e-06,6.6376692922147e-09,0.0199271018983763,9.10751683138349e-10
"1336",0.78370979820054,1.25028015031485e-07,0.000754717616512963,0.00898635018670169,1.94813252186739e-09,0.136211680058441,0.0213119076015421,0.00058791463159973,2.58609268798206e-13,0.0473095670095651,1.78969590922548e-09,4.2493823595407e-09,1.0903464332739e-15,3.15411238096195e-11,4.64939563296291e-05,7.9181596261426e-11,1.52007544030533e-15,0.00108143761190678,6.51371064609883e-13
"1339",0.755727318693961,2.01412275983882e-05,0.00236687260397144,0.00116571104879409,0.00362006004974148,5.96028391142616e-07,0.152305593197732,0.0150847384126654,8.98045688112921e-07,0.000128464504486911,2.18338254249385e-06,0.000885236806733714,0.040132489862285,1.64496338614193e-08,1.76411824043681e-07,0.000226896038484196,0.00510109794891983,4.24871318837699e-06,0.023227260573359
