,02 NP-CT-L6b Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
25,0.0001989244541618973,0.33450294733047486,1.8561792016029357,0.004877117206342519,0.002324952802155167,0.08007218353450299,0.0002510535341571085,0.00046591656573582443,0.00015177365203271622,0.0009410840983036906,0.6511798679828644,0.027093278989195824,0.0645278062671423,0.001028787693940103,0.006746202916838228
26,0.0031974984914995733,1.205343449115753,0.0031589983729645612,0.13800523281097413,0.15507851243019105,0.011828225618228317,0.0026349890627898275,0.007032394385896623,0.0024350879364646973,0.005493438290432096,0.005042064841836691,0.0027082382002845407,1.267311578989029,7.879887557029724,0.011058372352272272
27,0.00041732474346645176,0.0002837641994119622,0.000238475530204596,0.000777521004783921,0.0005346437916159631,0.0007507593079935759,0.0001543341044452973,0.0010839021706487983,0.0003624892560765147,0.0001952757389517501,0.00026971740007866176,0.000499187083914876,0.0009385560260852799,0.30302495658397677,0.0014261166332289576
28,0.00081302295147907,0.0012721418344881386,0.0002712282468564809,0.0004805877033504658,0.00023675329648540356,0.00043781091226264835,0.00018830742556019686,0.0007265206455485895,0.01006525200791657,0.0007037337549263611,0.001319808734115213,0.0006518794834846632,0.0060247353743761774,2.5644463539123534,0.0021447021048516036
39,7.098672249412631e-05,0.041475835256278515,0.09806696884334087,0.00022876084040035494,0.00041963279072660954,0.042661241441965106,6.355225341394544e-05,0.00015459959249710666,6.633941484324168e-05,0.000402836746070534,0.00485992084722966,0.001129811891587451,0.0035845665261149406,0.0008185032289475203,0.0004228282588883303
40,0.002608820702880621,0.005981287104077637,0.001263982930686325,0.013998338859528303,0.0017846076632849872,0.0016386629373300822,0.0006002463080221788,0.0007965572469402105,0.002179434185381979,0.001369612873531878,0.2954582452774048,0.0034921801765449346,3.4687204241752623,3.884193277359009,0.03101716358214617
41,0.0046624070266261695,0.002836085855960846,1.8370074033737183,0.624483197927475,0.013319895463064313,0.025871471967548132,0.0007356947317020968,0.0016847954830154777,0.0026123656192794443,0.00415928503498435,0.1556846432387829,0.04998013228178024,11.45897707939148,0.08098331689834595,0.014265001472085715
42,0.01105511854402721,0.014416973339393735,2.2761070370674132,0.24909084811806678,0.012163381138816477,0.13833709359169005,0.002726478560362011,0.010505132609978318,0.004444202734157443,0.005585975851863623,1.9677778363227845,0.012325265724211932,3.4193143963813784,3.890973913669586,0.01917027784511447
43,0.0006781546748243273,0.24448132514953613,2.1847309708595275,0.02281748065724969,0.00961613841354847,0.07153879776597023,0.00040831619262462484,0.0016605667828116567,0.0008268697041785345,0.0018302945478353649,0.13506990820169448,0.02261906284838915,1.2045711994171142,0.0027363251661881804,0.0011807942646555603
44,0.0015332122391555458,0.17549587339162825,3.3500603556632997,0.1441340297460556,0.007247534859925508,0.21671222522854805,0.002630314440466464,0.0019000918953679502,0.0007138063199818135,0.00224348995834589,0.8713120013475418,0.030503806937485934,0.5105664819478989,0.003102577175013721,0.006265903683379293
45,0.0025083496351726354,2.027989137172699,6.081860899925232,0.27723503559827806,0.019362888764590025,0.3032826244831085,0.0035975392791442575,0.008631102787330747,0.0009777541388757526,0.006510626641102136,0.2197234109044075,0.009729258622974158,0.058613224700093274,0.003402589017059654,0.004235869226977229
46,0.0017029257433023304,0.02107339669018984,3.115589737892151,0.21908326894044877,0.004431928577832878,0.007442177855409682,0.0036254474427551034,0.0013259312137961388,0.000713841716060415,0.0032471129903569817,2.1033069372177122,0.009724864969030023,0.0131915760692209,0.0009845792374107989,0.005777194374240935
47,0.007917522126808763,2.819866108894348,10.592795705795288,0.42539816796779634,0.061808593384921555,0.06759420484304428,0.007538243802264333,0.008190019195899368,0.004054421209730208,0.0183405427262187,0.003912906849291175,0.023387031350284814,0.00742807446513325,0.00460231218021363,0.006721247057430446
48,0.018164359219372272,0.061168904229998586,14.934591722488403,0.9948192954063415,0.09782235734164715,0.056216330453753474,0.01701660230755806,0.026017234940081835,0.013757934514433147,0.017452851124107837,2.971324324607849,0.1030730564147234,1.894096666574478,0.014507775940001012,0.0152954516466707
49,0.006523356284014881,1.6455726742744445,9.863727855682374,0.03498990666121245,0.06056856811046601,0.20689111948013306,0.007574489247053862,0.017884803377091883,0.0036839734646491712,0.01572584416717291,0.18999845758080483,0.08694137893617153,1.3008688926696776,0.005121795041486621,0.3570045635104179
50,0.0016003366617951542,4.630054616928101,1.3790422439575196,0.018880438711494207,0.014867434836924076,0.11882118284702302,0.0007761954941088334,0.00390177316730842,0.0006274920131545515,0.001871736324392259,0.12694743126630784,0.049242159351706505,0.019502934999763966,0.0006613801117055119,0.0020853505004197357
51,0.0022273420821875335,0.002621582988649607,0.00945812971331179,0.09117170870304107,0.002054367493838072,0.02036437103524804,0.0003856899027596228,0.0028462811838835477,0.00107626024982892,0.001137351611396298,1.7529190599918365,0.2138823926448822,5.603508615493775,0.0011824515357147904,0.0018955949286464603
55,0.002848512539640069,0.021438272111117842,2.9739758729934693,0.1546746388077736,0.020784060377627613,0.02595539540052414,0.14568362832069398,0.009058365551754832,0.001992912800051272,0.002240090223494917,1.1951859891414642,0.012914932193234563,3.411157417297363,0.004812747309915722,0.0032215166022069755
56,0.0035616007749922573,2.3372189164161683,1.4028822958469391,0.4803637444972992,0.025506063457578422,0.04790921434760094,0.003735773649532348,0.0030716632725670935,0.00507268919609487,0.007008342701010406,1.772679615020752,0.18990252912044525,5.980146765708923,0.001416430377867073,0.004233458195813
73,3.89715194614837e-05,1.31689812541008,0.00012874733802163975,0.00022398443979909644,0.00014141140709398315,9.245042929251213e-05,2.334018863621168e-05,3.1307835160987456e-05,1.5989638177416056e-05,2.4896578725019936e-05,0.000761810180847533,0.0003321524680359289,0.00013539290230255575,0.0003992652098531835,0.0004962716368027032
75,0.008201415976509452,0.21935361176729204,6.771610951423645,0.4797255352139473,0.05322918053716421,0.05072435084730387,0.007387322699651122,0.06544626466929913,0.008562039770185948,0.017458090092986822,0.19125447198748588,0.20802675038576127,2.7305907607078552,0.007861959282308817,0.003521557548083365
76,0.0003344276614370756,0.002629109180998057,2.814111888408661,0.0022435539402067663,0.026331682968884707,0.4620953544974327,0.00023423435050062838,0.0004899376566754654,0.0005437539162812755,0.0020313327200710773,0.256972499191761,0.006603479525074363,0.223149586468935,0.0040499374736100435,0.0013635101786348969
77,0.00109191999072209,0.6189287006855011,3.5521976590156554,0.01715344497933984,0.2309270329773426,0.050011331960558895,0.000960235224920325,0.002047290070913732,0.001303365983767435,0.0017517247004434466,0.6430948615074158,0.015902400575578214,2.931410491466522,0.0010845947719644756,0.002209744497667998
78,0.004471238306723535,3.2260995149612426,7.229421615600586,0.1930154636502266,0.026525982841849326,0.04971644524484873,0.0035890567116439345,0.019917221553623677,0.001962904096581042,0.009793886030092836,0.14984942078590394,0.02776010688394308,0.015181731479242445,0.0024168725474737586,0.4766903579235077
79,0.0005632464308291674,0.0007286727661266923,0.00011980140407104046,0.0015025343280285596,0.0002557113999500871,0.0002761651907349005,0.0001478734331612941,0.0007603708916576579,0.0005302933888742701,0.0004459607240278274,1.922354167699814,0.001001375145278871,0.002191257430240512,5.081175422668457,0.004711266024969518
80,0.0018324021773878485,4.43163788318634,4.621843767166138,0.05761743374168873,0.030337030068039894,0.2206637978553772,0.008631636761128903,0.00527023000176996,0.0014028355071786791,0.03780768811702728,0.10378325544297695,0.023590716160833837,0.10321499332785607,0.0048575241351500155,0.24823300018906594
81,0.010159788606688381,1.6986754953861236,13.235577726364136,0.5906471490859986,0.09958084300160408,0.0695404350757599,0.019147025886923075,0.04415212105959654,0.006628740392625332,0.020106212701648474,1.2057850301265716,0.09820074886083603,0.3669731840491295,0.6343608736991883,0.4361540451645851
82,0.0023613326251506806,3.3635533094406127,4.238312315940857,0.08343204073607921,0.01710837399587035,0.07488486431539058,0.0029606773052364586,0.004871570621617138,0.004822813230566681,0.00593023810070008,0.562392196059227,0.010591127118095756,0.02107642237097025,1.3769214749336243,0.016914024390280245
83,0.0019022892229259014,0.14137970060110092,0.018835886381566525,0.014228145126253366,0.018777790293097497,0.0016778679564595222,0.0016690569289494305,0.003556339512579143,0.0013961780758108943,0.00882355310022831,0.01690321322530508,0.0019259082095231862,0.026755056530237197,6.507438015937805,0.0058236997574567795
