"","05 OB-IMN GABA","30 Astro-Epen","03 OB-CR Glut","34 Immune","33 Vascular","31 OPC-Oligo","32 OEC","06 CTX-CGE GABA","29 CB Glut","09 CNU-LGE GABA","12 HY GABA","10 LSX GABA","02 NP-CT-L6b Glut","11 CNU-HYa GABA","13 CNU-HYa Glut"
"21",0.274568080453483,0.0679219756364829,0.000389771436638256,0.0144460379071428,0.0102946889899144,0.0213622139787439,0.000642412979874841,0.00230981927267301,0.116221906618523,0.198739730626776,0.127136723878961,0.162437255169498,0.000121287639613448,0.00211458332226205,0.00129351208941355
"22",0.0428848797275297,0.300577004428291,7.68422212416225e-05,0.0105920356471481,0.220218159753127,0.0169631679611164,0.0808881569641987,0.0537089277238228,0.0442156575665182,0.0395000693763406,0.00749865115265768,0.141040650309653,0.00827843649088799,0.00578424132438438,0.0277731193530829
"23",0.0836385283051632,0.120086638059645,6.95017256293695e-06,0.00973218848306805,0.0129566055141508,0.0321581874114151,0.105778554152288,0.054768993994988,0.130571297591655,0.0128269332572323,0.0605955110161527,0.275104101379089,0.0180132872069346,0.000130700703665224,0.0836315227519899
"24",0.0496514419655077,0.213768628191739,2.0290729823203e-06,0.00612381488335854,0.00571976713566754,0.00172468411429361,0.0577537504637096,0.0446007093247286,0.128949287649187,0.146623973878796,0.0533618890923249,0.21406135041803,0.0191940447750865,0.000726616307501836,0.0577380127270864
"25",0.0605313750060927,0.0555075520599174,3.45231981504056e-09,0.0172087610036576,0.0113052174919157,0.114358539417924,0.00732785505130084,0.0404668141755515,0.1899346521946,0.0268189583729911,0.00771103684549519,0.466847929237039,3.55972365564734e-05,1.56834450544217e-05,0.00193002500958342
"26",0.00471067964679519,0.00058248448719796,0.0523528427682403,0.000451455553221935,0.666318674315104,0.00278690279260205,0.0270520885584258,0.0121875311412422,0.0798733775781591,0.038825727236489,0.00943904854073056,0.0593245310529866,0.00100784507514653,0.00958814863707452,0.0354986626165838
"27",0.0243450341615472,2.8432731349394e-12,1.53189378125703e-06,0.161569316109517,0.376312223049158,0.000392508393249985,0.0276012723895467,7.84464388318421e-05,2.10426260248123e-11,0.241575418967621,0.115090936694169,9.78415531912529e-05,5.25302762549209e-10,0.00159376511867574,0.0513417046815214
"28",0.209250751276312,0.000203116535486162,0.000106632160435717,0.0362921205163108,0.461361027884491,0.00624651000585766,0.193551874577608,0.0698591086321471,1.96710708983842e-05,2.16452393736412e-05,0.000139056057865959,0.00755868005119469,0.000633281482888776,1.18499459067985e-06,0.0147553395145392
"39",0.00764547795031286,4.06752786557934e-05,2.7106830132494e-05,0.00017856513417892,8.69437538617972e-05,0.000302583830915132,0.00222701992655769,0.00981934457953338,0.320671606416746,0.00115331899906669,0.118288219547693,0.488940067225783,0.00962760740695154,0.035167755271241,0.00582370784837002
"40",0.0019328879588557,0.0361106618573499,1.74370592361778e-05,0.0823822758427884,0.382466796806102,0.00944766490701524,0.131841630969838,0.0369457072264915,0.00056820516851031,0.00778829206613858,0.000558400803102632,0.0342150946542803,0.103212238747711,8.34579839402556e-05,0.17242924794864
"41",0.0580719459714632,0.00304437836295539,0.000100035809501296,0.0252806557344558,0.0521088706637289,0.00043000215343524,0.414176589127686,0.0572964499112132,0.0733129451500732,0.0634295411137153,0.0105013106823135,0.0486721413567005,0.0944840553718295,0.00584305869431809,0.0932480198966106
"42",0.0568426831737469,0.10195990475162,5.92710440992465e-05,0.0379089855008119,0.14939274016482,0.00378294569945608,0.175166076547409,0.0449621278747534,0.0545323914037361,0.016364244381569,0.0563974647479838,0.230175212651857,0.0229730242560759,0.0113598632422092,0.0381230645598526
"43",0.0632621486013872,0.00602894081004546,4.96937931614651e-05,0.00196369673939517,0.00186861563684703,0.00421757656348816,0.180398719311457,0.00281948369739034,0.065687783178362,0.199725241058985,0.137720000436543,0.267380560472542,0.0308702229128515,0.00348235481690773,0.0345249619706364
"44",0.0896655818062522,0.0762906291884528,0.000409472668201552,0.00909925792941306,0.00280648940121074,0.0912083125881102,0.00407090018856206,0.131715174612539,0.0506318951379994,0.0675780297677086,0.0157456198845896,0.406697289054422,0.00169371858357487,0.0474003994951987,0.00498722969376527
"45",0.12913888861115,0.0170386511186813,0.0338987239312628,0.00412627626921965,0.000316904265861136,0.00670456263186303,0.00208305104696453,0.160059842756163,0.118864975170494,0.0812492126472887,0.0301867474183899,0.313896465234784,0.0125250502281807,0.0881874141342674,0.00172323453543036
"46",0.148395467496055,0.17323347540614,0.000114519434812457,0.0243450580602093,0.0016089669276209,0.0134876821058602,0.00178803992202811,0.0840894546264101,0.109366738236403,0.142072928667768,0.025100966239271,0.213788618289108,0.00074971283690939,0.0615495126897163,0.000308859061688891
