"cell_ID","05 OB-IMN GABA","30 Astro-Epen","03 OB-CR Glut","34 Immune","33 Vascular","31 OPC-Oligo","32 OEC","06 CTX-CGE GABA","29 CB Glut","09 CNU-LGE GABA","12 HY GABA","10 LSX GABA","02 NP-CT-L6b Glut","11 CNU-HYa GABA","13 CNU-HYa Glut"
"42",-3.74069991835633e-19,0.222381640786402,0,0,0.260324926822438,0,0,0.0619713671621272,0.207128804145282,-2.38621728358679e-19,0,0.0979093469419054,0.0812513368003014,0.0690325773415435,0
"43",0.082102068047567,0.00496345838606312,0,0.0356950564389331,0,0,0.0388288068019893,0,0.224226402376804,0.0498981573244813,0.115784342945827,0.103069148368536,0.210278469499871,0.0856558681597418,0.0494982216501869
"44",0.0600567104549034,0.0484489219390537,0,0,0,0,0,0.220343168581668,0.121643009607868,0.198972879149176,0,0.0877720101397847,0.191001732723138,0.071761567404407,0
"45",0.0489973853689626,0,0.0783797718342164,0,0,0,0,0.170190258596454,0.230795191692857,0.124847056928386,0.158023929707374,2.14801740318595e-05,0.188744925697718,-2.3979340432882e-18,0
"46",-2.22068331751632e-20,0.304472109131421,0,0,0,0,0,0.0813073904330873,0.195469008340684,0.186492400856576,0,0,0.183317128830147,0.0489419624080846,0
"47",0.194808053853997,0,0,0,0,0,0,0.16938323493448,0.187236791262562,0,0.182131365907393,0,0.153757739481141,0.112682814560427,0
"48",0.130628168653291,0.119180460733935,0,0,0,0,0,0.149397553575839,0.166349130265155,0.219568336244678,0,0,0.0306356804253094,0.184240670101794,0
"49",0,0,0,0.105672134476131,0.118544644917732,0,0,0.0684446336327081,0.202916267610452,0.21046140167525,0,0.204063461673239,0.0494028045092537,0.0404946515052335,0
"50",0,0,0.489717054842464,0,0,0,0,0,0.109451913571619,0,0.0797280376520555,0.000170541063022138,0.320932452870839,0,0
"51",0,0.375205941445271,0,0,0,0,0.38005179420567,0,0.0962919450377352,0,0,0,0.104329199540626,0,0.0441211197706976
"55",0.31983075416415,0.0688301263922252,0,0,0,0,-3.7301416084038e-18,0,0.00010800533077974,0,0,0,0.179884733759284,0.296467827167093,0.134878553186469
"56",0,0.0850062268498629,0.163040796448896,0,0,0,0.148027516039287,0.210403282201437,0.0687201703199766,0,0.0655868078896121,0.0144615518534141,0.222551723383132,0,0.0222019250143822
"73",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"75",0.175162112679823,0,0,0,0,0,-2.15833836822787e-19,0.0127962183498967,0.193571335982251,0.1873927586414,0,0,0.370466866179157,0.0606107081674713,0
"76",0,0,0,0,0,0,0,0.34144042232859,0.0777205791589926,0.201080466528672,0,1.07096121850215e-19,0.379758531983746,0,0
"77",3.71871946203892e-07,0.0825846750763173,0,0,0,0,0.180887209163421,0,0.154592528468393,0.196193403629722,0.0601307869608646,0.325598744449044,1.22803802926459e-05,-1.14224383236972e-21,0
"78",0,0,0.206161943031525,0.0712532143543143,0,0,0,0.0698657909205442,0.156379948832316,0.207132355659454,0.141898993086975,0.147307754114872,0,6.01017099404276e-19,0
"79",0,0.58555889963087,0,0,0.41444110036913,0,0,0,0,0,0,0,0,0,0
"80",0,0,0.299488454134889,3.38311157708143e-19,0,0,0,0,9.89486458998914e-05,0.252354984012596,0,0.325205759169325,0.122851854037291,0,0
"81",0.0910459377699612,0.0306213477076345,0,0.0161119335553325,0,0,0,0.269322974067622,0.103535431580898,0.193730852795318,0.0293588860687482,0.022384236289933,0.243888400164553,0,0
"82",0.164062333056754,0.0293518963453907,0.466181966777259,0,0,0,0,0,0.216114062737084,0,1.96255664094422e-19,0.124212747519451,-1.70459197080648e-19,7.69935640621098e-05,0
"83",0,0,0,0,0.967505221643865,0,0,0,0,0,0.0324947783561354,0,0,0,0
