"cell_ID","05 OB-IMN GABA","13 CNU-HYa Glut","34 Immune","32 OEC","03 OB-CR Glut","33 Vascular","31 OPC-Oligo","30 Astro-Epen","09 CNU-LGE GABA","06 CTX-CGE GABA","10 LSX GABA","12 HY GABA","02 NP-CT-L6b Glut","29 CB Glut"
"45",0,0,0,0,0,0.279370010116296,0,0.720629989883704,0,0,0,0,0,0
"46",0,0,0,0,0,0.357933336683603,0.505248560431751,0,0,0,0.136511102139712,0,0,0.000307000744933086
"47",0.000263769762254281,0,0,0,0,0.295382484142704,0,0.403397362562971,0,0,0,0.278435977860615,0,0.0225204056714553
"48",9.43127333058698e-05,0.0485786612326964,0,0,0,0,0,0.16289089689977,0.104445161392357,0.304776682166641,0.120284238722039,0.258930046853192,0,0
"49",0.130353111505032,0,0,0.363111107617046,0,0,0,0.0301460114707007,0,0.000141105007577287,0,0.476248664399643,0,0
"50",0,0,0,0,0,0.609759471932433,0,0,0.0728829723472579,-5.19942425554917e-20,0.19507984652653,0,0,0.122277709193779
"52",0,0,0,1,0,3.27080917359894e-19,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0.0259363196927999,0,0,0,0,0,0,0,0.9740636803072
"56",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"57",0.232513183245885,0,0,0.134235250590686,0,0,0,0.116905571866424,0.0126687100026611,0.260887311836322,0.242789972458021,0,0,0
"58",0,0,0,0,0.0473395225469474,0.468236090836111,0,0.484424386616942,0,0,0,0,0,0
"59",0.0962582851260569,0,0,0,0,0.247351653516308,0,0.336325285430558,0.0864959910770567,0.0323679180129084,0.201171076800748,0,0,2.97900363636736e-05
"60",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"61",0.0430253530638086,0,0.0383272625837044,0,0.0365533877423004,0,0,0,0.295214798173233,0,0.586879198436953,0,0,0
"62",0,0,0.166371426035449,0,0.79807104748328,1.7983894850945e-20,0,0.035557526481271,0,0,0,0,0,0
"63",0.0501133029191495,0,0,0,0.359478644150018,0,0,0.492526122686717,0,0,0.0978819302441153,0,0,0
"64",0,0,0.19616845151768,0,0.371190820579411,0,0,0.432640727902909,0,0,0,0,0,0
"65",0,0,0,0,0.158956920836503,0,0.68210206612183,0.107865447426385,0,0.051075565615282,0,0,0,0
"66",0.130914204713858,0,0,0,0.19992390074762,0,0,0.543127988780078,0,0,0.126033905758444,0,0,0
"67",0.0469174507331866,0,0,0,0,0,0,0.555586605320675,0,0.397495943946139,0,0,0,0
"68",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"69",0.0463353395721265,0,0,0,0.953664660427873,0,0,0,0,0,-1.00388069836335e-18,0,0,0
"70",0,0,0,0,0.97434028784688,0,0,0,0,0,0.0256597121531197,-2.30778174567507e-19,0,0
"71",0.39300683429294,0,0,0,0,0,0.174898133980081,0.43179934156423,0,2.30680404264663e-19,0.000295690162748503,0,0,0
"72",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0.285539821333863,0.712696800062669,0.00176337860346791,0,0
"74",0.481269530205617,0,0.309604030270381,0,0,0.209126439524002,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0.53494993826053,0,0.46505006173947,0,0,0,0,0,0
"76",0,0,0,0.539610566406307,0,0,0,0,0,0,0,0.460389433593693,0,0
"79",0.19506835153623,0,0.0785845689412896,0,0,0,0,0,0,0,0.444751413806589,0.281595665715892,0,0
"80",0,0,0,0.573605742804142,0,0,0,0.0669229506000736,0,0.282533944925636,0.0769373616701484,0,0,0
"81",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"82",0.0153599092796463,0,0,0,0,0,-1.56646202781941e-18,0,0,0.631066480581768,0.353573610138586,0,0,0
"83",0.107488748270787,0,0,0,0,0.389572941681744,0,0,0,0,0.502938310047469,0,0,0
