"","05 OB-IMN GABA","13 CNU-HYa Glut","34 Immune","32 OEC","03 OB-CR Glut","33 Vascular","31 OPC-Oligo","30 Astro-Epen","09 CNU-LGE GABA","06 CTX-CGE GABA","10 LSX GABA","12 HY GABA","02 NP-CT-L6b Glut","29 CB Glut"
"1432",1.25629658721495e-08,0.412190591747437,2.98339690805648e-06,0.479715785959862,0.000881420504999454,1.33499335412809e-07,0.106164579880082,1.35394014950239e-06,1.83206400388809e-09,0.000123858122165406,3.17995567109358e-11,0.00045088603168837,0.000468374902065531,1.75884786075246e-08
"1435",0.220662113324396,0.00824306846857276,0.00167425191340374,0.000243626521808221,0.000399766270440199,0.147253644955297,0.000643871157735077,0.124952283792003,0.0100538825846553,0.0843322664522828,0.102373307374937,0.189155991955999,4.2192928512147e-05,0.109969732299958
"1436",0.42295914972618,0.00162646926641426,2.81776475156804e-05,6.96772653012706e-06,0.195529513676509,1.26530881577249e-05,0.00848315356384043,4.47396636621278e-05,0.0686272609844529,0.0581729748946495,0.100653552614392,0.0868114476732895,0.000166238401476681,0.0568777010729306
"1437",0.0511845477517304,0.0273567404767559,0.00333681618529746,0.0552612454742143,0.00346123538283234,0.000335331822437397,0.348959014959941,0.093567595633191,0.00016843066037262,0.139142900638186,0.204334294745079,0.0362470475937385,5.5697807338315e-06,0.0366392288954901
"1438",0.409736113587291,0.00014587674575022,0.00544895887625292,0.00525782330473952,0.184263386775868,0.000691892641212025,0.00427782053365116,0.0501451863360664,0.0912062629754696,0.0371359288160121,0.0865946814034391,0.111400958555733,0.000541110320447634,0.0131539991280666
"1439",0.226822581600074,0.001771063480844,0.000411819812416661,0.00166118779314912,0.0116908636860328,0.000176778294934421,0.00159971362720233,0.624908503499658,0.0247159475736266,0.0414225370190374,0.00238924883974336,0.0599669201025131,0.00245844157582341,4.3930949446791e-06
"1440",1.78385493919846e-08,1.28120825762141e-05,0.000995649499093186,0.000150822014504814,0.000146722229835989,0.7363618395365,0.00024359148122448,0.17120326166152,2.60728606194597e-08,2.93546082216895e-07,0.000503462845857709,5.1822447694326e-07,0.000110468878510996,0.0902705140884079
"1441",6.48824800131967e-12,2.12803132408016e-05,5.14884825887135e-08,1.19949891504962e-15,9.27617651250079e-14,0.950853913687385,3.04213924897496e-10,3.03216493991389e-06,3.07419262833674e-16,7.89016761049165e-15,2.17020548443216e-13,2.23243094427018e-16,4.50886241817967e-08,0.0491216769463055
"1442",0.25224072795596,5.04840875063479e-07,4.39632465403891e-06,2.35528813009974e-07,0.03672627860759,9.94832381794669e-07,0.0365913235999771,0.000981513034403294,0.0423628210330845,0.382822607818257,0.00583751960038322,0.192547945374777,1.79393643758843e-06,0.049881337512406
"1443",0.722843747054464,0.000189908802766772,0.00131965728801519,2.13870068053513e-06,0.233454099487562,3.91129685919155e-05,0.00107478448837355,1.41882577705395e-06,0.00570516983311712,0.0305315023014807,0.000452712840475015,0.00211556661003012,0.000508879831816616,0.00176130096684948
