,02 NP-CT-L6b Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,09 CNU-LGE GABA,10 LSX GABA,12 HY GABA,13 CNU-HYa Glut,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
52,4.552816244540737e-05,0.0007959582842886449,0.00018146519796573559,0.00012331485850154423,4.933929576509399e-05,6.820072412665468e-05,0.00013409413513727487,0.0004551753998384811,9.23954099562252e-05,0.02354453904554248,0.0005972355051198975,1.614019626379013,1.1623233079910278,0.0005039040057454258
53,0.00018486805856809951,0.0023314878926612437,0.0003738732732017525,0.00035224486782681197,0.00012671484946622514,0.00017826599287218414,0.00017540180124342442,0.0012409231858327985,0.0005479893152369186,0.014746871450915933,0.0010051296092569828,0.010387390200048686,3.6478580594062806,0.0021026316448114813
56,9.726772696012631e-05,0.0001238291421032045,0.00010271042192471215,7.183000561781228e-05,1.7278197447012644e-05,6.079488521208987e-05,5.527376360987546e-05,3.112153035544907e-05,1.3550317544286373e-05,2.032677340507507,0.00036307705158833414,0.00531774356495589,0.00015054432442411782,0.0001353322186332662
57,0.0007090766564942896,0.00596956773661077,3.4721058130264284,0.003490041894838214,0.000502537438296713,0.10805288627743721,0.02067190995439887,0.01131450915709138,0.0005468355171615258,0.5574835658073425,0.013735608896240592,1.4478771388530731,0.002557859872467816,0.0007542565086623654
58,2.8278587706154212e-05,0.001249642815673724,9.772216290002689e-05,3.3371183053532154e-05,2.904916309489636e-05,2.48233052843716e-05,1.655285286688013e-05,2.8395035224093592e-05,6.876859624753706e-05,0.3612040251493454,0.000774308157269843,0.0007790761621436105,2.1891021490097047,0.00039002701087156313
59,0.0015788429300300777,0.1822228752076626,5.649499988555908,0.003999787208158524,0.001955238194204867,0.006026081438176334,0.004308355459943414,0.001568238635081798,0.002651437104213983,0.4819644257426262,0.0077423315029591325,0.28080385327339175,5.109142684936524,0.01056696092709899
60,3.9644108983338815e-05,0.00028593594615813347,0.000293339769996237,5.825964126415784e-05,4.022150624223287e-05,4.580833392537898e-05,6.136629817774521e-05,3.370364811416949e-05,0.00011706963123288007,0.0019528377044480297,0.00026155884697800504,0.00020360363560030238,1.7971166372299194,0.0005957568035228179
61,0.0007326720951823518,1.5096814453601837,7.825658249855041,0.0012862296716775745,0.002494151634164155,0.015566616924479604,0.011695086862891913,0.000415054734912701,0.0007446235482348129,0.1138832800090313,0.00464618771802634,0.00047289477079175417,0.0006053288117982448,0.0012583219853695483
62,0.00067641225468833,5.515861630439758,1.8916035294532776,0.000984037690795958,0.0006094323267461732,0.0024597088806331156,0.0014873431937303394,0.0003897794318618253,0.0004353974538389593,1.1774980783462525,0.004021115461364389,0.0016075157502200455,0.04128462541848421,1.7957414448261262
63,0.0006054384983144701,2.5169759154319764,3.5044455766677856,0.0015991615946404638,0.0007748793170321733,0.05574498157948256,0.00697707193903625,0.0008331592631293461,0.001680706167826429,3.183151590824127,0.009092738991603256,0.14175043925642966,0.002120851189829409,0.0026314580929465595
64,0.00032344130595447497,1.590961790084839,0.20133625939488412,0.000980424281442538,0.00042506459576543423,0.0030006927670910956,0.0018374990730080755,0.00016857093578437343,0.00020019393195980228,3.439907205104828,0.0042682483326643705,0.00026379636110505087,0.000994160311529413,1.9066038072109222
65,0.0007944250974105671,0.8205241918563843,2.6250661611557007,0.0013225312635768206,0.0006372688367264345,0.0012436932767741383,0.0987455364316702,0.0004090666727279313,0.00028668858285527674,1.8403485655784606,5.571865463256836,0.002208437502849847,0.0009841338498517871,0.0020195622346363966
66,0.0005459139123558998,1.8784152388572692,5.332681012153626,0.0032009053975343704,0.0011794900754466655,0.05596651583909989,0.006411464489065111,0.0009456962288822979,0.00047550446615787225,3.0933864593505858,0.003518875048030168,0.000948710323427804,0.0016644537914544345,0.001478173036593944
67,0.0008667028188938275,0.0017790540296118706,5.531517457962036,0.004913735063746571,0.001887443196028471,0.0027028603246435526,0.016628601960837843,0.002109050133731216,0.00031811219814699144,4.214705944061279,0.002093310421332717,0.00029913295584265147,0.0007754218269838021,0.0008173787442501635
68,3.4157394111389294e-05,1.1276498317718506,0.00013190982936066577,5.26989917489118e-05,2.8648460647673347e-05,8.348472183570266e-05,5.848830387549242e-05,3.3536480077600576e-05,2.7309036522638055e-05,0.002471902675461024,0.00044405763765098527,8.35338702017907e-05,0.00022534438176080585,0.0001961465219210368
69,0.0016114423575345426,8.045039558410645,4.4790163278579715,0.00652226482052356,0.0025020518689416347,0.007417640206404031,0.010217438684776425,0.0010851038445252926,0.0009722339222207665,0.259278330206871,0.007374053727835417,0.001600368635263294,0.0009716983942780644,0.0020718032028526068
