gene_identifier,n_counts,n_cells
C1qc,699.0,128
Laptm5,526.0,153
Dab2,896.0,236
Gusb,437.0,253
Cfhr2,93.0,45
Ehd4,466.0,200
Cysltr1,53.0,26
Slc40a1,672.0,198
Ifi202b,80.0,28
Txnip,709.0,243
Gpr65,65.0,40
Slc37a2,84.0,37
H2-K2,179.0,114
Fpr1,42.0,19
Gbp7,234.0,156
Colec12,114.0,73
Fyb,107.0,72
Tlr6,29.0,19
Was,20.0,11
Arhgap30,44.0,36
Renbp,116.0,79
Niacr1,30.0,12
Naip2,22.0,12
Tbc1d4,264.0,139
Ltbr,176.0,91
Akna,55.0,33
Sp110,107.0,55
Phactr2,269.0,142
Dennd1c,55.0,32
Abcc3,51.0,27
Dhx58,32.0,21
Fes,110.0,58
Cfp,311.0,149
Nfxl1,331.0,193
Tslp,123.0,76
Trim30d,42.0,21
Gas2l3,61.0,36
Lilra5,53.0,27
Slc29a1,359.0,218
Abca1,877.0,306
Trim47,144.0,63
Themis2,22.0,13
Lgals3bp,135.0,64
Cpne3,669.0,336
Nlrc4,106.0,50
Parp12,163.0,81
Ptprc,169.0,74
Zfp217,78.0,44
Arhgap19,108.0,44
Slco2b1,754.0,254
Tlr1,34.0,21
Il12b,60.0,8
Hlx,31.0,20
Runx1,138.0,48
C3ar1,332.0,92
Tlr7,101.0,46
Nfatc1,126.0,58
Gna15,28.0,12
Rnaset2a,625.0,291
Plekho2,140.0,84
Bank1,96.0,45
Clec4a1,16.0,13
C920025E04Rik,152.0,91
AI607873,210.0,46
Pik3cg,133.0,54
Adam33,88.0,47
Adrb2,347.0,98
Cp,561.0,226
Unc93b1,299.0,192
Tgfbr2,587.0,218
Stk17b,496.0,214
Ifi203,220.0,85
Rbm47,74.0,39
C5ar1,284.0,67
Cybb,324.0,92
Spry1,163.0,111
Ccr1,341.0,84
H2-K1,799.0,259
Plin2,420.0,183
H2-D1,703.0,362
Nfe2l2,952.0,407
Pxdc1,183.0,68
Ccl24,901.0,99
Zfp36,2601.0,501
Casp4,83.0,57
Clec4n,305.0,86
Rab32,96.0,46
Cd4,26.0,16
Ccl12,1668.0,117
Ccl7,3349.0,130
Ier3,1476.0,456
Ccl2,2630.0,138
Cd14,728.0,127
Msh5,27.0,18
Cxcl1,703.0,99
Casp1,114.0,69
Cd209f,766.0,84
Ptger4,53.0,30
Ptafr,38.0,25
Gm6377,206.0,66
Snord17,35.0,23
Wdfy4,46.0,27
Mndal,108.0,49
Cd209g,204.0,64
P2rx7,254.0,166
Cd209b,39.0,10
Cxcl2,575.0,62
Gbp8,83.0,48
Slfn2,153.0,82
Tbxas1,101.0,67
Cd36,548.0,84
Gp49a,158.0,63
Cfh,708.0,202
Tlr13,32.0,20
Parp3,158.0,84
Bmp2,186.0,116
Lilrb4,102.0,42
Rhbdf2,47.0,28
Tpcn2,58.0,42
Myof,97.0,56
Bcl3,58.0,27
Fhod1,102.0,50
Nlrc3,30.0,19
Thbs1,88.0,43
Cd33,102.0,47
Dok1,18.0,12
Prkcd,169.0,70
Lum,92.0,12
Itih2,23.0,9
Ifi204,137.0,52
Zfp36l1,2070.0,496
Zc3hav1,86.0,37
Cd84,75.0,49
AF251705,204.0,72
Fblim1,63.0,31
Irf1,247.0,133
Dtx3l,126.0,62
Trim12c,62.0,34
Phf11b,25.0,15
Susd1,61.0,34
Glt28d2,15.0,8
Gm7104,21.0,13
Pon3,90.0,50
Ch25h,72.0,22
Car13,68.0,49
Slc46a3,111.0,69
Map3k14,54.0,39
Tnfsf18,65.0,16
Tmem37,139.0,71
Il16,62.0,30
Tnfsf9,63.0,34
Hmox1,219.0,146
Spic,50.0,17
Aspm,8.0,7
Hbb-b2,3579.0,21
Hba-a2_loc2,9421.0,117
Hba-a2_loc1,9333.0,119
Hbb-bs,15297.0,97
Slc6a20a,83.0,30
Pla1a,36.0,17
Ecm2,81.0,52
Ace2,86.0,43
Vtn,2172.0,164
Ifitm1,74.0,41
Pth1r,146.0,82
P2ry14,134.0,64
Zic1,137.0,60
Kcnj8,133.0,42
Atp13a5,278.0,72
Abcc9,246.0,50
Sod3,117.0,81
Nr1h3,53.0,32
Xdh,54.0,28
Gm8979,24.0,14
Ccdc102a,39.0,21
Zfp503,116.0,57
H2-T9,149.0,69
Hist2h4,29.0,13
Foxl2os,33.0,18
Gm694,49.0,26
Sele,24.0,8
Angptl4,80.0,39
Gm6614,41.0,18
Mfng,112.0,58
Cmtm8,115.0,57
Kctd12b,267.0,121
Serpinb6b,160.0,94
Gstt2,104.0,68
Dpp4,128.0,54
Pgm5,135.0,61
Polk,326.0,171
Layn,76.0,50
F5,84.0,42
Tecrl,24.0,12
Pear1,153.0,79
Lrrk1,90.0,40
Ushbp1,551.0,171
Slc19a3,204.0,93
Emcn,462.0,196
Clec14a,260.0,104
Itih5,781.0,289
Hmgcs2,207.0,121
Rab11fip1,77.0,47
Kcp,89.0,36
Slc38a5,471.0,167
Slc22a8,520.0,221
Slc16a1,1974.0,726
Slco1a4,2955.0,314
Itm2a,9494.0,519
Slc16a4,258.0,145
Slc31a1,1144.0,609
Ctxn3,45.0,26
Tdrp,434.0,191
Arl4a,1919.0,540
Paqr5,227.0,92
AU021092,455.0,142
St3gal6,354.0,169
Parp14,64.0,37
Tor3a,129.0,69
Hspa1a,2375.0,482
Lsr,290.0,118
Cyr61,4522.0,566
Ddx58,122.0,77
Hip1,1030.0,498
Hspa1b,1595.0,399
Robo4,232.0,132
Ocln,420.0,172
Hspb1,496.0,225
Ifi44,114.0,42
Slco1c1,2366.0,519
Abcc4,261.0,125
Fli1,271.0,115
Golim4,667.0,276
Sgms1,1954.0,510
Foxq1,288.0,157
Lef1,212.0,139
St6galnac2,119.0,59
Gch1,102.0,41
Pglyrp1,98.0,65
Rtp4,160.0,109
Syde1,81.0,51
Sigirr,75.0,37
C130074G19Rik,558.0,250
Cxcl12,911.0,298
Ifit1,50.0,32
Tjp1,1227.0,530
Lypd2,35.0,9
Iqgap1,1093.0,428
Ly6c2,694.0,178
Mfsd2a,1351.0,378
Cd2ap,919.0,430
Flt1,1544.0,281
Arhgap31,522.0,221
Kitl,980.0,448
Tie1,178.0,94
Tcf7,65.0,40
Ghr,150.0,86
Fmnl3,632.0,213
Sox18,351.0,112
Fzd6,230.0,137
Elk3,361.0,146
Ly6a,826.0,181
Arhgap29,809.0,412
Clic5,231.0,131
Abcb1a,873.0,290
Pltp,2374.0,369
Prom1,1745.0,333
Cgnl1,402.0,145
Fn1,1457.0,247
Rbms2,249.0,127
Gpr116,702.0,252
Slc2a1,2379.0,806
Ramp2,559.0,274
Tns1,923.0,331
Sparc,9192.0,713
Arhgef15,288.0,158
Ptprb,1763.0,383
Akap12,302.0,192
Eng,309.0,181
Ahnak,552.0,274
Cdh5,280.0,152
Foxc1,204.0,126
Eif2ak2,124.0,85
Ier2,783.0,370
Grrp1,230.0,90
Id1,887.0,345
Dusp1,4154.0,872
Epas1,2123.0,605
Slfn5,280.0,157
Thbd,217.0,86
Sox17,312.0,118
Msrb3,235.0,100
Osmr,105.0,46
Itga1,378.0,141
Cobll1,459.0,192
Hes1,3315.0,692
Cysltr2,22.0,12
Sik1,312.0,171
Lrp5,133.0,71
Ginm1,937.0,490
Afap1l1,1019.0,442
Arhgap42,166.0,104
Rgs5,1592.0,234
Gjc1,312.0,148
Art3,72.0,42
Fam115c,89.0,35
Egflam,124.0,60
Gm3716,45.0,23
Aim1,25.0,14
Mecom_loc1,147.0,53
Ajuba,52.0,30
Tnfrsf11b,41.0,23
Cthrc1,203.0,126
Gbp3,86.0,60
Ifi47,65.0,46
Marveld2,108.0,44
Kank4,123.0,60
Cubn,17.0,10
Cdkn2b,64.0,36
Smad6,51.0,29
Eps8l2,65.0,43
Alpl,125.0,58
Iigp1,59.0,38
Gbp4,54.0,28
Fbln5,129.0,38
Vegfc,121.0,69
Alox12,23.0,13
Tgtp1,58.0,35
Gbp6,53.0,27
Gkn3,714.0,45
Syt15,45.0,21
Cast,105.0,63
Sbspon,20.0,8
Gm12250,44.0,24
Egfl8,85.0,42
Isg15,85.0,53
Ltbp4,639.0,254
Gm4070_loc1,194.0,99
Hrct1,115.0,72
Tek,482.0,196
Gm4070_loc2,213.0,102
Vwf,188.0,87
Edn3,373.0,129
Calcrl,177.0,78
Mir21,92.0,52
Esyt1,223.0,110
Mir24-2,127.0,92
Afap1l2,116.0,69
Ceacam1,167.0,78
Phf11d,54.0,27
AW112010,383.0,132
Cav2,1496.0,643
Ctsh,525.0,264
Vamp5,184.0,108
Ackr3,975.0,351
Cav1,603.0,269
Acvrl1,274.0,159
Cd97,271.0,131
Wfdc1,244.0,148
Tpk1,157.0,95
Piezo1,178.0,106
Cr1l,1046.0,491
H2-L,1073.0,493
Crtap,200.0,127
Amotl1,584.0,252
Nos3,293.0,181
Eogt,318.0,154
Ptrf,900.0,221
Esam,1205.0,366
Anxa2,823.0,299
Anxa3,503.0,239
Dock6,369.0,179
Sox13,80.0,52
Srgn,1706.0,305
Parp10,80.0,45
Ifitm3,2344.0,386
Utrn,1108.0,426
Degs2,356.0,123
Ly6c1,4785.0,329
Podxl,1013.0,247
Icam2,556.0,166
Ly6f,79.0,51
Cdkn1c,378.0,164
Tgm2,171.0,78
Jag1,669.0,198
E130310I04Rik,44.0,21
Sdpr,465.0,265
Prss23,493.0,165
Klf2,870.0,322
Tm4sf1,2327.0,323
Mmrn2,380.0,179
Edn1,612.0,189
Tnfrsf12a,333.0,213
Bmx,98.0,29
Tspo,263.0,153
Vim,1095.0,353
Sgms2,132.0,67
Fbln2,148.0,76
Samd9l,198.0,92
Msn,498.0,275
Nmi,144.0,72
Fkbp7,290.0,152
Procr,65.0,44
Rbpms,216.0,83
Fgd5,147.0,88
Dkk2,75.0,40
Tagln2,601.0,269
Ehd2,86.0,55
St8sia6,46.0,22
8430408G22Rik,127.0,72
Nedd9,320.0,151
Fabp4,25.0,3
Myzap,25.0,15
1810011O10Rik,235.0,78
Asb4,51.0,33
Rbp7,35.0,5
Zic5,25.0,17
Fxyd5,626.0,258
Apold1,1002.0,309
Adamts1,1022.0,276
Klf4,2564.0,482
Ptgis,124.0,64
Tmem88,395.0,195
9030619P08Rik,456.0,141
Smtn,164.0,98
F2r,119.0,61
Bcl6b,146.0,65
Cd69,32.0,11
Tfpi,278.0,124
Tspan18,50.0,27
Itprip,39.0,20
Cdc20,22.0,15
Anxa1,528.0,115
Birc3,163.0,83
Ecscr,72.0,35
Vasp,309.0,169
Lnx2,149.0,89
Capg,75.0,54
Serpine1,160.0,45
Itpripl2,266.0,123
Madcam1,39.0,16
Stap2,143.0,79
Tmem252,208.0,108
Ankrd37,287.0,146
Ctsw,95.0,38
Ppic,776.0,193
Adm,152.0,79
Il2rg,112.0,63
Fam101b,814.0,248
Casp6,230.0,145
Pecam1,673.0,188
Gnai2,4659.0,1187
Gimap4,113.0,62
Rasgrp3,473.0,276
Foxf2,149.0,101
Prnd,302.0,51
Serpinh1,1700.0,373
Arhgap18,209.0,135
Cnn2,268.0,159
Myct1,114.0,71
Clec1a,155.0,46
Pdlim5,813.0,336
Apln,594.0,218
Angpt2,362.0,94
Anxa5,2739.0,740
BC028528,1221.0,300
Pcdh12,58.0,33
Csrp2,756.0,305
Chrnb1,76.0,39
Myl12a,3219.0,914
Gimap6,1513.0,313
Plaur,223.0,135
Nostrin,375.0,186
Ctla2b,347.0,132
Lipc,13.0,5
Slc39a8,131.0,92
Ctla2a,2239.0,250
Klhl6,91.0,52
Olfr1372-ps1,38.0,18
Fgfbp1,70.0,23
Adcy4,109.0,46
Rhod,58.0,24
Prdm11,16.0,10
Gm5,81.0,31
Prg4,14.0,5
Adamts9,74.0,38
Rasip1,367.0,217
Cd93,1401.0,238
Lamc1,420.0,218
Kdr,1017.0,236
Aplnr,96.0,59
Myo1b,962.0,370
Slc7a5,1341.0,387
Arap3,1292.0,276
Igfbp7,2137.0,425
Wwtr1,723.0,247
Car4,1605.0,427
Grap,293.0,165
Sox7,153.0,93
Col4a1,1777.0,415
Tpm4,828.0,384
Eltd1,660.0,228
Vwa1,966.0,341
Sipa1,252.0,147
Col4a2,755.0,306
Arhgap27,210.0,120
Ets1,420.0,211
Cldn5,1682.0,297
Cd40,97.0,66
Nid2,206.0,112
Pmaip1,205.0,115
Zic3,132.0,89
Rai14,242.0,113
Lama4,277.0,174
Ccdc141,859.0,298
Myo10,564.0,323
Cdkn1a,971.0,446
St8sia4,518.0,172
Nid1,370.0,173
Hspg2,252.0,157
Rhoj,222.0,139
Hmcn1,384.0,130
Megf6,88.0,64
Pald1,273.0,136
Piezo2,63.0,36
Ggta1,205.0,96
Map3k1,236.0,130
Trim56,83.0,51
Prdm1,94.0,44
Itga5,34.0,22
Nes,185.0,137
Tbx1,38.0,21
Proser2,63.0,32
Icam1,224.0,119
Sh3tc1,136.0,66
5033406O09Rik,34.0,22
Tmem154,30.0,22
Ly75,46.0,29
Htra3,130.0,53
Ncaph,108.0,54
Tnfsf8,18.0,4
Svep1,14.0,6
Tmem204,844.0,245
Gm16287,21.0,10
Zfp36l2,761.0,319
Tmem176b,1342.0,371
Sat1,3679.0,940
Ptges,121.0,74
Gli1,45.0,20
Gm11627,80.0,42
Fsip1,8.0,4
Igfbp2,780.0,204
Cml5,32.0,13
Tead3,32.0,17
Fzd9,166.0,76
Slc13a5,295.0,137
Il33,117.0,81
Etv4,104.0,57
Slc7a10,513.0,212
Cml3,81.0,48
Smim3,200.0,126
Chrdl1,171.0,75
Cml1,837.0,385
Tlcd1,194.0,128
Notch1,708.0,294
Kcng4,56.0,33
Grin2c,628.0,177
2610034M16Rik,30.0,14
Lgr6,32.0,17
Rapgef3,389.0,189
Sall3,141.0,70
Nrarp,205.0,148
Prrx1,176.0,97
Crot,638.0,328
Atp13a4,201.0,100
Vegfa,1588.0,549
Car8,163.0,96
Hsd11b1,434.0,142
Gabrg1,444.0,181
Vcam1,772.0,215
Gas1,171.0,87
Itih3,393.0,148
S1pr1,1877.0,419
Dbx2,297.0,119
Tril,928.0,309
Mfge8,3182.0,586
Elovl2,272.0,142
AI464131,351.0,174
Slc13a3,71.0,46
Btbd17,362.0,147
Gjb6,696.0,191
F3,749.0,335
Cth,101.0,58
Gm266,46.0,25
Smpdl3a,473.0,289
Timp3,1544.0,530
Scara3,296.0,111
Slc6a11,740.0,341
Tlr3,305.0,136
Ndp,327.0,167
Greb1,88.0,39
Phkg1,254.0,117
Appl2,1393.0,565
Retsat,122.0,102
Phka1,385.0,201
Slc15a2,450.0,171
Slc9a3r1,251.0,166
Fgfr3,655.0,270
Bcan,2823.0,422
Ppap2b,3309.0,725
Steap3,39.0,21
Aqp9,32.0,16
Sox21,144.0,71
Oaf,274.0,149
Slc39a12,647.0,283
Htra1,1458.0,460
Trps1,951.0,439
Slc38a3,1607.0,404
Ptprz1,1448.0,452
Gpr37l1,3769.0,442
Acss1,231.0,131
Atp1a2,17105.0,1003
Slc4a4,2323.0,652
Cbs,305.0,116
Rfx4,225.0,146
Slc1a3,7028.0,690
Prodh,374.0,168
Rorb,2400.0,457
Cdc42ep4,523.0,252
Dio2,592.0,197
Gja1,2651.0,478
Fam20a,157.0,96
Acot11,199.0,113
Car5b,53.0,34
Pax6,142.0,93
Ephx2,290.0,153
Lrig1,405.0,196
Acsbg1,1116.0,249
Rgcc,750.0,304
Cldn10,1356.0,269
Sox9,768.0,373
Fam107a,1270.0,308
Sash1,770.0,340
Tmem100,299.0,170
Ezr,752.0,261
Ntsr2,1248.0,324
Gldc,161.0,71
Sox2,655.0,362
Aldoc,3008.0,510
Slc12a4,306.0,184
Tnfrsf19,1223.0,430
Serpine2,2530.0,623
Timp4,309.0,144
Bmpr1b,266.0,114
5930403L14Rik,344.0,147
D630013N20Rik,17.0,5
Ndrg2,2753.0,497
Aass,75.0,32
Slc25a18,130.0,79
Aldh1l1,388.0,205
Mt2,4024.0,554
Rgs20,225.0,125
Sfxn5,819.0,348
Cyp2d22,446.0,174
Lcat,875.0,204
Apoe,15587.0,636
Cyp2j9,414.0,198
Id4,480.0,212
Pla2g7,2150.0,416
Mt1,13778.0,1248
Mlc1,968.0,240
Cyp4v3,87.0,50
Aqp4,4101.0,321
Cyp4f14,48.0,26
Axl,275.0,113
Naaa,544.0,279
Bco2,24.0,15
Pxmp2,92.0,61
Efs,76.0,39
Bcar3,225.0,133
Ednrb,1267.0,326
Cideb,113.0,53
Naprt1,102.0,58
E130114P18Rik,163.0,78
Tmem47,1388.0,529
Fabp7,2268.0,330
Lpar4,128.0,90
Pdpn,104.0,55
Ppp1r3c,273.0,122
Prex2,445.0,246
Sdc4,1134.0,299
Soat1,446.0,249
2900052N01Rik,121.0,84
Fbxo2,1089.0,541
Gstm1,2533.0,511
Agt,114.0,65
Acaa2,353.0,214
Cpq,502.0,289
Tmem176a,396.0,209
Igfbp5,1724.0,329
Gstm3,52.0,27
Gjb2,43.0,19
Hopx,1195.0,324
Apoc1,18.0,10
Slc14a1,161.0,68
Fxyd1,1053.0,256
Acadl,633.0,318
Cd44,226.0,88
Rlbp1,150.0,47
A330048O09Rik,88.0,41
Emp2,729.0,240
Mgst1,287.0,149
Pdyn,20.0,10
Nxn,235.0,119
Il11ra1,170.0,116
Tfcp2l1,61.0,40
Slc36a2,76.0,35
Nqo1,187.0,87
Gfap,554.0,95
Suclg2,314.0,169
E030003E18Rik,96.0,62
Rdh5,229.0,106
Serpinf1,659.0,108
Aldh1a1,350.0,187
C4a,156.0,79
Islr,272.0,115
Kcne1l,44.0,20
Id3,2667.0,556
C4b,135.0,59
Olfr287,28.0,16
Hspb8,323.0,117
Cyp1b1,48.0,21
Myoc,35.0,16
Ddr2,129.0,68
Gstt3,52.0,29
S100a4,51.0,24
Acsf2,19.0,10
Loxl1,30.0,15
Mr1,160.0,81
Gm5089,66.0,36
Efemp1,144.0,67
Vnn1,24.0,12
Tll1,25.0,16
Upk1b,8.0,6
Crabp2,30.0,14
Cdh1,41.0,13
Col23a1,77.0,48
Rhbdf1,193.0,114
Micall2,55.0,32
Plcb3,155.0,79
Iqub,52.0,28
A330021E22Rik,96.0,68
Col5a3,80.0,37
Spef1,113.0,64
Gramd1c,22.0,10
Hdc,9.0,6
Zc3h12a,24.0,14
Col12a1,64.0,32
1700016K19Rik,67.0,55
Mro,52.0,46
Marc1,2.0,1
Clec3b,14.0,10
Dnaaf3,24.0,11
Iqca,15.0,6
Col8a2,21.0,14
Krt15,6.0,6
Aebp1,75.0,65
Dsg2,20.0,15
Wdr78,188.0,115
Gm16119,16.0,15
Ccdc146,18.0,11
Spata17,26.0,21
Synpo2,45.0,27
Sntn,6.0,5
Gm10714,2.0,1
Bace2,189.0,139
Ak7,3.0,2
4833427G06Rik,3.0,3
1700007G11Rik,20.0,15
Rnase1,36.0,23
Antxr1,314.0,157
Fam183b,79.0,44
Fhad1,69.0,41
Tmem212,8.0,1
Wdr16,48.0,33
Rsph4a,23.0,18
Gm1661,4.0,4
Gm11992,24.0,23
6820408C15Rik,22.0,19
Odf3b,38.0,22
Trim68,94.0,66
Enkur,70.0,40
Cdc14a,75.0,47
Msx1,334.0,98
Smim5,16.0,13
Efcab10,114.0,90
1700094D03Rik,114.0,83
Naga,341.0,203
Zp3,2.0,2
C1qtnf3,3.0,3
4932438H23Rik,39.0,21
Ppp1r32,10.0,9
Ubxn10,21.0,13
Rassf4,225.0,139
1700013G23Rik,33.0,18
Ccdc80,228.0,147
Capsl,29.0,14
Dynlrb2,58.0,27
Lrrc34,8.0,6
Riiad1,75.0,49
Mia,345.0,58
2310015B20Rik,4.0,3
Dapl1,22.0,6
Ucma,6.0,6
Dmkn,192.0,66
Spag8,17.0,9
Fam92b,11.0,7
Fam166b,14.0,4
Socs3,152.0,79
Ccdc81,17.0,11
Dchs1,119.0,59
1700026L06Rik,13.0,5
Slc22a4,69.0,39
Gm5918,337.0,211
Morn5,23.0,14
Tmem232,18.0,10
Spef2,42.0,26
Akap14,10.0,7
Rsph1,202.0,118
Lrrc23,12.0,7
Ptgr1,74.0,43
Nek5,12.0,8
Rarres2,359.0,124
Ttc21a,5.0,5
1700009P17Rik,33.0,14
Plxnb2,269.0,170
Fam216b,5.0,3
1700028P14Rik,19.0,13
Eppk1,17.0,10
Mlf1,84.0,57
Krt18,25.0,7
Tekt1,49.0,18
Iqcg,122.0,79
1700019L03Rik,15.0,10
Adamts20,359.0,202
Ccdc113,61.0,43
Ppp1r36,16.0,8
Gm17455,12.0,11
Pifo,49.0,15
Lect1,101.0,31
Dcdc2b,2.0,2
Mns1,70.0,51
Dnali1,22.0,10
Gtsf1l,5.0,5
1110017D15Rik,99.0,49
Ccdc153,17.0,4
1700026D08Rik,3.0,2
Tctex1d4,17.0,13
Calml4,260.0,21
1700001C02Rik,2.0,1
Lbp,120.0,41
2410004P03Rik,8.0,4
Prelp,125.0,58
Bdh2,47.0,28
Lrrc48,128.0,99
Plcd4,167.0,116
1700007K13Rik,21.0,19
Lrrc51,156.0,106
Ccdc108,27.0,21
Armc3,21.0,17
Plac9a_loc1,47.0,37
Plac9a_loc2,50.0,39
Ccdc40,9.0,6
Got1l1,2.0,2
Plac9a_loc3,46.0,38
Cdhr3,17.0,8
Kcnj16,101.0,66
Wdr52,23.0,21
Spa17,124.0,77
Foxj1,143.0,74
Fam71a,31.0,18
Slc14a2_loc2,3.0,1
Unc13d,11.0,7
Gm7173,21.0,10
Crygn,8.0,6
Gm872,19.0,14
Ifit3,33.0,26
2810047C21Rik1,63.0,43
Cd109,11.0,9
St8sia2,27.0,19
Srebf1,489.0,252
Cox6b2,181.0,110
1700012B09Rik,2.0,1
Emp1,75.0,37
Gpx8,434.0,181
Cxcr4,40.0,20
Gpr98,54.0,37
Dpy19l2,2.0,2
Tcea3,21.0,16
Dnah7a,114.0,70
E030019B06Rik,4.0,4
Ttc30a2,86.0,53
Ttc12,296.0,167
Armc4,18.0,12
Idh2,484.0,246
Meig1,12.0,7
Dnaic1,25.0,19
Ttc18,14.0,9
Wdr65,24.0,14
Spata6,53.0,40
Mamdc2,70.0,43
Lgals3,14.0,12
Daw1,6.0,4
Maats1,12.0,8
Spag17,7.0,5
4930451C15Rik,9.0,7
Spag16_loc1,4.0,4
Zfp185,14.0,11
5330413P13Rik,51.0,32
Dnah5,15.0,15
Car9,7.0,6
Vwa3a,29.0,26
Vit,9.0,7
Adgb,13.0,6
Spag6,51.0,36
Cetn4,50.0,36
Pi15,19.0,9
Rd3,7.0,6
Cep128,58.0,36
Wdr96,35.0,23
Fam84b,102.0,60
Nuf2,23.0,6
Gm973,60.0,45
Ccdc11,4.0,3
Styxl1,24.0,20
Antxr2,38.0,20
Pbld2,14.0,9
Ikbke,22.0,12
Ccdc121,12.0,3
Ccdc33,3.0,3
Hydin,12.0,11
Zfp423,88.0,50
Irx3,13.0,7
Pdlim4,150.0,86
Socs1,37.0,23
Myb,5.0,4
Dnah2,22.0,17
Dnah11,8.0,4
3110099E03Rik,29.0,8
Zbbx,3.0,2
Trp73,20.0,10
E230008N13Rik,8.0,5
Myo7a,32.0,22
Wdr63,9.0,4
Celsr1,52.0,26
BC051019,18.0,11
Cuzd1,17.0,8
Fbln1,30.0,18
Slc26a2,54.0,30
Ogn,138.0,37
Cpxm2,52.0,32
Fibin,45.0,20
Slc47a1,58.0,7
Gstm2,153.0,58
Rbp1,220.0,55
Slc13a4,54.0,14
Cox7a1,85.0,54
Abca4,34.0,24
A2m,36.0,25
Spint2,160.0,83
Maob,222.0,114
C1qtnf5,114.0,82
Igf2,368.0,63
Col8a1,192.0,74
Slc2a12,39.0,25
Tmem72,11.0,9
Sfrp1,242.0,172
Plek2,10.0,5
4930444M15Rik,10.0,7
Dsp,3.0,3
Tbc1d2,92.0,53
Ephx1,457.0,212
1500015O10Rik,627.0,28
Bmp7,111.0,56
Pbxip1,517.0,286
Cd248,96.0,58
Col3a1,160.0,37
Il6,47.0,9
Pdlim1,236.0,119
Nupr1,288.0,89
Mgp,2346.0,268
Olfr78,225.0,60
Ano1,228.0,78
Gpr20,42.0,25
0610007N19Rik,366.0,133
Des,77.0,48
Ephx3,73.0,25
Tmem255b,25.0,17
Plce1,110.0,72
Gm14005,157.0,66
Rcsd1,167.0,70
Higd1b,651.0,134
Gper1,138.0,88
Enpep,78.0,38
Foxs1,85.0,46
Casq2,213.0,90
Pgf,111.0,65
Notch3,310.0,98
Kank2,202.0,109
Aspn,385.0,125
Atp2a3,78.0,57
Hspb2,216.0,105
Angpt1,143.0,84
Lox,42.0,23
H2-Bl,51.0,34
4930523C07Rik,201.0,127
S100a11,619.0,221
Plekhg2,101.0,57
Pdgfrb,393.0,184
Rasl11a,244.0,122
Serping1,133.0,55
Kcne4,149.0,93
Lrrc32,102.0,69
Lama5,326.0,139
Slc2a4,27.0,16
Cped1,87.0,58
Lamb2,342.0,191
Crispld2,242.0,83
Bgn,133.0,77
Stom,95.0,56
Myocd,21.0,16
Col18a1,83.0,40
Col1a2,282.0,95
Heyl,70.0,47
Zfhx3,521.0,303
Rrad,123.0,62
Myom1,104.0,57
Col4a5,82.0,49
Hey2,155.0,78
Tinagl1,191.0,86
Bcam,72.0,38
Actg2,24.0,13
Kirrel,112.0,60
Aoc3,79.0,53
Asb2,63.0,33
Cspg4,287.0,142
Tgfb3,155.0,93
Ntf3,42.0,25
Adamts14,30.0,13
C1s,56.0,35
Sgca,37.0,23
Emp3,287.0,116
Ctgf,889.0,208
Perp,136.0,78
Filip1,233.0,94
C1qtnf7,39.0,26
Slc38a11,191.0,70
Filip1l,151.0,86
Phldb2,314.0,133
Cald1,980.0,424
Myh11,680.0,118
Eln,240.0,76
Acta2,4573.0,131
Myl9,2539.0,204
Crip1,2978.0,254
Wtip,263.0,122
Tagln,2175.0,147
Tpm2,921.0,140
Rcn3,155.0,86
Mylk,456.0,188
Pln,168.0,78
Mrvi1,89.0,42
Rasl12,176.0,123
Mustn1,503.0,135
P2rx1,77.0,48
Ednra,113.0,67
Gja4,367.0,116
Pdlim3,98.0,56
Olfr558,66.0,35
Pcolce,183.0,67
Tmem51,95.0,58
Col1a1,39.0,25
9230112J17Rik,25.0,12
Kcnmb1,77.0,47
Casp12,69.0,47
Fmod,35.0,26
Tbx18,160.0,60
Mrpl15,959.0,508
Lypla1,577.0,413
Tcea1,2195.0,1082
Rb1cc1,2570.0,871
Pcmtd1,3044.0,1140
Sntg1,415.0,226
Rrs1,313.0,259
Adhfe1,117.0,87
Vcpip1,647.0,341
1700034P13Rik,2.0,2
Sgk3,366.0,276
Mcmdc2,29.0,26
Snhg6,1190.0,628
Snord87,35.0,25
Ppp1r42,28.0,21
Cops5,3503.0,1020
Cspp1,1500.0,836
Arfgef1,2523.0,814
Cpa6,19.0,9
Slco5a1,45.0,30
Prdm14,8.0,3
Lactb2,129.0,96
Gm5523,15.0,14
Trpa1,6.0,6
Kcnb2,160.0,118
Terf1,248.0,201
4930444P10Rik,11.0,8
Rdh10,77.0,65
Tceb1,4147.0,1129
D030040B21Rik,2.0,2
Tmem70,479.0,317
Ly96,132.0,89
Tfap2d,10.0,8
Tfap2b,20.0,19
Pkhd1,4.0,4
4930486I03Rik,2.0,1
Mcm3,89.0,54
6720483E21Rik,7.0,6
Paqr8,904.0,508
Efhc1,18.0,17
Tram2,3.0,3
Tmem14a,1809.0,817
Gsta3,13.0,13
Rims1_loc1,272.0,170
Rims1_loc2,180.0,125
4933415F23Rik,6.0,5
B3gat2,144.0,109
1110058L19Rik,3025.0,1005
Col9a1,20.0,17
Lmbrd1,3499.0,1207
4931408C20Rik,6.0,4
Phf3,1386.0,614
Khdrbs2,190.0,148
Gm9839,8.0,8
Gm5415,2.0,2
1700001G17Rik,8.0,8
Rab23,223.0,177
Zfp451,360.0,220
