gene_identifier,n_counts,n_cells
Atf5,855.0,282
Ppat,436.0,258
Arhgef6,149.0,80
Prr24,401.0,208
Slc6a1,5253.0,602
Rora,404.0,253
Gpcpd1,2857.0,801
Gpr158,1209.0,480
Cadps,4030.0,738
Lrrtm3,994.0,397
Rnf38,721.0,346
Rgmb,298.0,163
Nmbr,10.0,8
Afap1,480.0,271
Rnf207,95.0,54
Pigu,855.0,414
Ttbk2,1743.0,614
Srgap1,501.0,252
Atg9b,69.0,37
Zc3h12c,243.0,143
6030419C18Rik,1279.0,510
Cntn5,224.0,128
Mycn,201.0,122
Tmem25,905.0,421
Cenpp,48.0,32
Fgf9,455.0,251
Ptprm,1141.0,337
Pld5,287.0,121
Ogfrl1,4223.0,705
Hrh3,641.0,231
Arx,387.0,174
Klf12,383.0,212
Hapln1,1061.0,250
Sp4,654.0,328
Gad1,8389.0,345
Osbpl8,1104.0,535
Dnajc6,2092.0,717
Trpc7,52.0,32
Nacad,776.0,374
Lgr5,92.0,32
Sun2,277.0,157
Slc35e3,670.0,317
Gde1,5749.0,1172
Grip2,248.0,136
Epb4.1l5,148.0,82
Mctp1,638.0,303
6430548M08Rik,1997.0,642
Cyp2s1,33.0,16
Rbms1,500.0,235
Frmpd4,1176.0,348
Lmo2,391.0,222
Irs1,320.0,159
Klhdc8b,462.0,264
Gad2,6702.0,304
Lgi2,350.0,185
Plcxd2,2318.0,463
Tmsb15b2,467.0,223
Nrsn1,3813.0,607
B930025P03Rik,44.0,20
Dner,5774.0,637
Garnl3,733.0,313
Nmnat2,1263.0,477
A830018L16Rik,1095.0,449
Prps2,754.0,397
Chml,254.0,122
Cks1b,139.0,82
Trim66,354.0,184
Cgn,29.0,19
Tmem65,2455.0,648
Tmem151b,882.0,345
Lrp12,1409.0,510
Grsf1,1210.0,477
Prkaa2,1033.0,404
Slc39a6,1132.0,432
Gabrb2,7128.0,836
Tspan7,11335.0,1259
Lrrtm2,2154.0,650
Gabra1,9737.0,812
Prune,550.0,294
Rnf152,759.0,277
Adra1a,164.0,90
Zmat4,939.0,328
Mapk8,2562.0,680
Sgk1,1996.0,759
Slc30a4,1494.0,606
Dock3,2478.0,696
Grik1,554.0,174
Gpr12,383.0,192
Spock3,3878.0,817
Mkrn3,162.0,91
Ndnf,701.0,195
Ssbp2,1615.0,716
Pogk,656.0,351
Reln,3624.0,193
Spock1,3983.0,818
Ptprt,713.0,288
Ntn1,144.0,60
Vcan,172.0,92
Th,80.0,7
Ecel1,19.0,16
Tekt5,32.0,21
Slc5a7,97.0,27
Npy,31218.0,398
Tacr1,19.0,11
Chodl,146.0,24
2010001M06Rik,41.0,20
Gpr126,63.0,28
Emb,480.0,260
Resp18,2868.0,412
Crhbp,1567.0,85
Stard5,102.0,93
Cort,150.0,20
Zfp954,403.0,220
Hist1h2ap_loc1,315.0,195
Unc13c,169.0,82
Slc5a5,192.0,75
Lrpap1,5333.0,1220
Sst,21341.0,219
Rbp4,405.0,104
