cell_ID,cell_type,n_counts,cellType,n_genes
196,eNeuron,12923.0,eNeuron,3336
197,eNeuron,14484.0,eNeuron,3610
198,eNeuron,21848.0,eNeuron,5315
199,eNeuron,38689.0,eNeuron,7039
200,eNeuron,41188.0,eNeuron,7180
201,eNeuron,42653.0,eNeuron,7401
202,eNeuron,23601.0,eNeuron,5433
203,eNeuron,30182.0,eNeuron,6202
204,eNeuron,37822.0,eNeuron,6413
205,eNeuron,24465.0,eNeuron,5330
206,eNeuron,25555.0,eNeuron,5907
207,eNeuron,17038.0,eNeuron,4755
208,eNeuron,17731.0,eNeuron,5323
209,eNeuron,29292.0,eNeuron,6389
210,eNeuron,21029.0,eNeuron,5700
211,eNeuron,16691.0,eNeuron,4479
212,eNeuron,25550.0,eNeuron,5975
213,eNeuron,19106.0,eNeuron,4930
214,eNeuron,18628.0,eNeuron,4853
215,eNeuron,31160.0,eNeuron,5900
216,eNeuron,15114.0,eNeuron,4841
217,eNeuron,17344.0,eNeuron,4849
218,eNeuron,16164.0,eNeuron,4941
219,eNeuron,14171.0,eNeuron,4419
220,eNeuron,21375.0,eNeuron,5826
221,eNeuron,29957.0,eNeuron,6442
222,eNeuron,22565.0,eNeuron,6078
223,eNeuron,14002.0,eNeuron,4189
224,eNeuron,17002.0,eNeuron,4542
225,eNeuron,19960.0,eNeuron,5568
226,eNeuron,13506.0,eNeuron,4144
227,eNeuron,15010.0,eNeuron,4475
228,eNeuron,14042.0,eNeuron,3883
229,eNeuron,20962.0,eNeuron,5654
230,eNeuron,36480.0,eNeuron,6685
231,eNeuron,9332.0,eNeuron,3546
232,eNeuron,6553.0,eNeuron,2743
233,eNeuron,7692.0,eNeuron,2430
234,eNeuron,9554.0,eNeuron,3502
235,eNeuron,9785.0,eNeuron,2310
236,eNeuron,19671.0,eNeuron,5154
237,eNeuron,8950.0,eNeuron,3363
238,eNeuron,19568.0,eNeuron,4680
239,eNeuron,19228.0,eNeuron,4850
240,eNeuron,12636.0,eNeuron,3718
241,eNeuron,8433.0,eNeuron,3115
242,eNeuron,8367.0,eNeuron,3060
243,eNeuron,14867.0,eNeuron,4540
244,eNeuron,14959.0,eNeuron,4232
245,eNeuron,17633.0,eNeuron,4965
