,Olig,astrocytes,cellType,eNeuron,endo_mural,iNeuron,microglia
42,1.036787736415863,1.7151946306228638,0.20046459138393402,2.8266356229782104,2.5129688382148743,0.8580207347869873,1.6648191511631012
43,1.2654788315296173,1.4346527993679046,0.15051772594451904,2.6305274844169615,3.002010774612427,1.2488711595535278,1.8205043196678161
44,0.9812728494405747,1.5011717557907105,0.19176824688911437,3.0722570061683654,2.423096573352814,0.8072199821472168,1.4617560088634491
45,0.34589492827653884,0.7456137657165527,0.06385136619210244,2.2338898539543153,1.3468495786190033,0.5752908170223237,0.8726956218481063
49,1.235100919008255,1.571399486064911,0.1906823195517063,2.8789440155029298,3.1117026448249816,1.5577390789985657,1.9662052810192108
50,1.2774891257286072,1.3716728746891023,0.1808316193521023,2.4010257601737974,2.8873783469200136,1.375395792722702,1.8657956838607788
51,2.3869473218917845,2.2902231454849242,0.4659870222210884,4.628979253768921,4.754303073883056,1.7827092945575713,2.233224070072174
52,1.0068085074424744,1.853887677192688,0.34654081165790557,3.5752684116363525,2.2394514679908752,1.8777318060398103,1.2202817440032958
56,1.2691317319869995,1.3246680557727815,0.1924438253045082,3.0353435754776,3.031810760498047,1.1845973968505858,1.4117052257061005
57,1.5767387747764587,2.2082302570343018,0.3421282708644867,3.8688001155853273,3.731087565422058,1.613840824365616,2.1705556511878967
58,1.6442241311073302,2.3236441135406496,0.4674162954092026,3.8860584259033204,3.5245723485946656,1.372612601518631,1.7573687553405761
59,0.7292787879705429,1.0631002545356751,0.15189638137817382,3.356579911708832,1.8994177222251891,1.4735327124595643,1.0235641777515412
63,0.7664283156394959,0.7809566795825958,0.12442455291748047,2.191493475437164,1.9644473493099213,0.5563406944274902,0.9359954267740249
64,2.255507838726044,2.9316085457801817,0.42507378458976747,5.8338623046875,4.748850727081299,2.0321088314056395,2.834863018989563
65,1.365487003326416,1.8302510678768158,0.2679647818207741,4.007812285423279,3.0760619282722472,1.2722877085208892,1.3854035973548888
66,1.1387973845005035,1.455739551782608,0.31978174597024916,3.9573236465454102,1.942900013923645,1.5506025075912475,1.3320640325546265
70,2.9426974177360536,2.0090003848075866,0.3609551012516022,4.569318628311157,4.126637983322143,1.347269105911255,2.516575849056244
71,1.0018973708152772,0.9562006950378418,0.15205644741654395,2.374200463294983,3.052459788322449,0.6768086552619934,1.0580267369747163
72,3.062563943862915,2.6698588371276855,0.3687974601984024,4.6431173324584964,3.5914673686027525,1.6187095403671266,2.0114864706993103
73,0.53799589574337,1.0436199307441711,0.18090890124440193,1.3625677227973938,1.2931749522686005,1.2742459237575532,1.0047063767910003
77,1.2164754450321198,1.4784485518932342,0.2681747809052467,3.160498118400574,3.192428767681122,1.3758029401302339,1.7014759302139282
78,1.4546098589897156,1.5164695799350738,0.21884133517742158,3.4942450284957887,3.9591647148132325,1.3284820675849915,2.2200276136398314
79,1.8313589930534362,1.510120153427124,0.24898830577731132,4.528373646736145,3.809403586387634,1.367349201440811,2.0680729269981386
80,1.1154200792312623,1.686799693107605,0.26185633838176725,3.3412819623947145,2.4630459785461425,0.7682816058397293,1.2815706789493562
81,0.630466890335083,0.43159217238426206,0.05563710797578096,1.143102580308914,1.1618839800357819,0.3824164241552353,0.6875805228948593
82,0.29906816184520724,0.3578306883573532,0.06472288034856319,1.2479404747486114,0.5419034242630005,0.17655092775821685,0.5136128008365631
83,0.2783840075135231,0.6295213609933853,0.08186645358800888,1.4879481554031373,0.6620340824127198,0.2728962987661362,0.42858184427022933
