cell_label,brain_section_label,feature_matrix_label,donor_label,donor_genotype,donor_sex,cluster_alias,z,subclass_confidence_score,cluster_confidence_score,high_quality_transfer,neurotransmitter,class,subclass,supertype,cluster,neurotransmitter_color,class_color,subclass_color,supertype_color,cluster_color,n_counts
64676696375626950252406118040573071356,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5254,0.3,0.9999741880850092,0.5908495766070537,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5310 Endo NN_1,#666666,#858881,#994567,#00992A,#FFB473,98.0
66326042328724402694717714002263164560,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1289,0.3,0.91120100863618,0.8951367553479082,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0143 OB Meis2 Thsd7b Gaba_1,0520 OB Meis2 Thsd7b Gaba_1,#FF3358,#1b4332,#FF99F7,#9F00CC,#8DCC1F,178.0
68409899232446829784260524691683739850,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5241,0.3,0.9999894092017216,0.9403287412768312,True,,32 OEC,328 OEC NN,1185 OEC NN_1,5291 OEC NN_1,#666666,#996B2E,#FF99CF,#3D5266,#995C88,92.0
70344765490929661261627837655685548299,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,2877,0.3,0.9999893439276192,0.6599723137626283,True,Glut,03 OB-CR Glut,035 OB Eomes Ms4a15 Glut,0131 OB Eomes Ms4a15 Glut_2,0491 OB Eomes Ms4a15 Glut_2,#2B93DF,#D00000,#7F1FCC,#51663D,#8800FF,348.0
71405499518142780185303749697164218826,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1395,0.3,0.9999853847352108,0.5861043262718094,True,Dopa,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0582 OB Dopa-Gaba_1,#fcf04b,#1b4332,#96CC7A,#CC5C5C,#FF73B7,216.0
71439548842190746974449236138043980976,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1378,0.3,0.9976449752808972,0.9976449752808972,True,Glut-GABA,05 OB-IMN GABA,044 OB Dopa-Gaba,0164 OB Dopa-Gaba_3,0591 OB Dopa-Gaba_3,#0a9964,#1b4332,#96CC7A,#2cb26d,#CA5CCC,249.0
74420084904824765554154362509120381938,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1384,0.3,0.9650803266753478,0.600779148345713,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0569 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#998317,218.0
81465941697637795450194334082253371128,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1378,0.3,0.9999890996602953,0.95550437374978,True,Glut-GABA,05 OB-IMN GABA,044 OB Dopa-Gaba,0164 OB Dopa-Gaba_3,0591 OB Dopa-Gaba_3,#0a9964,#1b4332,#96CC7A,#2cb26d,#CA5CCC,113.0
82018614213715084883174878494618731742,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,5254,0.3,0.9999826417001704,0.88285288949962,True,,33 Vascular,333 Endo NN,1193 Endo NN_1,5310 Endo NN_1,#666666,#858881,#994567,#00992A,#FFB473,134.0
87397286941081202761527313726007344869,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1290,0.3,0.9999926228085046,0.9283536682945236,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0143 OB Meis2 Thsd7b Gaba_1,0519 OB Meis2 Thsd7b Gaba_1,#FF3358,#1b4332,#FF99F7,#9F00CC,#4DFFF1,120.0
88348658319060133241434123722863140478,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,14951,0.3,0.9890419162173842,0.8854857777182,True,,30 Astro-Epen,320 Astro-OLF NN,1166 Astro-OLF NN_1,5231 Astro-OLF NN_1,#666666,#594a26,#FF73CF,#26FF8F,#45997D,292.0
95377325617478335048441255279624523661,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,2873,0.3,0.9999930263106602,0.9999930263106602,True,Glut,03 OB-CR Glut,035 OB Eomes Ms4a15 Glut,0133 OB Eomes Ms4a15 Glut_4,0494 OB Eomes Ms4a15 Glut_4,#2B93DF,#D00000,#7F1FCC,#7ACCA8,#006635,542.0
9591745406832385582181021877698338021,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1390,0.3,0.8979518407630843,0.6906059551706781,True,GABA,05 OB-IMN GABA,042 OB-out Frmd7 Gaba,0158 OB-out Frmd7 Gaba_1,0570 OB-out Frmd7 Gaba_1,#FF3358,#1b4332,#CC6D3D,#4A0066,#8C995C,148.0
96040579055923517017264340829517680137,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1289,0.3,0.9935170824889996,0.8428571581596436,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0143 OB Meis2 Thsd7b Gaba_1,0520 OB Meis2 Thsd7b Gaba_1,#FF3358,#1b4332,#FF99F7,#9F00CC,#8DCC1F,242.0
96514651216415360955978781732137875528,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1395,0.3,0.9999911400450372,0.9251376269514968,True,Dopa,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0582 OB Dopa-Gaba_1,#fcf04b,#1b4332,#96CC7A,#CC5C5C,#FF73B7,333.0
97344774972553332215638918898122056082,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1396,0.3,0.9999767698353832,0.553823893464474,True,GABA,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0583 OB Dopa-Gaba_1,#FF3358,#1b4332,#96CC7A,#CC5C5C,#CC673D,287.0
99923430859347607309006033975135476251,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1392,0.3,0.9999811622824296,0.8451012249899198,True,Dopa,05 OB-IMN GABA,044 OB Dopa-Gaba,0162 OB Dopa-Gaba_1,0589 OB Dopa-Gaba_1,#fcf04b,#1b4332,#96CC7A,#CC5C5C,#7ACC8C,363.0
99944352056595692002711216720189537542,Zhuang-ABCA-1.007,Zhuang-ABCA-1,Zhuang-ABCA-1,wt/wt,F,1290,0.3,0.9892993417845016,0.9788247041243971,True,GABA,05 OB-IMN GABA,039 OB Meis2 Thsd7b Gaba,0143 OB Meis2 Thsd7b Gaba_1,0519 OB Meis2 Thsd7b Gaba_1,#FF3358,#1b4332,#FF99F7,#9F00CC,#4DFFF1,215.0
