gene_identifier,n_counts,n_cells
Grb14,103.0,36
Greb1,149.0,55
Greb1l,128.0,46
Grem1,156.0,52
Grem2,203.0,55
Grhl1,138.0,47
Grik3,721.0,64
Grik5,1641.0,70
Grin2d,274.0,60
Grin3a,221.0,57
Grm6,139.0,49
Grm8,244.0,54
Grsf1,150.0,45
Grwd1,166.0,52
Grxcr2,212.0,50
Gsdmd,116.0,51
Gskip,158.0,48
Gsn,768.0,59
Gspt1,159.0,48
Gstt2,140.0,49
Gtdc1,364.0,61
Gtf2a1,115.0,49
Gtf2f1,373.0,61
Gtf2h3,171.0,50
Gtf2i,516.0,66
Gtf3c3,239.0,58
Gtf3c4,186.0,54
Gtse1,134.0,44
Gucd1,206.0,55
Gucy2g,131.0,48
Gusb,122.0,51
Gykl1,176.0,57
Gys1,218.0,62
Gzf1,180.0,50
H2afy2,231.0,58
Hacl1,118.0,41
Hadh,193.0,59
Hadha,257.0,56
Hap1,395.0,63
Hapln2,252.0,62
Hars2,184.0,56
Has2,97.0,41
Haus8,113.0,47
Hbegf,204.0,57
Hcn3,243.0,56
Hcrtr1,114.0,45
Hdac11,428.0,68
Hdac9,343.0,59
Heatr6,289.0,62
Hectd1,395.0,65
Hectd2,207.0,61
Heg1,297.0,60
Helz,340.0,60
Hemgn,132.0,53
Hes2,170.0,52
Hfe2,81.0,34
Hgs,404.0,61
Hhip,285.0,60
Hhipl1,222.0,54
Hhipl2,195.0,58
Hif1an,281.0,59
Hip1r,513.0,65
Hipk1,548.0,67
Hipk3,279.0,59
Hist2h2be,138.0,46
Hivep1,418.0,67
Hivep3,435.0,65
Hjurp,130.0,48
Hk2,207.0,62
Hk3,123.0,44
Hmbox1,559.0,66
Hmces,313.0,58
Hmg20a,276.0,57
Hmgcl,300.0,60
Hmgcr,441.0,66
Hmgxb3,316.0,60
Hn1l,205.0,58
Hnf4g,154.0,52
Hnrnpf,760.0,69
Hnrnpl,1477.0,70
Hnrnpul2,233.0,60
Homer3,194.0,59
Hoxa1,124.0,47
Hoxb1,161.0,46
Hoxc4,214.0,52
Hoxc6,118.0,49
Hoxc8,111.0,44
Hp1bp3,251.0,59
Hpn,155.0,48
Hr,518.0,68
Hrc,106.0,47
Hs1bp3,298.0,64
Hs3st2,614.0,61
Hs3st3a1,264.0,61
Hs3st5,213.0,57
Hs6st2,157.0,52
Hspa12b,162.0,54
Hspa4,345.0,62
Hspb8,139.0,48
Hspbap1,160.0,52
Htr1d,260.0,62
Htr2c,193.0,58
Htr3a,160.0,52
Htr7,224.0,58
Htra2,456.0,67
Htt,382.0,63
Hus1,177.0,56
Hyal2,137.0,50
Hyal3,166.0,51
Hyal6,179.0,54
Ibsp,270.0,62
Ibtk,168.0,57
Icam1,175.0,54
Icos,174.0,57
Icosl,167.0,57
Ide,369.0,63
Idh1,191.0,51
Idh3a,489.0,63
Ids,458.0,63
Ier5,653.0,66
Ifit1,146.0,46
Ifit2,99.0,44
Ifngr1,221.0,59
Ifnlr1,177.0,55
Ift122,136.0,44
Ift80,214.0,56
Igf2,189.0,54
Igf2bp2,165.0,56
Igfbp3,180.0,55
Igfbp4,1249.0,66
Igfn1,210.0,56
Igsf10,113.0,43
Igsf11,311.0,68
Igsf8,1396.0,68
Igsf9,176.0,51
Ikbkap,389.0,63
Ikbke,154.0,52
Ikzf3,165.0,52
Il10ra,255.0,58
Il13ra1,178.0,55
Il17rc,208.0,59
Il1rn,132.0,49
Il20ra,119.0,51
Il20rb,139.0,47
Il33,152.0,51
Il4ra,121.0,54
Il7r,77.0,35
Ildr1,133.0,53
Impa1,126.0,51
Impact,278.0,61
Impdh1,589.0,65
Incenp,227.0,56
Inf2,611.0,69
Ing1,703.0,70
Ing4,267.0,60
Inhbb,182.0,55
Inhbc,187.0,55
Inpp4a,1719.0,69
Inpp5f,327.0,63
Inpp5k,291.0,62
Inppl1,339.0,62
Insm1,189.0,56
Ints1,602.0,68
Ints2,210.0,57
Ints4,173.0,57
Intu,198.0,58
Ip6k3,119.0,46
Ipmk,105.0,46
Ipo11,354.0,60
Ipo4,320.0,61
Ipo5,225.0,57
Ipo8,158.0,49
Iqcc,199.0,51
Iqcd,245.0,58
Iqsec2,356.0,61
Irak3,223.0,57
Irgm1,173.0,52
Irx3,292.0,62
Islr,164.0,57
Ism1,214.0,58
Isoc1,223.0,58
Itch,160.0,54
Itfg1,187.0,55
Itga1,208.0,57
Itga11,171.0,51
Itga2,236.0,55
Itga3,188.0,51
Itgal,83.0,38
Itgam,200.0,57
Itgb2,206.0,58
Itgb3,208.0,52
Itpkb,140.0,52
Itpripl1,165.0,51
Iws1,260.0,55
Jakmip2,432.0,61
Jazf1,258.0,60
Jmy,379.0,64
Josd1,245.0,60
Jph2,170.0,52
Jrk,205.0,53
Jup,236.0,59
Kank3,372.0,61
Kansl1,391.0,65
Kansl1l,167.0,48
Kansl2,366.0,63
Kansl3,298.0,63
Kat2b,193.0,60
Kbtbd2,174.0,58
Kbtbd8,161.0,56
Kcmf1,245.0,61
Kcna10,311.0,60
Kcna6,251.0,59
Kcnb1,430.0,65
Kcnd3,382.0,66
Kcne1,124.0,50
Kcnf1,517.0,62
Kcng1,420.0,62
Kcng3,151.0,53
Kcnh5,426.0,62
Kcnh7,304.0,61
Kcnip3,906.0,68
Kcnj11,256.0,61
Kcnj12,269.0,63
Kcnj15,121.0,45
Kcnj16,187.0,56
Kcnj3,209.0,51
Kcnj9,570.0,60
Kcnk1,438.0,68
Kcnk12,200.0,56
Kcnk6,145.0,48
Kcns2,94.0,45
Kcnt1,379.0,61
Kcnt2,204.0,49
Kcnu1,140.0,51
Kctd11,173.0,56
Kctd15,258.0,60
Kctd17,1134.0,68
Kctd18,147.0,50
Kctd2,754.0,68
Kctd20,260.0,60
Kctd3,325.0,63
Kctd4,160.0,55
Kdelc1,156.0,53
Kdm1b,101.0,43
Kdm2a,234.0,58
Kdm3a,181.0,52
Kdm4c,270.0,63
Khsrp,960.0,70
Kidins220,433.0,65
Kif11,132.0,51
Kif16b,140.0,54
Kif20b,108.0,43
Kif23,193.0,54
Kif24,113.0,42
Kif26b,412.0,68
Kif4,160.0,56
Kif6,161.0,54
Kif9,114.0,48
Kifc3,411.0,63
Kirrel,151.0,54
Kit,239.0,60
Kl,139.0,50
Klb,220.0,56
Klf1,316.0,64
Klf12,161.0,52
Klf14,138.0,51
Klf16,334.0,64
Klf8,260.0,63
Klhdc10,348.0,64
Klhdc7b,181.0,56
Klhl12,180.0,53
Klhl14,177.0,52
Klhl18,126.0,45
Klhl31,127.0,47
Klhl32,236.0,54
Klhl40,257.0,62
Klhl5,396.0,66
Klhl6,183.0,54
Klk9,226.0,61
Klrk1,134.0,50
Kmt2c,215.0,56
Kmt2d,439.0,66
Kpna1,340.0,63
Kpna3,207.0,58
Kpna6,259.0,60
Kptn,425.0,62
Kremen1,226.0,57
Krr1,231.0,60
Krt15,187.0,55
Krt2,183.0,55
Krt24,148.0,48
Krt32,112.0,45
Krt5,172.0,51
Krt71,150.0,51
Krt76,218.0,59
Krt80,389.0,58
Krt82,372.0,64
Ky,248.0,57
L1td1,148.0,51
L3mbtl3,136.0,46
Lacc1,149.0,52
Lag3,134.0,45
Lama2,202.0,57
Lama4,140.0,45
Lancl1,279.0,57
Laptm5,210.0,54
Larp4b,410.0,65
Larp6,311.0,61
Las1l,140.0,49
Lcat,345.0,63
Lcmt2,190.0,53
Ldlrad3,176.0,51
Ldlrad4,432.0,63
Ldlrap1,179.0,57
Ldoc1l,291.0,66
Lef1,188.0,53
Lefty2,146.0,46
Leng1,163.0,51
Leng8,152.0,48
Leng9,204.0,60
Leo1,373.0,64
Lep,122.0,47
Leprotl1,248.0,54
Letm1,544.0,67
Letm2,94.0,43
Lgals12,126.0,51
Lgals3bp,162.0,54
Lgals8,111.0,47
Lgalsl,184.0,58
Lgmn,297.0,62
Lgr5,230.0,62
Lgr6,128.0,49
Lhfpl1,256.0,58
Lhfpl3,184.0,60
Lhfpl4,679.0,67
Lhx6,282.0,60
Lifr,376.0,66
Lig1,151.0,50
Lilra5,116.0,47
Lime1,257.0,59
Lims2,180.0,49
Lin28a,195.0,51
Lin7c,137.0,51
Lin9,112.0,47
Lipc,239.0,57
Lipe,192.0,50
Lipg,155.0,49
Litaf,166.0,52
Llgl2,174.0,53
Lman2,209.0,58
Lmbr1,159.0,51
Lmln,166.0,52
Lmod1,105.0,44
Lmod2,231.0,58
Lmtk2,845.0,66
Lmtk3,1454.0,68
Lnx1,235.0,61
Lonp1,633.0,64
Lonp2,413.0,64
Loxhd1,110.0,44
Loxl2,93.0,38
Lpar3,165.0,53
Lpar4,210.0,53
Lpar5,360.0,64
Lpcat2,214.0,60
Lpcat2b,152.0,51
Lpcat3,191.0,55
Lpcat4,1000.0,65
Lpgat1,506.0,67
Lpin1,269.0,60
Lpo,119.0,45
Lpp,141.0,47
Lrch1,198.0,55
Lrch2,117.0,48
Lrig3,145.0,53
Lrit1,150.0,56
Lrp10,266.0,66
Lrp11,716.0,66
Lrp12,330.0,63
Lrp3,495.0,65
Lrp5,327.0,63
Lrpprc,182.0,56
Lrrc15,181.0,50
Lrrc25,165.0,55
Lrrc3b,259.0,58
Lrrc42,285.0,62
Lrrc4c,325.0,62
Lrrc55,263.0,63
Lrrc71,92.0,39
Lrrc8c,208.0,53
Lrrc8e,179.0,57
Lrrc9,136.0,51
Lrrfip2,135.0,51
Lrriq4,164.0,53
Lrrk1,155.0,46
Lrrn4cl,105.0,47
Lrrtm1,179.0,57
Lrtm1,137.0,44
Lsg1,204.0,58
Lsm1,201.0,55
Lsm14b,584.0,68
Ltbr,209.0,58
Ltn1,290.0,62
Ltv1,216.0,60
Luzp1,282.0,61
Luzp2,199.0,52
Ly6e,788.0,65
Lypd1,152.0,51
Lypd3,205.0,54
Lyrm9,288.0,64
Lyve1,177.0,54
Lzic,299.0,64
Lzts1,901.0,65
Lzts3,295.0,61
M1ap,113.0,43
Maea,514.0,64
Magea10,136.0,50
Maged2,260.0,62
Magee1,687.0,68
Magi2,117.0,46
Magi3,124.0,41
Malt1,153.0,51
Mamdc2,164.0,55
Maml1,260.0,62
Maml3,242.0,57
Mamld1,338.0,62
Man1a2,400.0,64
Man2c1,425.0,64
Manba,162.0,51
Maneal,262.0,64
Manf,202.0,59
Map10,124.0,48
Map3k13,273.0,57
Map3k15,226.0,54
Map3k2,196.0,55
Map3k6,254.0,59
Map3k7,302.0,62
Map3k9,639.0,65
Map4k2,230.0,60
Map7d1,1015.0,70
Map9,157.0,55
Mapk12,205.0,55
Mapk14,355.0,62
Mapkap1,196.0,52
Mapkbp1,509.0,67
Mapre1,200.0,61
Mark1,509.0,65
Mark2,605.0,66
Mark3,330.0,60
Mars2,138.0,52
Mas1,151.0,45
Mat1a,200.0,60
Maz,1212.0,70
Mbd1,321.0,64
Mblac2,152.0,50
Mbnl1,345.0,63
Mbnl3,141.0,54
Mbtd1,157.0,53
Mbtps2,173.0,53
Mc3r,199.0,57
Mcf2l,929.0,66
Mcfd2,250.0,61
Mchr1,232.0,54
Mcm10,192.0,53
Mcm3,252.0,58
Mcm4,246.0,61
Mcm8,160.0,54
Mcmbp,256.0,61
Mcrs1,228.0,56
Mcur1,243.0,62
Mdga1,192.0,57
Me2,158.0,54
Mecp2,193.0,53
Med13l,561.0,62
Med14,165.0,57
Med15,360.0,65
Med17,188.0,54
Med22,353.0,63
Med24,692.0,66
Med25,542.0,64
Med28,233.0,61
Med8,206.0,58
Med9,257.0,59
Mef2d,557.0,68
Meis1,220.0,62
Meis3,376.0,67
Meox2,118.0,48
Mesp2,142.0,52
Met,220.0,55
Metap1,292.0,60
Metap2,214.0,58
Mettl15,186.0,56
Mettl17,129.0,49
Mettl3,178.0,56
Mex3c,156.0,48
Mex3d,267.0,62
Mfap3l,250.0,61
Mfng,279.0,62
Mfsd12,227.0,57
Mfsd2a,404.0,66
Mfsd5,459.0,61
Mfsd6,332.0,58
Mfsd8,188.0,53
Mfsd9,221.0,56
Mgat1,204.0,56
Mgea5,496.0,66
Mgme1,180.0,55
Mib1,425.0,63
Mical1,326.0,66
Micall1,390.0,62
Micall2,125.0,43
Micu1,85.0,38
Mid2,170.0,51
Mief2,199.0,53
Mink1,992.0,69
Mir17hg,226.0,59
Misp,123.0,47
Mkln1,169.0,56
Mknk1,284.0,59
Mknk2,370.0,64
Mks1,161.0,52
Mkx,240.0,61
Mlec,264.0,60
Mllt3,148.0,52
Mllt6,373.0,65
Mlxip,335.0,65
Mlxipl,136.0,46
Mlycd,335.0,61
Mmd2,367.0,67
Mmp16,267.0,62
Mmp2,177.0,51
Mmp20,163.0,52
Mmp28,193.0,54
Mnat1,149.0,54
Mns1,191.0,60
Mnt,368.0,62
Mob3b,132.0,51
Mocos,135.0,50
Mocs3,350.0,65
Mon2,404.0,66
Morc1,177.0,50
Morc2a,277.0,62
Morc3,201.0,56
Morn4,519.0,64
Mov10,150.0,49
Moxd2,173.0,50
Mpg,320.0,64
Mpi,516.0,64
Mpl,149.0,50
Mpp1,130.0,48
Mpp3,556.0,63
Mpp4,135.0,49
Mppe1,144.0,52
Mpped1,981.0,67
Mpz,188.0,56
Mpzl2,97.0,44
Mrgprd,159.0,53
Mrgpre,236.0,66
Mrgprf,176.0,56
Mroh4,226.0,55
Mroh9,108.0,44
Mrpl19,237.0,57
Mrps27,368.0,66
Msantd1,118.0,49
Msantd2,149.0,49
Msh6,225.0,53
Msl1,390.0,62
Msl3,298.0,59
Msl3l2,173.0,50
Msn,118.0,48
Mss51,140.0,52
Mst1,165.0,51
Msto1,329.0,64
Msx3,110.0,49
Mta2,366.0,62
Mtch2,213.0,62
Mtdh,329.0,64
Mtf2,166.0,56
Mtfr2,166.0,52
Mthfd2,203.0,56
Mthfd2l,212.0,60
Mthfr,127.0,47
Mtif2,176.0,51
Mtif3,170.0,55
Mtmr1,114.0,50
Mtmr2,204.0,53
Mtmr3,524.0,64
Mtor,377.0,65
Mtrf1,172.0,49
Mtrf1l,228.0,59
Mtrr,164.0,55
Muc19,159.0,51
Muc2,146.0,49
Muc20,124.0,43
Muc4,171.0,59
Muc5b,134.0,48
Mum1l1,180.0,57
Mut,170.0,54
Mvk,234.0,60
Mxd1,190.0,54
Mybbp1a,220.0,53
Mybl2,131.0,50
Myc,157.0,52
Mycn,168.0,47
Myf5,99.0,44
Myg1,210.0,58
Myh14,261.0,59
Myh3,221.0,54
Myh6,173.0,51
Myo18a,682.0,67
Myo18b,208.0,60
Myo1a,210.0,53
Myo1b,211.0,58
Myo1g,144.0,53
Myo5b,164.0,55
Myo9b,284.0,62
Myoc,117.0,47
Myocd,165.0,54
Myom3,197.0,56
Myot,226.0,55
Myoz3,177.0,54
Mypop,485.0,67
Myrf,206.0,53
Myrfl,209.0,58
N4bp2l1,160.0,48
N4bp3,284.0,56
Naa11,279.0,62
Naa16,165.0,52
Naa25,250.0,57
Naaa,306.0,64
Nab1,101.0,45
Nacad,334.0,61
Nacc2,370.0,65
Nadk,396.0,66
Nagpa,292.0,60
Nalcn,200.0,55
Nans,191.0,52
Nap1l5,597.0,64
Narf,180.0,51
Nasp,342.0,61
Nat10,176.0,54
Nat8l,236.0,58
Nbeal2,175.0,56
Nbn,195.0,57
Ncald,920.0,68
Nckap1l,176.0,51
Nckap5l,268.0,64
Ncoa5,168.0,52
Ncor2,952.0,69
Ncstn,273.0,60
Ndc1,185.0,60
Ndor1,135.0,49
Ndp,203.0,59
Ndst1,431.0,65
Ndufaf3,445.0,67
Ndufaf4,135.0,51
Nebl,206.0,60
Necab1,259.0,62
Nedd9,199.0,54
Nefh,616.0,59
Nek10,220.0,55
Nek3,110.0,44
Nek5,175.0,54
Nek6,215.0,59
Nek9,269.0,60
Nelfa,284.0,63
Nelfcd,345.0,63
Nell1,525.0,63
Neo1,280.0,61
Net1,236.0,54
Neu1,240.0,55
Neurod1,170.0,54
Nfatc3,219.0,54
Nfatc4,134.0,44
Nfe2l2,210.0,54
Nfic,492.0,66
Nfkbia,475.0,69
Nfkbie,195.0,58
Ngfr,152.0,48
Nhlh2,154.0,57
Nhlrc2,205.0,59
Nicn1,498.0,68
Nin,204.0,62
Nipsnap1,557.0,65
Nkain1,337.0,66
Nkapl,218.0,51
Nktr,440.0,64
Nkx2.9,161.0,49
Nle1,214.0,60
Nln,248.0,59
Nlrc4,208.0,55
Nlrp12,206.0,53
Nlrp1a,238.0,54
Nlrp2,126.0,45
Nlrp4b,108.0,43
Nmnat3,343.0,66
Nmrk2,106.0,39
Nnt,396.0,64
Nobox,204.0,58
Noc2l,432.0,65
Noc3l,265.0,56
Nod1,194.0,51
Nodal,184.0,55
Nol11,209.0,57
Nolc1,390.0,63
Nosip,320.0,61
Notum,199.0,62
Nova1,148.0,49
Noxa1,87.0,39
Npas2,269.0,61
Npas3,201.0,57
Npas4,330.0,63
Npbwr1,126.0,53
Npc1,208.0,59
Nphp1,220.0,58
Nphp4,235.0,54
Nphs2,134.0,53
Nprl3,499.0,68
Npsr1,160.0,56
Nptxr,2821.0,69
Npy1r,162.0,53
Nr0b1,122.0,46
Nr1h2,514.0,64
Nr1i2,172.0,58
Nr5a1,237.0,55
Nr6a1,117.0,43
Nras,236.0,60
Nrbf2,318.0,63
Nrbp1,490.0,66
Nrg2,269.0,60
Nrg4,182.0,57
Nrip2,160.0,50
Nrros,171.0,54
Nsmaf,240.0,59
Nsun4,195.0,53
Nsun7,176.0,55
Nt5e,131.0,53
Nuak2,143.0,54
Nub1,572.0,67
Nubp1,250.0,57
Nudt15,231.0,57
Nudt16,324.0,61
Nufip2,205.0,58
Numb,375.0,65
Nup153,150.0,54
Nup160,225.0,56
Nup188,301.0,60
Nup88,244.0,55
Nupl1,318.0,59
Nus1,198.0,61
Nutm1,170.0,53
Nxf1,318.0,62
Nxpe2,189.0,54
Nxpe3,139.0,54
Nxph4,292.0,57
Nyx,178.0,55
Oas1b,133.0,53
Oaz2,808.0,69
Ocel1,208.0,53
Ogfr,771.0,69
Ogfrl1,484.0,65
Ogg1,197.0,55
Olfm4,136.0,53
Olfml2a,130.0,50
Olfr558,125.0,47
Olfr976,136.0,50
Onecut3,219.0,57
Opcml,719.0,66
Opn3,305.0,58
Orc3,165.0,51
Osbp2,543.0,65
Osbpl10,434.0,66
Osbpl2,556.0,64
Osbpl8,280.0,59
Osmr,159.0,52
Otof,187.0,60
Otop1,249.0,61
Otub2,181.0,52
Otud7b,111.0,52
Oxa1l,369.0,65
Oxgr1,150.0,48
Oxsm,251.0,63
P2rx6,257.0,62
P2ry12,185.0,53
P2ry2,145.0,53
Pabpc1l,394.0,67
Pacsin3,602.0,67
Padi1,177.0,53
Padi4,202.0,57
Padi6,161.0,58
Pafah1b2,213.0,57
Pah,176.0,54
Pak1,742.0,64
Pak1ip1,346.0,64
Pak3,233.0,60
Palmd,213.0,57
Pan3,230.0,54
Panx2,388.0,64
Papd7,360.0,65
Pappa,218.0,58
Paqr5,103.0,46
Paqr7,508.0,65
Parp8,138.0,48
Parp9,161.0,55
Parpbp,186.0,54
Pask,243.0,58
Patl1,258.0,61
Patl2,262.0,56
Pax1,162.0,48
Pax9,170.0,53
Paxbp1,159.0,55
Pcbp1,1945.0,70
Pcbp4,512.0,66
Pccb,240.0,61
Pcdh12,217.0,57
Pcdh9,321.0,59
Pced1a,173.0,55
Pcgf2,227.0,56
Pcmtd1,182.0,52
Pcnt,212.0,55
Pcnx,547.0,64
Pcolce,182.0,54
Pcsk4,150.0,49
Pcx,376.0,66
Pdcd1,206.0,58
Pdcl,258.0,62
Pde1c,123.0,46
Pde4a,698.0,65
Pde4c,142.0,53
Pde8b,192.0,55
Pdgfb,261.0,61
Pdgfrb,288.0,64
Pdhx,249.0,62
Pdilt,165.0,55
Pdk3,254.0,56
Pdk4,156.0,57
Pdp2,220.0,58
Pdpn,278.0,65
Pds5b,179.0,58
Pdxdc1,354.0,62
Pdxk,259.0,63
Pdyn,298.0,58
Pdzd2,414.0,62
Pdzd7,270.0,62
Pdzd8,212.0,52
Pdzrn4,236.0,57
Peli1,289.0,64
Per1,230.0,58
Pet2,238.0,57
Pex12,229.0,57
Pex14,533.0,67
Pex19,355.0,62
Pex26,301.0,58
Pex5,508.0,68
Pfkm,2387.0,69
Pgbd1,223.0,59
Pgm2,248.0,62
Phc3,158.0,51
Phex,115.0,43
Phf1,285.0,60
Phf11d,228.0,57
Phf19,160.0,49
Phf2,415.0,67
Phf20,185.0,55
Phf20l1,290.0,63
Phf21a,151.0,53
Phf3,254.0,61
Phf8,228.0,55
Phip,187.0,55
Phlda3,388.0,61
Phldb1,283.0,58
Phyhip,2602.0,66
Pi16,141.0,51
Pi4kb,328.0,63
Pias3,257.0,63
Pias4,516.0,68
Picalm,322.0,61
Pick1,355.0,61
Pid1,236.0,61
Piga,143.0,48
Pigg,260.0,63
Pigk,660.0,68
Pign,190.0,54
Pigo,302.0,60
Pigs,534.0,66
Pigw,197.0,57
Pik3c2a,142.0,55
Pik3cb,277.0,60
Pik3r1,405.0,66
Pik3r4,369.0,64
Pik3r5,262.0,62
Pim2,294.0,62
Pink1,1102.0,69
Pip5kl1,200.0,57
Pitrm1,434.0,69
Pitx1,235.0,58
Piwil2,130.0,49
Pkd1l2,144.0,49
Pkd1l3,182.0,53
Pkd2,168.0,57
Pkdcc,171.0,51
Pkhd1,198.0,55
Pkmyt1,216.0,57
Pknox2,512.0,65
Pkp1,181.0,57
Pkp3,118.0,48
Pkp4,369.0,60
Pla2g15,219.0,57
Pla2g4a,329.0,65
Pla2g5,96.0,42
Plagl1,173.0,52
Plau,217.0,60
Plcb2,232.0,58
Plcb4,352.0,65
Plcd1,158.0,53
Plcd3,222.0,56
Plcg1,498.0,68
Plch2,364.0,62
Plcl2,555.0,66
Plcxd3,219.0,59
Pld4,166.0,53
Pld5,130.0,41
Plek,256.0,60
Plekha1,211.0,56
Plekha3,271.0,62
Plekhf1,226.0,61
Plekhh2,221.0,60
Plekhm2,467.0,65
Plk1,129.0,46
Plk4,131.0,49
Plk5,292.0,62
Plod2,175.0,54
Plscr2,179.0,54
Plscr3,141.0,52
Plscr4,132.0,43
Plvap,235.0,59
Plxdc2,149.0,52
Plxnb2,339.0,63
Plxnc1,173.0,56
Pmepa1,323.0,59
Pmfbp1,237.0,55
Pml,123.0,47
Pnkp,276.0,62
Pnma3,119.0,48
Pnma5,117.0,47
Pnmal1,792.0,67
Pnpla7,178.0,54
Pnpo,239.0,57
Poc1b,183.0,58
Podn,219.0,52
Podxl,183.0,54
Pofut1,247.0,60
Pold1,255.0,57
Pold3,174.0,54
Pole,176.0,54
Polq,110.0,42
Polr3b,182.0,53
Polr3e,217.0,58
Polr3f,166.0,53
Polrmt,449.0,64
Pom121,316.0,64
Pomk,270.0,62
Pomt1,181.0,58
Pomt2,190.0,52
Popdc3,213.0,57
Postn,104.0,43
Pou2af1,209.0,55
Pou2f2,183.0,57
Pou2f3,181.0,54
Pou3f2,125.0,46
Pou3f4,157.0,52
Pou4f1,119.0,42
Ppan,286.0,62
Ppara,173.0,53
Ppard,244.0,59
Ppcdc,241.0,55
Ppcs,202.0,54
Ppfia3,1069.0,68
Ppfibp1,251.0,64
Ppfibp2,146.0,52
Pphln1,175.0,51
Ppm1f,222.0,56
Ppme1,270.0,58
Ppox,238.0,58
Ppp1ca,1363.0,69
Ppp1r12a,555.0,67
Ppp1r12c,550.0,66
Ppp1r16a,483.0,61
Ppp1r16b,490.0,67
Ppp1r18,179.0,55
Ppp2r5a,187.0,49
Ppp2r5d,547.0,67
Ppp2r5e,165.0,56
Ppp5c,1040.0,69
Pprc1,182.0,53
Ppt1,425.0,65
Pramef8,199.0,57
Prdm1,134.0,53
Prdm10,242.0,61
Prdm11,279.0,64
Prdm2,467.0,67
Prdm4,321.0,63
Prdm8,322.0,63
Prf1,217.0,57
Prkaa2,146.0,48
Prkacb,1182.0,68
Prkag3,246.0,58
Prkcg,1274.0,66
Prkcq,179.0,56
Prkcsh,494.0,65
Prkd1,155.0,47
Prkg1,157.0,50
Prkx,229.0,57
Prmt6,293.0,64
Prmt8,538.0,61
Prob1,169.0,53
Proc,170.0,52
Prodh,452.0,69
Proser2,148.0,54
Prpf3,171.0,54
Prpf31,228.0,60
Prpf38b,346.0,60
Prpf4,168.0,54
Prpf6,419.0,63
Prpf8,375.0,63
Prr12,492.0,65
Prr5,175.0,56
Prrc1,135.0,45
Prrc2a,1963.0,71
Prrg3,275.0,60
Prss12,353.0,64
Prss32,195.0,55
Prss43,219.0,56
Prss56,213.0,55
Psd2,338.0,64
Psen1,147.0,54
Psg29,174.0,55
Psg.ps1,136.0,53
Pskh1,150.0,48
Psmd9,437.0,67
Pspc1,305.0,62
Psrc1,138.0,47
Pstpip1,196.0,54
Ptbp2,252.0,64
Ptchd1,233.0,61
Ptdss2,423.0,65
Ptger2,162.0,54
Ptger4,187.0,56
Ptgs1,111.0,45
Ptgs2,169.0,53
Pth1r,224.0,57
Ptp4a3,161.0,56
Ptpn1,184.0,56
Ptpn20,236.0,58
Ptpn21,174.0,49
Ptpn7,184.0,53
Ptpra,468.0,65
Ptprb,274.0,61
Ptprg,181.0,50
Ptprh,145.0,51
Ptprm,264.0,60
Ptpru,254.0,56
Ptx3,194.0,58
Ptx4,275.0,58
Pxn,221.0,59
Pygl,192.0,56
Pygm,206.0,61
Pygo1,207.0,57
Pyroxd2,153.0,50
Pzp,141.0,49
Qrsl1,146.0,48
Qsox2,319.0,63
Qtrt1,232.0,59
Rab10,205.0,59
Rab11fip1,277.0,61
Rab11fip2,198.0,55
Rab22a,297.0,58
Rab30,206.0,55
Rab32,148.0,52
Rab37,132.0,49
Rab39b,270.0,63
Rab3gap1,199.0,53
Rab3il1,132.0,45
Rab40c,250.0,58
Rab43,188.0,53
Rab7,364.0,64
Rab8a,496.0,67
Rab8b,182.0,52
Rabep1,183.0,53
Rabif,268.0,64
Rabl3,127.0,42
Rad18,160.0,55
Rad9a,169.0,50
Rag2,156.0,53
Ralgapb,342.0,65
Ralgps2,159.0,53
Ranbp3l,106.0,43
Rap2a,388.0,62
Rap2b,180.0,55
Rapgef1,528.0,70
Raph1,454.0,64
Rapsn,257.0,60
Rarb,192.0,55
Rars,351.0,61
Rasal1,537.0,64
Rasal2,462.0,67
Rasal3,189.0,53
Rasgef1b,282.0,64
Rasgrp3,124.0,50
Rasgrp4,124.0,52
Rassf10,187.0,54
Rassf2,332.0,63
Rassf4,245.0,59
Rassf7,145.0,51
Rassf8,260.0,63
Raver2,176.0,57
Rb1,160.0,50
Rbbp4,314.0,60
Rbbp7,434.0,65
Rbl2,187.0,53
Rbm11,244.0,61
Rbm18,136.0,46
Rbm19,191.0,58
Rbm20,136.0,51
Rbm24,239.0,63
Rbm26,388.0,66
Rbm27,275.0,61
Rbm46,116.0,43
Rbm47,260.0,60
Rbm48,180.0,60
Rbms2,235.0,60
Rbms3,158.0,49
Rbp3,229.0,60
Rc3h2,288.0,64
Rcan1,387.0,64
Rcan2,762.0,65
Rcbtb1,159.0,52
Rcbtb2,272.0,57
Rce1,149.0,50
Rcn1,146.0,54
Rcor1,261.0,58
Rdh10,198.0,58
Rdh12,176.0,57
Rdh13,302.0,61
Rec8,172.0,52
Recql4,196.0,58
Redrum,203.0,56
Reep1,322.0,59
Rela,253.0,62
Relb,239.0,56
Rell1,269.0,61
Rem2,219.0,56
Retsat,165.0,52
Rev1,272.0,59
Rfng,991.0,67
Rfx6,179.0,57
Rfx8,263.0,65
Rgag1,180.0,51
Rgag4,200.0,56
Rgl3,207.0,57
Rgma,378.0,68
Rgp1,256.0,59
Rgs11,291.0,65
Rgs12,309.0,63
Rgs9bp,123.0,49
Rhob,1598.0,70
Rhog,310.0,59
Rhoh,234.0,60
Rhoj,177.0,51
