gene_identifier,n_counts,n_cells
Cep89,317.0,62
Cep95,171.0,54
Cept1,218.0,62
Cercam,134.0,50
Cers2,225.0,56
Cers3,246.0,61
Cers5,143.0,46
Cgn,175.0,53
Chad,116.0,48
Chd8,194.0,56
Chdh,97.0,48
Chek1,141.0,51
Chic1,182.0,56
Chodl,242.0,60
Chrm1,808.0,67
Chrm2,161.0,51
Chrna5,229.0,64
Chrna6,204.0,53
Chrna7,220.0,57
Chrnd,337.0,66
Chst10,305.0,58
Chst2,524.0,67
Chst3,131.0,47
Chst7,258.0,61
Chsy1,149.0,51
Ciao1,352.0,66
Ciapin1,320.0,63
Cidec,118.0,48
Cilp2,95.0,45
Cinp,449.0,67
Cit,696.0,65
Cited2,506.0,62
Ckap2l,142.0,54
Ckap4,263.0,61
Clcf1,175.0,54
Clcn2,284.0,65
Clcn6,499.0,68
Cldn11,775.0,58
Cldn18,88.0,38
Cldn4,203.0,54
Cldn5,814.0,68
Cldn9,179.0,57
Clec14a,257.0,60
Clec16a,570.0,66
Clec1a,92.0,39
Clec4f,86.0,37
Clec5a,156.0,55
Clip1,515.0,62
Clip4,339.0,64
Clrn1,126.0,48
Clstn2,506.0,62
Clvs1,238.0,59
Cmtm3,272.0,61
Cmtm4,198.0,54
Cmtm6,295.0,61
Cmtr1,369.0,66
Cmya5,202.0,59
Cndp1,158.0,51
Cnga2,156.0,49
Cnga3,165.0,53
Cnga4,212.0,57
Cnksr3,196.0,55
Cnnm2,361.0,61
Cnot1,328.0,62
Cnot10,161.0,53
Cnot4,232.0,59
Cnp,1148.0,64
Cnppd1,165.0,55
Cnpy1,181.0,54
Cnpy3,766.0,68
Cnr2,161.0,51
Cnst,284.0,65
Cntn2,676.0,66
Cntn3,137.0,51
Cntnap3,137.0,48
Cntnap4,173.0,56
Cntnap5b,159.0,53
Cntrob,203.0,56
Cog4,319.0,64
Cog5,268.0,59
Cog8,392.0,67
Coil,314.0,65
Col11a1,268.0,60
Col11a2,220.0,57
Col12a1,187.0,57
Col18a1,132.0,49
Col19a1,175.0,54
Col1a1,156.0,48
Col20a1,124.0,47
Col22a1,147.0,56
Col24a1,143.0,51
Col28a1,101.0,44
Col2a1,105.0,45
Col4a3,155.0,55
Col5a2,181.0,54
Col6a1,274.0,57
Col6a2,200.0,58
Col6a4,107.0,53
Colgalt2,179.0,56
Comp,128.0,52
Copb2,285.0,61
Copg2,284.0,62
Cops4,367.0,62
Cops7b,285.0,60
Coro1c,622.0,68
Coro2a,238.0,59
Coro7,360.0,63
Cox15,124.0,45
Cp,124.0,43
Cpeb4,482.0,64
Cpox,511.0,66
Cpped1,315.0,66
Cpq,120.0,44
Cpsf3,291.0,58
Cpsf4,318.0,64
Cpsf6,316.0,65
Cpsf7,278.0,59
Cpt2,106.0,42
Cpz,89.0,37
Cr2,147.0,55
Crb2,238.0,58
Creb3l1,228.0,56
Creg2,280.0,60
Creld1,409.0,66
Crim1,278.0,59
Crkl,266.0,61
Crlf1,174.0,55
Crlf3,149.0,52
Crot,254.0,59
Crtac1,552.0,64
Crtap,225.0,58
Cs,1052.0,70
Csk,243.0,59
Csnk1d,463.0,68
Csnk1g3,293.0,63
Cspg4,245.0,56
Cspp1,178.0,53
Csrnp2,381.0,64
Csrp1,496.0,67
Cst6,238.0,57
Ctc1,321.0,65
Ctcf,221.0,54
Ctdspl2,158.0,49
Ctif,507.0,67
