"cell_ID","Integument_atp1b1b","Neural Stem Cells","Brain, Spinal Cord","Epidermis_egfl6, YSL","Pharyngeal Arch, Somite, Cardiovascular System","Epidermis_evplb","Epidermis_tnn","Tail bud","Pigment Cell","Central Nervous System","Optic Cup","Central Nervous System_ntn1b","Blood Vessel Endothelial Cell","Hatching Gland","Erythroid Lineage Cell","Notochord","Solid Lens Vesicle","Integument_pvalb8","Otic Vesicle","Central Nervous System_msx3","Musculature System","GABAergic Neuron","Leukocyte"
"-598_2250",0,0,0,0,0.209516513743044,0.119902612819186,0,0.394638291779019,0,0,0,0,0,0,0.0152643024359414,0,0,0,0,0,0.260678279222809,0,0
"-578_2165",0,0.124222191130917,0,0,0,0,0,0,0.00209016745365567,0,0,0,0,0,0,0,0,0.295933769883927,0,0,0.5777538715315,0,0
"-568_2420",0.355100515603124,0,0,0.0303064234223183,0,0.106963263514412,0,0.231419972427603,0,0,0,0,0,0.0954850441828937,0.100564274149448,0,0,0,0,0,0.0801605067002005,0,0
"-603_2125",0,0.176157518646032,0,0,0,0,0,0,0.330394554908544,0.398125539966401,0,0,0,0,0,0,0,0,0,0,0.0953223864790241,0,0
"-833_2115",-6.45564634329412e-18,0,-2.80067726155743e-21,0.0454705943897615,0,0,0,0,0,0.100562013371907,0.763104018149242,0,0,0,0,0,0,0,4.07569294714563e-19,0,0.0908633740890895,0,0
"-598_2130",0,0.756845594436713,0.114057210295648,0,0,0.0469693912402297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821278040274094,0,0
"-543_2445",0,0,0,0,-1.25922532063731e-19,0,0,0,0,0,0,0,0,0.12732721619437,0.587537866813377,0.057305085753048,0,0.0305368012808805,0,0,0.197293029958324,0,0
"-558_2345",0,0,0,0,0.48917587718256,0.00890604148422504,0,0.139545387926368,3.66316169498821e-21,0,0,0,6.09366254112129e-05,0.197777788419244,0.0390345361769061,0,0,0,0,0,0.125499432185285,0,0
"-748_2195",0,0,0.0562743560348715,0,0,0.0778551422181017,0,0,0,0.00364195280938872,0,0.746482803438731,0,0.00423286613611027,0,0,7.29787811820842e-19,0.043302169877077,0,0,0.0682107094857196,0,0
"-728_2100",0,0,0,0,0,0.0158744719647538,0,0,0,0.984125528035246,0,0,0,0,0,0,0,0,0,0,0,0,0
"-748_2230",0,0.10281696204471,0,0,0,0,0,0,0,0.858469307821961,0.000361627481041417,0.000567494499198027,0.0377846081530898,0,0,0,0,0,0,0,0,0,0
"-753_2140",0,0,0.122493556616426,0,0,0,0,0,0,0,0,0.841765095658705,0,0,0,0,0,0,0,-3.5519356818555e-18,0.0357413477248689,0,0
"-488_2420",0,0,0.136477929924875,0.123166750738253,0.0737744138952676,0.0344015805572433,0,0,0,0,0.0387479857292451,0,0,0.25217723538259,0.109342273072402,0,0,0,0,0,0.231911830700123,0,0
"-588_2310",0,0,0,0.0766904351605681,0,0,0,0.27164751347915,0,0,0,0,0,3.0859813175151e-18,0.0283643205884021,0.245236975678999,0,0,0,0,0.378060755092881,0,0
"-628_2130",0,0.418737004532465,0,0,0.157342393255044,0,0,0,0,0,0,0,0,0,0.0861366767454589,0.114601319612668,0,0,5.14490532241391e-19,0,0.223182605854364,0,0
"-553_2240",0,0,0,0,0.00209247593581529,0,0,0.0877358118710992,0,0,0,0,0,0.000791618330063034,0.120891399182592,0,0,0.0360987546641662,0,0.287372317854973,0.465017622161291,0,0
"-543_2415",0,0,0,0,0.106171118884148,0,0,0.0950461291323974,0,0,0,0,0,0.130085689985447,0.190514679660991,0,0,0.206455147275934,0,0,0.271727235061082,0,6.0089563597289e-19
"-818_2175",0,0,0,0,0,0,0,0,0,0.00555970436402034,0,0.99444029563598,0,0,0,0,0,0,0,0,0,0,0
"-523_2195",0,0.0619882649888098,0,0.0584714839541087,0.111609083109544,0.06292780338062,0,0.0899803484772644,0,0,0,0,0,0,0.0144547143836216,0,0,0,0,0,0.433227960035024,0,0.167340341671008
"-653_2090",0,0,0,0.33876875933781,0.0544808361065227,0.018787553531909,0,0,0,0.00629006609034237,0,0,0,0.140289716313672,0,0,0,0,0,0.320180333265293,0.121202735354451,0,0
