"","Integument_atp1b1b","Neural Stem Cells","Brain, Spinal Cord","Epidermis_egfl6, YSL","Pharyngeal Arch, Somite, Cardiovascular System","Epidermis_evplb","Epidermis_tnn","Tail bud","Pigment Cell","Central Nervous System","Optic Cup","Central Nervous System_ntn1b","Blood Vessel Endothelial Cell","Hatching Gland","Erythroid Lineage Cell","Notochord","Solid Lens Vesicle","Integument_pvalb8","Otic Vesicle","Central Nervous System_msx3","Musculature System","GABAergic Neuron","Leukocyte"
"-778_2200",0.000780389475074949,0.0182724116978033,0.236691475776282,7.93760500817374e-06,0.000733983739851401,0.00104094441465229,0.000125182747472106,0.00162212770307044,8.81179935137401e-05,0.562451574414102,0.000136460329817979,0.141526457712155,0.00536863517277316,8.27927202191782e-05,0.000530343068077868,2.69182643877506e-07,0.00011376648253882,0.0200477953478436,3.60222173942665e-05,0.000283083839408032,0.000897738175635583,0.0046006471961371,0.00456184298852506
"-743_2120",0.0013283419096535,0.049377267320071,0.325009076429936,0.000960529159249302,8.49115236611913e-05,0.00365154444856267,0.000261775642615867,8.28351096746009e-05,0.000794953323552439,0.542942455914967,0.000861915417172383,0.0429479637581924,0.00183593220766562,0.00103516616947825,0.0078007026240751,6.9970962041911e-07,2.20110984065572e-06,0.00851721906135702,3.59262372398895e-06,6.84030469535057e-06,0.00618030990147499,0.000421910420767999,0.00589185590999183
"-598_2250",4.30309184848524e-06,0.00199060624296336,0.0410170152788731,0.0337377493312517,0.0585955757649388,0.113273671018675,0.00032715908939179,8.15016301203186e-05,0.161504317426884,0.113995794961227,0.00360783229141757,0.00111412327921253,0.0198937075239356,6.20769625042749e-07,0.0657306470779359,4.08465898756034e-05,1.80306286102949e-05,5.80940186460222e-08,2.47111293066631e-07,0.0699896791067086,0.309361300678524,0.00546607281295653,0.000249140199712796
"-578_2165",0.0008452104498402,0.115216901096307,0.0517549684393069,0.000120244803691878,0.0362839427082477,1.6738309637379e-05,9.60192986084282e-05,2.64735573489296e-05,0.0333603995558645,0.000317017555382693,6.33918188093152e-05,0.000415007100904364,0.0536238948708415,3.50597373898509e-06,0.0246778498322385,0.000264176401852291,3.49289365565877e-06,0.00944485656063456,0.000488899155996262,0.0201324634227716,0.636362065050536,0.013787247236264,0.0026952339075213
"-568_2420",0.15007472651031,0.00569083684242117,0.00286981644156616,0.064193764355814,0.000103449779452398,0.0889243691516707,0.0437716817135154,0.0110638072864011,0.0953760672471917,0.000370120688719312,0.000445061723632182,0.000530493472385204,0.0437489373596718,0.0359934328450738,0.0542234915793157,2.57093643891422e-07,0.00328814309343377,0.256322905385687,0.00471171129865852,0.0504429772100759,0.0513312757555149,0.00315232593065217,0.0333703472351932
"-603_2125",0.00496777848303597,0.299591619712365,0.409401752866996,0.03403050332884,0.00522338192085367,0.0101240265927074,0.0030050787130779,0.00262398952096927,0.0661832142622144,0.157626719611821,0.00175876014147019,0.00211303594958495,7.35036908413956e-06,4.31801988302142e-06,2.77721820639965e-05,2.22372940540743e-06,2.12181455847922e-06,0.0020089110463379,3.36048608375321e-05,0.000749442904268173,0.00040296401283864,5.48625245845471e-05,5.65674322027043e-05
"-833_2115",0.00147857245250058,4.25532638232264e-07,0.038267581444163,6.63518358184248e-09,0.0118747878075306,0.0083911679326777,2.85466255808276e-05,0.0913416731521341,5.77349749383678e-07,0.53877239909314,0.118856056829606,0.0464198522937178,0.00582996984638709,0.00145517996756571,2.64694852878532e-06,7.22927119596258e-10,0.00132765934457011,0.0125613932665122,0.000283718279144676,0.0866679480200021,0.0364396354124334,3.3198100124495e-09,1.97723497975521e-07
"-598_2130",0.00886853860901929,0.718873125710053,0.0680300739028244,0.00175550707697949,0.00117639988007286,0.00688290391178651,0.00301690271076952,0.000277190450789722,0.0283389741075443,0.0257979792495475,0.00773646929985583,0.000433746504995517,0.00698963675438211,0.005031120146485,0.0215628744059112,1.50083052192603e-05,0.00879886899574416,0.0111378212048285,0.000249497996431246,0.0223196646689332,0.00910927963087632,0.0367664876575046,0.00683192881944648
"-543_2445",0.00709313135102237,3.34484612151141e-05,0.00412824660132659,0.00654421865875854,0.116446207707476,0.00914936200884106,0.0373330970260935,0.0109251649358629,0.0515466422917842,0.00475049527884521,0.16127179756655,0.000858962296363008,0.0790939590507813,6.84414919333781e-08,0.288892553860581,0.00122932208735585,0.0370431894223331,0.00313723101539259,0.000383073464022238,0.0205724210869222,0.14001332759761,0.000945173497216415,0.0186089062921546
"-558_2345",0.0988820389482328,0.0416270596438638,0.000355992692903277,0.000371678207554511,0.111796396136272,0.01394987723511,0.00100617018690768,0.00192260212871875,0.0988530495294169,0.000859904060228704,0.000564763440239215,0.0117370072494937,0.111715569924916,0.00589151227220401,0.0382698863623748,0.0267885649284315,0.00451127333748832,0.00720797464328852,0.00360417277045981,0.0545376641300217,0.322305473896902,0.00250110813742749,0.0407402601375448
"-748_2195",0.00521790856188632,0.0632372192883756,0.145385858750397,0.00401477416943071,0.0264392170949754,0.00339565538298676,0.000625889983772507,0.0922992217027699,0.00944732058207597,0.0340954210897135,0.000139902713924466,0.511662111497297,0.0323795666167085,0.000340585721618004,0.00439118514238326,0.00231645710433317,6.31207125121222e-07,0.0266918425508292,1.48883693412164e-05,0.0233933640096432,0.00454054873704964,0.00123191429266916,0.008738515430695
"-728_2100",5.41607002999424e-05,0.0362519759129996,0.329397097330094,0.00309726407484592,1.45797538752533e-05,0.0143415261971266,0.000485809192592006,1.44194439642727e-05,0.000369270306396811,0.594282346670544,0.000226674320927521,0.0107978424530848,0.000148281551302578,6.45836626842966e-06,0.00219869727821698,1.8480382830185e-05,1.47733564093485e-06,0.0024070606759866,1.80161082445997e-06,1.66791508228966e-05,0.00560815193732257,0.000237262605537433,2.26827484958329e-05
"-748_2230",7.15010347979999e-05,0.244514052446904,0.00634711657652783,6.15038974267045e-07,0.0709843000626821,7.50461101517851e-05,0.000219524218083055,0.000898692155730517,0.0319221174806951,0.135379448979733,0.0225835887459917,0.446249161780783,0.00160782236343991,7.20431220987913e-08,8.40660924466528e-05,2.69060921324016e-08,0.00474162757379238,2.73045030480149e-05,0.000625550036963236,0.000555842456227327,0.00537501978238691,0.0277338726650007,3.63094642690227e-06
"-753_2140",0.00156212633797638,0.00353768549309537,0.16686963370381,1.56586598714948e-05,0.0098775457550737,0.00151200785085125,0.000277665602228345,2.61775203878007e-06,0.00023431638473091,0.722861637106997,0.000188725569269873,0.0536664627782872,0.0258606795523615,8.20607889060243e-10,5.88896920092028e-06,0.00326316651659809,1.5356669917992e-05,0.009641565401376,1.27975536229564e-05,0.000523951171860066,3.12549019260618e-05,3.39922917469295e-05,5.26315655151315e-06
