"","cell_ID","05 OB-IMN GABA","30 Astro-Epen","03 OB-CR Glut","34 Immune","33 Vascular","31 OPC-Oligo","32 OEC","06 CTX-CGE GABA","29 CB Glut","09 CNU-LGE GABA","12 HY GABA","10 LSX GABA","02 NP-CT-L6b Glut","11 CNU-HYa GABA","13 CNU-HYa Glut"
"58","101",0,0,0,0,0,0,0,0,9.93594923315764e-05,0.471671432287754,0,0,0,0.528229208219915,0
"59","102",0,0.083355645772912,0.278794989178523,0,0,0,-5.94191300547436e-20,0,0.134994894703516,0,0.106427986162343,0,0.396426484182706,0,0
"60","103",0,0,0,0,0.942483551828882,0,0,0,0.0539152933692495,0,0,0,0,0.00360115480186891,0
"61","104",0,-1.97522527437846e-19,0,0.32477206757256,0.633554041450105,0.0242008852407281,0,0,0.0174730057366065,0,0,0,0,0,0
"62","105",0,0,0,0,0.678668284418712,0.321331715581288,0,0,0,0,0,0,-5.01729974001151e-18,0,0
"63","117",0,0.549822910553576,0,0.265855494440083,0,0,0,0,0,0,0,0,0.18432159500634,0,0
"64","118",0.096398107355574,0,0.245781909816799,0.05285819965868,0,0,0,0.135383722149873,0.168921361862678,0.0475520370506674,0,0,0,0.253104662105729,0
"65","119",0,0.164821483336113,0.590053197822695,0,0.0917798071765555,0,0,0,0.143362326217332,0,0,0,0,0.00998318544730374,0
"66","120",0,0.188874141018032,0,0.0214179307717113,0,1.82927882721047e-18,0,0,6.76379581677236e-07,0.640629363817917,1.96523045764205e-07,0,0.149077691489712,0,0
"67","121",0,0.477360763812447,0.521685516986908,0,0,0,0,0,0.000953719200645018,0,0,0,0,0,0
"68","122",0,0,0.553695507283813,0,0.168201007134859,0,0,0,0.0697869293250739,0,0,0.109931011254171,0,0.098385545002083,0
"69","123",0,0.327281240132446,0.301142187167693,0.206260233005271,0,0,0,0.0864941301763101,0,0,0,0.0788222095182801,0,0,0
"70","124",0,0,0.150963586504443,0.134750299536308,0,0.576544011077873,0,0,0.0614346627483168,0,0.0674166961337274,0.00889074399933243,0,0,0
"71","125",0,0,0.937310396928381,0,0,0,0,0,0.034422947437521,0,0.0282666556340979,0,0,2.95475454369979e-20,0
"72","126",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
