"","05 OB-IMN GABA","30 Astro-Epen","03 OB-CR Glut","34 Immune","33 Vascular","31 OPC-Oligo","32 OEC","06 CTX-CGE GABA","29 CB Glut","09 CNU-LGE GABA","12 HY GABA","10 LSX GABA","02 NP-CT-L6b Glut","11 CNU-HYa GABA","13 CNU-HYa Glut"
"40",0.00193288795885571,0.0361106618573502,1.74370592361779e-05,0.0823822758427884,0.382466796806102,0.00944766490701528,0.131841630969838,0.0369457072264916,0.000568205168510325,0.00778829206613863,0.000558400803102638,0.0342150946542802,0.103212238747711,8.34579839402562e-05,0.172429247948639
"41",0.0580719459714633,0.0030443783629554,0.000100035809501298,0.0252806557344557,0.0521088706637289,0.000430002153435246,0.414176589127687,0.0572964499112132,0.0733129451500732,0.0634295411137154,0.0105013106823136,0.0486721413567005,0.0944840553718282,0.00584305869431811,0.0932480198966105
"42",0.0568426831737473,0.10195990475162,5.9271044099248e-05,0.037908985500812,0.14939274016482,0.00378294569945609,0.175166076547409,0.0449621278747533,0.0545323914037364,0.0163642443815691,0.0563974647479839,0.230175212651856,0.022973024256076,0.0113598632422092,0.0381230645598526
"43",0.063262148601388,0.00602894081004555,4.96937931614658e-05,0.0019636967393952,0.00186861563684703,0.00421757656348823,0.180398719311457,0.00281948369739037,0.0656877831783623,0.199725241058984,0.137720000436544,0.267380560472542,0.0308702229128518,0.00348235481690781,0.0345249619706365
"44",0.0896655818062527,0.0762906291884529,0.00040947266820156,0.00909925792941312,0.0028064894012108,0.0912083125881101,0.00407090018856205,0.131715174612539,0.0506318951379997,0.067578029767709,0.0157456198845898,0.40669728905442,0.0016937185835749,0.0474003994951986,0.00498722969376526
"45",0.129138888611151,0.0170386511186814,0.033898723931263,0.0041262762692197,0.00031690426586114,0.00670456263186309,0.00208305104696452,0.160059842756162,0.118864975170494,0.0812492126472886,0.03018674741839,0.313896465234783,0.0125250502281808,0.0881874141342673,0.00172323453543035
"46",0.148395467496055,0.17323347540614,0.000114519434812459,0.0243450580602094,0.00160896692762092,0.0134876821058602,0.00178803992202813,0.0840894546264099,0.109366738236403,0.142072928667767,0.0251009662392712,0.213788618289108,0.000749712836909404,0.0615495126897164,0.000308859061688894
"47",0.297185437982901,4.20051284322155e-05,0.0289765949203078,0.00462419713539157,0.000623042389076592,0.0146070874113095,6.17174052150029e-05,0.124794238587022,0.115357532731917,0.147997857737171,0.0130679274772186,0.187887152708933,0.00109327167244439,0.0636466206595132,3.53160531483629e-05
"48",0.216696274912854,0.0860926423495832,3.21239923252807e-05,0.00397875102528837,0.00109293562972163,0.00494430500438943,0.0306274449641754,0.162864353670935,0.0802809955418938,0.13479669809726,0.0559557041759139,0.133458025926579,0.00407187708190357,0.0688196498915785,0.0162882177355981
"49",0.108172279536537,0.00645984531698257,0.000185430050961313,0.0832138106600655,0.00474714827892913,0.0123186453960204,0.0167841792186145,0.0545953978782194,0.119837444003297,0.121578092048027,0.140527834932049,0.300613418366525,0.00141769034011416,0.0237611668755376,0.00578761709812006
"50",0.00241751278932103,0.00116031793325721,0.179351331536081,0.000165949144373437,0.00108017005785435,0.00450084524223348,0.000474812042408654,0.0235682467373411,0.206073066466789,0.0293627290094877,0.148412468355207,0.379323970123082,0.0229640953050429,0.00084146982664071,0.000303015430880186
"51",0.00463064358972768,0.19161948710854,4.40414669179803e-05,0.00022321174539384,0.00189405225951336,0.00167701880231974,0.286457266663115,0.00240097848219186,0.0528312366134089,0.0102449807146358,0.0648454952387817,0.0323810989383494,0.163908666075649,0.000271023329264106,0.186570798972192
"55",0.168352181153813,0.0786482471247918,0.000268240483553771,0.000526064800266654,0.00258453513837656,0.00553026307509309,0.125847346371763,0.0356859776743295,0.00179177417571577,0.0822958040786733,0.109912838098889,0.112807526680261,0.0434899383548905,0.107025678343369,0.125233584446213
"56",0.0206841517124411,0.0626042211534374,0.0379778890954467,0.00110858359649041,0.00151356369810965,0.00850470538681553,0.161493403501608,0.0884871611393846,0.122945127324688,0.0250848666264657,0.0134509948356677,0.231919572802766,0.0665646055552222,0.0162522914032514,0.141408862168205
"73",0.0285721522460938,1.23760187622468e-05,0.811476672008394,0.011332058609761,0.0128544105017507,6.38849870727011e-05,8.8464749409049e-06,0.0151732084039069,0.000101419065979209,0.000107842216354603,0.000131181188015432,0.105337285144537,1.49551880898061e-07,0.014635267331496,0.000193246251054567
"75",0.161017591298609,0.00232421397729213,7.3865028935157e-05,0.00661913815574833,0.00402286540668432,0.0347008003128407,0.0897697511064286,0.0447262309696729,0.100816006848486,0.247100878370586,0.0471864324872955,0.157270937058876,0.0224832412889279,0.0129111988574613,0.068976848832156
"76",0.0227616373702963,0.0217876058822902,2.52714596887672e-09,0.0095445201767873,0.0253982799977578,0.0166931218800675,0.00943080782455079,0.0715800757921037,0.299360618164273,0.0463683422144542,0.0796352892637558,0.392205147978852,0.000484650479353878,0.00165579258488341,0.00309410786342738
"77",0.0814680771408465,0.0129330100994652,0.00702385941831462,0.000889239327647789,0.00219383736634049,0.00123138373751532,0.150993574961404,0.0111050963953657,0.138488030971955,0.331376093459408,0.110197142466653,0.103715588969075,0.0148487650643314,0.000974589031979909,0.0325617115896967
"78",0.0869513321273754,0.00283167143864492,0.0177049181062079,0.0707110732471481,0.00674538414357125,0.0143840533033217,2.57597469151217e-05,0.0796870315198708,0.117206426850767,0.0916688460067099,0.200700012160218,0.271714838097068,0.00669907545049386,0.0329583080139228,1.12697877653522e-05
"79",3.47860425373006e-06,0.198142915969156,3.01706753783021e-05,0.000383903856011312,0.800653437415318,0.000696199300114128,7.94345324248514e-06,9.19033749272558e-08,3.42455974874822e-09,2.75345779389706e-06,5.39624939751095e-05,1.90693240612954e-05,8.61046465021292e-08,2.26981388452252e-06,3.71420423024414e-06
"80",0.0357423381030303,0.00343194343619943,0.0596937352201806,0.0599409047315249,0.0121004499822675,0.00768067093184601,0.000662259602948239,0.00860383862449643,0.197507075428831,0.054266656170503,0.165947340207632,0.386552430385595,0.000737009651899075,0.00641303647353443,0.00072031104951187
"81",0.14975327215843,0.029019891357719,2.13750491937869e-05,0.0332757970769828,0.035081929455554,0.0350543391381703,0.00120339410621595,0.0634240288873366,0.089227333157857,0.177331441825681,0.132604200823388,0.232635328704973,0.00119758605388699,0.0201015387915047,6.8543413106508e-05
"82",0.180432016191399,0.0293582072731925,0.108076121556762,0.0212225876059981,0.162564510631679,0.0051461902188112,0.00191493779539078,0.0583656227879062,0.0637986078124352,0.0846187764920734,0.00795424077394724,0.24117289713264,0.00246622442427019,0.0298239072135836,0.00308515208991149
"83",0.000463248723634414,0.0442318829615966,0.00118554857066648,0.0109639522636364,0.818774092876201,0.00107567364945612,0.00202525793550948,1.02967403668649e-05,0.0289327330682727,0.0731285431895912,0.0115164942531174,0.00663257369237432,1.99148103686707e-05,0.00018692701003098,0.0008528602551773
"84",0.121193837481231,0.0967895630663696,0.000956169473447429,0.00527248776584177,0.0457378845356717,0.0157878333508746,0.000296159877302017,0.0467121235474178,0.133285529501054,0.0915124781168989,0.134833531151133,0.306008597400915,0.00019739243607501,0.00130030822663711,0.000116104069131558
"85",0.144930411621379,0.000842777287389414,0.111939735564934,0.000578565742385269,0.148189599954365,0.00392512902561596,0.000128641998429292,0.0100827208435738,0.0282315905864628,0.117417549674509,0.120687828329321,0.267592188070251,4.92328731674103e-05,0.0453998093865275,4.21904168946224e-06
"86",0.0511755045875902,0.0847354863438727,0.00329408274235417,0.00417375795745599,0.000900957444149596,0.017649036909652,0.000818387345189936,0.037623918041636,0.225993478604367,0.144156876666334,0.10669294425212,0.310751987885631,0.000607901275792816,0.00985863392425648,0.00156704601959889
"88",0.0288296216027963,8.57374212420438e-07,5.87179930608028e-05,0.00570424763964228,0.624149715503806,0.00114114286593917,0.159102064806708,0.0796913067326204,0.0111977915888807,0.00073851558235321,0.0551475341628116,0.032018750296496,0.000306560390879604,8.5515909155625e-06,0.00190462186887828
"89",0.0789916402158165,4.04387509616366e-05,7.73176274460459e-07,0.000545877940768908,0.00084234022744756,0.00545448510901408,0.213687451798578,0.0590010772559372,0.102007715100627,0.0296180889580407,0.00044757668742273,0.266070995984245,0.0942967877741489,0.00202353083037204,0.146971220190344
"90",0.00333930336079534,0.415546696174315,4.34169790739845e-05,0.0144490710416518,0.311461496685173,0.00939025602888382,0.0613334686665372,0.0152833445837224,0.0640033613248112,0.0110090302813115,0.010631560866951,0.0588880322408762,0.00412993411163628,0.0113653228336712,0.00912570482058961
"91",0.00569176279729096,0.00803934544714176,0.0647704453876423,0.0168309761182705,0.00812625716182044,0.0305441823947605,0.00239048174397945,0.03563094053054,0.180796964270594,0.0193321794997569,0.0757167807033181,0.513537558046881,0.0313863887373594,0.0061983628038755,0.00100737435676999
"92",2.23398454424361e-07,0.580137595686029,3.04703605160995e-08,0.0754310593971821,0.185640680172249,1.26428515810889e-06,0.138070448640337,3.33061180642582e-07,8.39692311821308e-06,1.27904515365066e-07,9.78901565398041e-06,2.0577754472368e-05,0.00258864902841916,2.60006628114604e-08,0.0180907982622077
"93",0.00365945049547817,0.00630649883938738,2.02673703245301e-05,0.000872925381417905,0.00500569428166586,0.000214757643863664,0.395772773412987,0.0305990075943916,0.168929101757751,0.00372798938602375,0.0511637961412195,0.138383842457723,0.0492299888516078,0.00122401389501025,0.144889892491149
"94",0.0451071463291589,0.00186126723707476,2.76238436871898e-05,0.0682265779458185,0.515394182936946,0.00018213197392745,0.0972961237753126,0.00931074868059315,0.0324746984426786,0.0547717707688657,0.0031963832311288,0.00410948588957871,0.100786306582154,0.00643826424775044,0.0608172881153246
"96",4.1079544298669e-09,0.933478390643441,8.10718544412735e-08,0.00315034774080751,0.000723406008207503,0.00395772077901271,0.0558157274863305,3.08018742675942e-08,7.47090537533981e-09,3.40154463665402e-07,0.000101500235491871,0.00277062915632543,1.09744341472985e-06,6.22929656431545e-09,7.10670619760138e-07
"98",0.0489117170371308,0.00304834132241864,3.50891827437897e-06,0.0201384525091255,0.00483343270723501,0.0939942755870247,0.0019508282111286,0.0646633358747035,0.125326884703874,0.0936465131262197,0.0076347517632975,0.525156049636266,0.00385576782852833,0.000180038802945346,0.00665610197182803
"99",0.0680924781592522,0.00613534626946378,3.79311454234226e-06,0.166265115831708,0.0628886191099018,6.7771932184105e-05,0.0879675530394904,0.0629104718944524,0.136789442408074,0.0582294830127493,0.00634133746072124,0.183568492660616,0.0530595679136372,0.00132756033136873,0.106352966861838
"100",0.195264699299113,0.0025897893266897,8.81275961442463e-05,0.0300935593904868,0.337220359333255,0.0225864016093254,0.00303644280353947,0.00287979868424815,0.0517798786447537,0.0915114290190485,0.044908789347806,0.180232665807727,0.000833168768588268,0.000662305126120948,0.0363125852431544
