,01 IT-ET Glut,02 NP-CT-L6b Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,09 CNU-LGE GABA,10 LSX GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,15 HY Gnrh1 Glut,19 MB Glut,23 P Glut,24 MY Glut,29 CB Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
44,0.00566367672290653,0.004354248614981771,1.696523231267929,7.180456805229187,0.006115099415183067,0.047326828353106976,0.010855443775653839,0.00729301404207945,0.0029924651607871056,0.004233606695197523,0.0030205002753064037,0.002156020037364215,0.002259267936460674,0.0034217357519082726,0.001986850600223988,7.072792363166809,0.046991487592458726,0.7935631960630417,3.4705243349075316,0.022572062350809573
45,0.004244005167856813,0.005223298841156065,0.013240623706951738,15.147441720962524,0.005858306144364178,0.056161454692482946,0.006821655947715045,0.003269546385854483,0.005939303687773645,0.00424271107185632,0.004751340742222965,0.004121101996861398,0.002815433591604233,0.0026478333631530407,0.0031514993635937574,4.868162846565246,0.04970003459602594,0.007523559709079563,4.021030688285828,0.03761703465133905
46,0.0026673631393350663,0.0018290417036041617,3.4452945828437804,13.30295672416687,0.00534975954797119,0.0448223089799285,0.006014254316687584,0.0030450347345322374,0.0015174068976193666,0.002586903574410826,0.004202661965973675,0.0036714058835059407,0.006194394547492266,0.002110753662418574,0.001263286272296682,0.01141488179564476,0.024793685972690584,0.08163880333304406,0.0035996698774397374,0.0040066143264994025
47,0.017732616607099773,0.01440315512008965,2.863518476486206,19.908730506896973,0.01628916906192899,0.050821506045758726,0.01586374146863818,0.013079051673412324,0.008206880139186978,0.011567023862153292,0.01028334405273199,0.011171708116307855,0.009974172152578831,0.010748827131465077,0.010751772345975042,0.31359157562255857,0.0861721869558096,0.026613055914640426,5.458249402046204,0.23801057487726213
48,0.00345603171736002,0.00444495645351708,0.037600026838481425,12.509520769119263,0.03138159383088351,0.025660902727395296,0.00889070606790483,0.004741696012206376,0.0031076635117642582,0.004451922094449401,0.00848891558125615,0.0030085699050687257,0.003468020388390869,0.0018174468830693515,0.0025878053973428907,1.5156716883182526,0.6085274428129196,1.6356982290744781,3.972118604183197,0.033821219205856325
49,0.008255674876272679,0.011280042771250009,0.009825422149151563,12.450158166885377,0.006574299116618931,0.07980104200541974,0.009145958395674825,0.0076164367841556665,0.005246158526279032,0.010389269795268774,0.007415261189453304,0.007262825104407966,0.005936630489304662,0.0033753109164536004,0.006300600385293365,0.208941487967968,0.08040009327232837,6.661322379112244,6.338629746437073,0.9543591022491456
50,0.010290205013006926,0.019307424873113634,0.0038567459559999406,7.4338703632354735,0.013714187545701861,0.03597668819129467,0.009445826802402735,0.009238904202356936,0.00279839844442904,0.010543138347566127,0.009877767181023955,0.0077163195470348,0.004458556999452412,0.0025650825002230706,0.003771621733903885,3.003865659236908,0.04990438278764486,5.6906277418136595,4.190694546699524,0.026975781191140413
51,0.0006180842028697953,0.003850667213555426,0.004954870790243149,0.0011493375757709145,0.0026112162391655146,0.002622061781585217,0.0007662797695957125,0.0008082029642537237,0.0005762978486018256,0.004198659863322973,0.000930763556971215,0.0021261471905745567,0.0007597048679599538,0.0011815916222985834,0.0008005126990610733,3.656889796257019,0.009869157243520022,4.439068865776062,3.3996646761894227,1.120135486125946
65,0.001195918006123975,0.01464956607669592,0.010169013729318976,2.102902960777283,0.0035612668842077257,0.03131722211837769,0.016141267959028482,0.0031943994690664113,0.0021208954392932357,0.0036506847362034025,0.010188865382224322,0.0016776534088421614,0.001335760863730684,0.001066966209327802,0.0015450522652827204,2.050882172584534,0.03219018448144197,0.013911585789173841,2.7199336767196653,0.15446192249655724
66,0.0004498713387874887,0.0005067983904154972,0.0069953929632902145,4.623199057579041,0.0005345347453840077,0.007628095149993896,0.0018748823902569713,0.0004582567678880878,0.00026888004067586734,0.00038895091129234063,0.0003455279555055313,0.00046106419176794594,0.0005075995344668627,0.00024169483076548205,0.0003247529079089873,7.913166069984436,0.03289994336664677,0.0014273164211772384,0.0006686962355161087,0.0019961237558163702
