"","33 Vascular","05 OB-IMN GABA","32 OEC","34 Immune","03 OB-CR Glut","30 Astro-Epen","31 OPC-Oligo","14 HY Glut","29 CB Glut","10 LSX GABA","09 CNU-LGE GABA","01 IT-ET Glut","13 CNU-HYa Glut","06 CTX-CGE GABA","19 MB Glut","02 NP-CT-L6b Glut","15 HY Gnrh1 Glut","24 MY Glut","12 HY GABA","23 P Glut"
"27",0.439321636832223,0.00429891755583951,0.0441955124375982,0.0135747952419642,7.08776753925364e-05,0.33979322015819,0.0011077954280468,6.2084317204516e-07,2.20566418917614e-08,0.103554161642096,0.020488665778747,0.00104974962620247,0.00275773028720157,0.00310927185377413,5.09938138581582e-05,0.0265816067683976,1.28161420681846e-06,4.96825414632386e-07,7.85604674702524e-09,4.26357049860624e-05
"29",5.60372719438909e-06,0.150857966233177,3.03590820181855e-06,2.08109191348298e-06,2.47408724322185e-06,3.96670965336974e-05,0.000176199435658642,6.98915861410369e-10,1.12826602560331e-09,0.0701826422109583,0.768182427992684,1.22653669150337e-06,8.05371909900859e-07,0.0104088459519657,4.31917633274095e-10,2.47625728115093e-06,9.45834978391873e-06,1.43477543767587e-08,0.000124466528031925,6.06613917527026e-07
"30",0.36014190660506,0.00787575937009211,0.000828275924980861,0.0019462511085476,0.000192478091158796,0.236654598442244,0.0148742781879028,5.34430746277605e-10,0.0170636049330679,0.0418345613813099,0.292256028430162,0.000767589823899712,0.000967545348366437,5.16830001463412e-06,1.64279077150987e-08,0.0109098777619366,3.54681025495656e-05,0.00526938985619273,2.68190329965011e-09,0.00837719868827262
"31",0.00164697860363925,0.00742495201591175,0.00202638920900286,0.000618253836191342,0.174828527751726,0.0336469362374705,0.00473954703197985,0.149981107269332,0.131044833710559,0.0201700760326125,0.0116736617270326,0.0178734250573455,0.0838825400963105,1.88302424942494e-05,0.0730176587534374,0.107047836958978,0.00465362850728926,0.0422682628217298,0.0051656720526576,0.1282708820843
"32",0.000408494773542387,0.000405087633485458,0.0162908873697727,0.000313237097506291,0.0960484334000412,0.314328805015081,0.000181740895212658,0.210715239754268,0.0699155817234498,0.00699342067824227,0.00039069466800265,0.00424953864845117,0.0606155039025054,9.31494298255043e-05,0.0149368463775209,0.065155409575865,0.000627531419244795,0.058597261226541,0.0160499717861239,0.0636831646253173
"33",0.370693196333431,0.00332888682423795,0.00114618784178228,0.000106816655464778,0.105065031448911,0.0503649087272692,0.00556758320803053,0.0522839158807908,0.05093017900928,0.00932057674830723,0.00312927935196733,0.00113800784952868,0.0813770734977674,0.000114081329844647,0.144844932129502,0.00431109339260251,0.00157262746112786,0.0288813954657405,0.0143388560323096,0.0714853708121049
"34",0.000885024675451084,0.559134960108259,0.000285416603671774,0.000901422237127175,0.000345881675661687,0.000407486572617851,0.00448578402497076,8.82527239343189e-07,8.68189345874228e-05,0.0723384680394953,0.345072614411648,1.37970552107925e-05,0.000237617938111472,0.0143083972523453,4.60787821120009e-05,0.000182109462667377,0.000172563894026653,1.08027412991145e-05,0.000627672954619573,0.000456200108877904
"35",0.245569554616371,0.11203892842069,1.37715456330957e-05,0.0202174331753436,2.14563868082456e-05,0.162572644151795,0.0679611763268538,0.000313598165108743,1.29901962403028e-05,0.206785879098561,0.18004142962476,4.460997097066e-05,0.000225088789359764,6.0036523506877e-06,2.7587469516458e-06,0.00363899602862317,9.85839980481708e-06,0.000101975764783343,0.000378418256857065,4.34286821335083e-05
"36",0.00437214796068166,0.11443090442448,0.132460773765035,0.00264260201581462,2.33220777282582e-07,0.145756027006304,0.0100415017938314,2.88157688095357e-09,3.19971637620707e-08,0.179443967041484,0.386976469711363,1.38481732883316e-07,4.45288706889678e-06,0.0161214893289777,5.9120174520543e-08,0.00770606584830994,3.76780225062686e-05,2.53805435419011e-08,4.17144424269223e-08,5.38739773162846e-06
"37",0.00623335359857281,0.18853506104298,0.495742152003013,0.000184510385028703,0.00195278185645127,0.0040489755527866,0.00021363196282131,1.97159789784115e-09,0.000180805515751864,0.0182764851826644,0.174446080578098,0.000443707586707664,0.000681411810768307,0.0472780069099411,0.00317649995917237,0.013171825554608,1.96574910402784e-08,5.51017077415895e-06,0.0226036440834154,0.022825534617357
