,n_counts
2207,943.0
2208,1072.0
2210,219.0
2211,555.0
2212,1824.0
2213,884.0
2214,1234.0
2215,1966.0
2216,1685.0
2218,761.0
2219,552.0
2220,964.0
2221,2406.0
2222,1634.0
2223,302.0
2226,928.0
2227,551.0
2228,1427.0
2229,1764.0
2230,569.0
2231,2186.0
2232,969.0
2233,1940.0
2234,1825.0
2235,763.0
2236,652.0
2237,778.0
2238,555.0
2239,2026.0
2240,133.0
2241,999.0
2242,367.0
2243,274.0
2244,499.0
2248,1127.0
2249,959.0
2250,708.0
2251,1086.0
2252,882.0
2253,1122.0
2254,1015.0
2255,217.0
2257,316.0
2260,694.0
2261,1365.0
2262,1312.0
2263,896.0
2264,1094.0
2265,619.0
2266,1058.0
2267,175.0
2268,511.0
2269,467.0
2270,926.0
2271,518.0
2272,1031.0
2273,355.0
2274,358.0
2275,769.0
2276,850.0
2277,530.0
2278,802.0
2280,268.0
2281,674.0
2282,1914.0
2283,1441.0
2284,329.0
2285,520.0
2286,871.0
2287,374.0
2290,563.0
2291,1740.0
2292,218.0
2293,1353.0
2294,803.0
2296,286.0
2297,276.0
2298,875.0
2299,1105.0
2300,892.0
2301,821.0
2302,318.0
2303,412.0
2304,182.0
2305,979.0
2306,1197.0
2307,1049.0
2308,2971.0
2309,411.0
2310,1115.0
2311,1312.0
2312,36.0
2313,242.0
2314,191.0
2315,207.0
2316,664.0
2318,956.0
2319,527.0
2320,1642.0
2321,1897.0
2322,1219.0
2323,1633.0
2324,1113.0
2325,1379.0
2326,826.0
2327,57.0
2328,724.0
2329,249.0
2330,228.0
2331,545.0
2332,356.0
2333,1722.0
2334,1247.0
2335,258.0
2336,198.0
2337,370.0
2338,1689.0
2339,997.0
2340,1235.0
2341,926.0
2342,867.0
2343,769.0
2344,118.0
2345,175.0
2346,1046.0
2347,563.0
2348,1369.0
2350,212.0
2351,88.0
2352,1143.0
2353,725.0
2354,724.0
2355,561.0
2356,207.0
2358,392.0
2359,110.0
2360,1289.0
2361,344.0
2362,1725.0
2363,595.0
2364,1078.0
2365,362.0
2367,323.0
2369,151.0
2370,182.0
2371,409.0
2372,311.0
2373,481.0
2374,1465.0
2375,1057.0
2376,546.0
2377,490.0
2378,1411.0
2379,1021.0
2380,305.0
2381,1077.0
2384,289.0
2386,553.0
2388,759.0
2390,175.0
2391,1476.0
2392,999.0
2393,983.0
2394,2248.0
2395,764.0
2396,1099.0
2397,603.0
2398,259.0
2399,378.0
2400,269.0
2401,1012.0
2402,1103.0
2403,996.0
2404,422.0
2405,600.0
2406,280.0
2407,771.0
2408,1481.0
2409,618.0
2410,743.0
2411,178.0
2412,1144.0
2413,800.0
2414,465.0
2415,760.0
2416,370.0
2417,469.0
2418,525.0
